filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,10,9,0.001271963119506836
agd,2,modularity,connectivity,false,11,18,0.00404810905456543
agd,2,connected_components,connectivity,true,11,10,0.00156402587890625
agd,2,modularity,connectivity,true,12,20,0.0045299530029296875
agd,3,connected_components,connectivity,false,16,29,0.0013608932495117188
agd,3,modularity,connectivity,false,17,41,0.004059314727783203
agd,3,connected_components,connectivity,true,14,19,0.0011000633239746094
agd,3,modularity,connectivity,true,16,35,0.005925893783569336
agd,4,connected_components,connectivity,false,16,29,0.0022199153900146484
agd,4,modularity,connectivity,false,17,39,0.0057680606842041016
agd,4,connected_components,connectivity,true,20,38,0.001413106918334961
agd,4,modularity,connectivity,true,23,65,0.0031859874725341797
agd,5,connected_components,connectivity,false,21,53,0.0016858577728271484
agd,5,modularity,connectivity,false,22,65,0.0034317970275878906
agd,5,connected_components,connectivity,true,21,42,0.0014882087707519531
agd,5,modularity,connectivity,true,22,56,0.0036537647247314453
agd,6,connected_components,connectivity,false,24,65,0.0015358924865722656
agd,6,modularity,connectivity,false,24,65,0.0027399063110351562
agd,6,connected_components,connectivity,true,24,52,0.0015549659729003906
agd,6,modularity,connectivity,true,25,67,0.002978086471557617
agd,7,connected_components,connectivity,false,25,75,0.0015769004821777344
agd,7,modularity,connectivity,false,25,75,0.0026369094848632812
agd,7,connected_components,connectivity,true,26,64,0.0019221305847167969
agd,7,modularity,connectivity,true,27,78,0.003058910369873047
agd,8,connected_components,connectivity,false,21,53,0.0014569759368896484
agd,8,modularity,connectivity,false,22,65,0.0038421154022216797
agd,8,connected_components,connectivity,true,24,66,0.0016350746154785156
agd,8,modularity,connectivity,true,24,66,0.0032958984375
agd,9,connected_components,connectivity,false,24,65,0.0016357898712158203
agd,9,modularity,connectivity,false,24,65,0.00304412841796875
agd,9,connected_components,connectivity,true,28,79,0.0018329620361328125
agd,9,modularity,connectivity,true,28,79,0.0036971569061279297
agd,10,connected_components,connectivity,false,25,74,0.0017490386962890625
agd,10,modularity,connectivity,false,25,74,0.003039121627807617
agd,10,connected_components,connectivity,true,29,81,0.002657651901245117
agd,10,modularity,connectivity,true,29,81,0.0028810501098632812
agd,11,connected_components,connectivity,false,26,74,0.0016918182373046875
agd,11,modularity,connectivity,false,26,74,0.0032291412353515625
agd,11,connected_components,connectivity,true,32,89,0.0020627975463867188
agd,11,modularity,connectivity,true,32,89,0.0023190975189208984
agd,12,connected_components,connectivity,false,27,75,0.0027790069580078125
agd,12,modularity,connectivity,false,27,75,0.002621889114379883
agd,12,connected_components,connectivity,true,32,89,0.002019166946411133
agd,12,modularity,connectivity,true,32,89,0.002257108688354492
agd,13,connected_components,connectivity,false,26,77,0.00177001953125
agd,13,modularity,connectivity,false,26,77,0.002735137939453125
agd,13,connected_components,connectivity,true,31,88,0.0019898414611816406
agd,13,modularity,connectivity,true,31,88,0.0022101402282714844
agd,14,connected_components,connectivity,false,28,82,0.0017979145050048828
agd,14,modularity,connectivity,false,28,82,0.002916097640991211
agd,14,connected_components,connectivity,true,32,89,0.0021958351135253906
agd,14,modularity,connectivity,true,32,89,0.002079010009765625
agd,15,connected_components,connectivity,false,28,82,0.003141164779663086
agd,15,modularity,connectivity,false,28,82,0.002544879913330078
agd,15,connected_components,connectivity,true,32,89,0.0019428730010986328
agd,15,modularity,connectivity,true,32,89,0.002583026885986328
agd,16,connected_components,connectivity,false,28,86,0.0020568370819091797
agd,16,modularity,connectivity,false,28,86,0.0034890174865722656
agd,16,connected_components,connectivity,true,31,88,0.0034172534942626953
agd,16,modularity,connectivity,true,31,88,0.004392862319946289
agd,17,connected_components,connectivity,false,28,82,0.0024089813232421875
agd,17,modularity,connectivity,false,28,82,0.0025746822357177734
agd,17,connected_components,connectivity,true,31,88,0.0020208358764648438
agd,17,modularity,connectivity,true,31,88,0.002393960952758789
agd,18,connected_components,connectivity,false,28,82,0.0019311904907226562
agd,18,modularity,connectivity,false,28,82,0.003039121627807617
agd,18,connected_components,connectivity,true,31,88,0.002675294876098633
agd,18,modularity,connectivity,true,31,88,0.0022230148315429688
agd,19,connected_components,connectivity,false,28,82,0.0020699501037597656
agd,19,modularity,connectivity,false,28,82,0.003245830535888672
agd,19,connected_components,connectivity,true,31,88,0.0023679733276367188
agd,19,modularity,connectivity,true,31,88,0.0023260116577148438
ecc,2,connected_components,connectivity,false,6,5,0.0008709430694580078
ecc,2,modularity,connectivity,false,7,11,0.004312992095947266
ecc,2,connected_components,connectivity,true,5,4,0.0013530254364013672
ecc,2,modularity,connectivity,true,7,14,0.00500798225402832
ecc,3,connected_components,connectivity,false,6,5,0.0009770393371582031
ecc,3,modularity,connectivity,false,7,11,0.004740238189697266
ecc,3,connected_components,connectivity,true,11,15,0.0010440349578857422
ecc,3,modularity,connectivity,true,13,29,0.003553628921508789
ecc,4,connected_components,connectivity,false,6,5,0.0008318424224853516
ecc,4,modularity,connectivity,false,7,11,0.004990816116333008
ecc,4,connected_components,connectivity,true,16,27,0.0011820793151855469
ecc,4,modularity,connectivity,true,18,46,0.0033490657806396484
ecc,5,connected_components,connectivity,false,6,5,0.0008499622344970703
ecc,5,modularity,connectivity,false,7,11,0.005265951156616211
