filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0007669925689697266
agd,2,modularity,connectivity,false,6,15,0.00557708740234375
agd,2,connected_components,connectivity,true,2,1,0.00048422813415527344
agd,2,modularity,connectivity,true,6,12,0.0033910274505615234
agd,3,connected_components,connectivity,false,3,3,0.0011069774627685547
agd,3,modularity,connectivity,false,9,36,0.008414983749389648
agd,3,connected_components,connectivity,true,3,3,0.0005970001220703125
agd,3,modularity,connectivity,true,9,19,0.002607107162475586
agd,4,connected_components,connectivity,false,4,6,0.0014522075653076172
agd,4,modularity,connectivity,false,12,66,0.011713981628417969
agd,4,connected_components,connectivity,true,4,6,0.0008671283721923828
agd,4,modularity,connectivity,true,8,15,0.0021398067474365234
agd,5,connected_components,connectivity,false,5,10,0.002363920211791992
agd,5,modularity,connectivity,false,15,105,0.014758110046386719
agd,5,connected_components,connectivity,true,5,9,0.0006749629974365234
agd,5,modularity,connectivity,true,10,20,0.002452850341796875
agd,6,connected_components,connectivity,false,6,15,0.002191305160522461
agd,6,modularity,connectivity,false,18,153,0.018822908401489258
agd,6,connected_components,connectivity,true,6,12,0.0007863044738769531
agd,6,modularity,connectivity,true,8,16,0.002584218978881836
agd,7,connected_components,connectivity,false,7,21,0.0029702186584472656
agd,7,modularity,connectivity,false,21,210,0.02042698860168457
agd,7,connected_components,connectivity,true,7,13,0.0009448528289794922
agd,7,modularity,connectivity,true,7,13,0.0022988319396972656
agd,8,connected_components,connectivity,false,8,28,0.003262042999267578
agd,8,modularity,connectivity,false,24,276,0.023881912231445312
agd,8,connected_components,connectivity,true,8,16,0.0008199214935302734
agd,8,modularity,connectivity,true,8,16,0.0025589466094970703
agd,9,connected_components,connectivity,false,9,36,0.004117012023925781
agd,9,modularity,connectivity,false,27,351,0.027898073196411133
agd,9,connected_components,connectivity,true,9,18,0.0009119510650634766
agd,9,modularity,connectivity,true,9,18,0.00238800048828125
agd,10,connected_components,connectivity,false,10,45,0.004857063293457031
agd,10,modularity,connectivity,false,30,435,0.03021407127380371
agd,10,connected_components,connectivity,true,10,20,0.0009949207305908203
agd,10,modularity,connectivity,true,10,20,0.002672910690307617
agd,11,connected_components,connectivity,false,11,55,0.0063397884368896484
agd,11,modularity,connectivity,false,33,528,0.03461408615112305
agd,11,connected_components,connectivity,true,11,21,0.0012958049774169922
agd,11,modularity,connectivity,true,11,21,0.002911090850830078
agd,12,connected_components,connectivity,false,12,66,0.006506919860839844
agd,12,modularity,connectivity,false,36,630,0.03825712203979492
agd,12,connected_components,connectivity,true,12,22,0.0010492801666259766
agd,12,modularity,connectivity,true,12,22,0.0022788047790527344
agd,13,connected_components,connectivity,false,13,78,0.008264780044555664
agd,13,modularity,connectivity,false,39,741,0.04149580001831055
agd,13,connected_components,connectivity,true,13,23,0.0010578632354736328
agd,13,modularity,connectivity,true,13,23,0.002321004867553711
agd,14,connected_components,connectivity,false,14,91,0.007647991180419922
agd,14,modularity,connectivity,false,42,861,0.04471421241760254
agd,14,connected_components,connectivity,true,14,24,0.0013980865478515625
agd,14,modularity,connectivity,true,14,24,0.0020771026611328125
agd,15,connected_components,connectivity,false,15,105,0.008114099502563477
agd,15,modularity,connectivity,false,45,990,0.04949593544006348
agd,15,connected_components,connectivity,true,15,25,0.001149892807006836
agd,15,modularity,connectivity,true,15,25,0.0021491050720214844
agd,16,connected_components,connectivity,false,16,120,0.009264945983886719
agd,16,modularity,connectivity,false,48,1128,0.05269193649291992
agd,16,connected_components,connectivity,true,16,26,0.0011866092681884766
agd,16,modularity,connectivity,true,16,26,0.0020520687103271484
agd,17,connected_components,connectivity,false,17,136,0.009672880172729492
agd,17,modularity,connectivity,false,51,1275,0.054695844650268555
agd,17,connected_components,connectivity,true,17,27,0.0012390613555908203
agd,17,modularity,connectivity,true,17,27,0.00201416015625
agd,18,connected_components,connectivity,false,18,153,0.010571002960205078
agd,18,modularity,connectivity,false,54,1431,0.058202266693115234
agd,18,connected_components,connectivity,true,18,28,0.0013930797576904297
agd,18,modularity,connectivity,true,18,28,0.00180816650390625
agd,19,connected_components,connectivity,false,19,171,0.011043071746826172
agd,19,modularity,connectivity,false,57,1596,0.06266593933105469
agd,19,connected_components,connectivity,true,19,66,0.0017528533935546875
agd,19,modularity,connectivity,true,19,66,0.005734920501708984
ecc,2,connected_components,connectivity,false,2,1,0.0007162094116210938
ecc,2,modularity,connectivity,false,6,15,0.0056040287017822266
ecc,2,connected_components,connectivity,true,2,1,0.0005030632019042969
ecc,2,modularity,connectivity,true,6,12,0.0026929378509521484
ecc,3,connected_components,connectivity,false,3,3,0.0012519359588623047
ecc,3,modularity,connectivity,false,9,36,0.008544921875
ecc,3,connected_components,connectivity,true,3,3,0.0005838871002197266
ecc,3,modularity,connectivity,true,9,19,0.002215862274169922
ecc,4,connected_components,connectivity,false,4,6,0.0016109943389892578
ecc,4,modularity,connectivity,false,12,66,0.011923789978027344
ecc,4,connected_components,connectivity,true,4,6,0.000637054443359375
ecc,4,modularity,connectivity,true,8,15,0.0024688243865966797
ecc,5,connected_components,connectivity,false,5,10,0.001837015151977539
ecc,5,modularity,connectivity,false,15,105,0.015676021575927734
ecc,5,connected_components,connectivity,true,5,9,0.0006551742553710938
ecc,5,modularity,connectivity,true,10,20,0.002525806427001953
ecc,6,connected_components,connectivity,false,6,15,0.0022940635681152344
ecc,6,modularity,connectivity,false,18,153,0.017799854278564453
ecc,6,connected_components,connectivity,true,6,12,0.0009379386901855469
ecc,6,modularity,connectivity,true,8,16,0.0023839473724365234
ecc,7,connected_components,connectivity,false,7,21,0.002768278121948242
ecc,7,modularity,connectivity,false,21,210,0.020339012145996094
ecc,7,connected_components,connectivity,true,7,13,0.0007548332214355469
ecc,7,modularity,connectivity,true,7,13,0.002479076385498047
ecc,8,connected_components,connectivity,false,8,28,0.003087759017944336
ecc,8,modularity,connectivity,false,24,276,0.024173736572265625
ecc,8,connected_components,connectivity,true,8,16,0.0008692741394042969
ecc,8,modularity,connectivity,true,8,16,0.0027718544006347656
ecc,9,connected_components,connectivity,false,9,36,0.004011869430541992
ecc,9,modularity,connectivity,false,27,351,0.027873992919921875
ecc,9,connected_components,connectivity,true,9,18,0.0013689994812011719
ecc,9,modularity,connectivity,true,9,18,0.0024399757385253906
ecc,10,connected_components,connectivity,false,10,45,0.005356788635253906
ecc,10,modularity,connectivity,false,30,435,0.030460119247436523
ecc,10,connected_components,connectivity,true,10,20,0.001035928726196289
ecc,10,modularity,connectivity,true,10,20,0.0027861595153808594
ecc,11,connected_components,connectivity,false,11,55,0.005507946014404297
ecc,11,modularity,connectivity,false,33,528,0.03413796424865723
ecc,11,connected_components,connectivity,true,11,21,0.0012900829315185547
ecc,11,modularity,connectivity,true,11,21,0.0025930404663085938
ecc,12,connected_components,connectivity,false,12,66,0.006929874420166016
ecc,12,modularity,connectivity,false,36,630,0.03611183166503906
ecc,12,connected_components,connectivity,true,12,22,0.0011739730834960938
ecc,12,modularity,connectivity,true,12,22,0.002233743667602539
ecc,13,connected_components,connectivity,false,13,78,0.006699085235595703
ecc,13,modularity,connectivity,false,39,741,0.04056119918823242
ecc,13,connected_components,connectivity,true,13,23,0.0012481212615966797
ecc,13,modularity,connectivity,true,13,23,0.0021376609802246094
ecc,14,connected_components,connectivity,false,14,91,0.009471893310546875
ecc,14,modularity,connectivity,false,42,861,0.04440021514892578
ecc,14,connected_components,connectivity,true,14,24,0.0012440681457519531
ecc,14,modularity,connectivity,true,14,24,0.0022389888763427734
ecc,15,connected_components,connectivity,false,15,105,0.008524894714355469
ecc,15,modularity,connectivity,false,45,990,0.04744601249694824
ecc,15,connected_components,connectivity,true,15,25,0.0013279914855957031
ecc,15,modularity,connectivity,true,15,25,0.001974821090698242
ecc,16,connected_components,connectivity,false,16,120,0.009752988815307617
ecc,16,modularity,connectivity,false,48,1128,0.05173206329345703
ecc,16,connected_components,connectivity,true,16,26,0.0013287067413330078
ecc,16,modularity,connectivity,true,16,26,0.002295970916748047
ecc,17,connected_components,connectivity,false,17,136,0.009731054306030273
ecc,17,modularity,connectivity,false,51,1275,0.05561995506286621
ecc,17,connected_components,connectivity,true,17,27,0.0012619495391845703
ecc,17,modularity,connectivity,true,17,27,0.0016970634460449219
ecc,18,connected_components,connectivity,false,18,153,0.011249780654907227
ecc,18,modularity,connectivity,false,54,1431,0.06223917007446289
ecc,18,connected_components,connectivity,true,18,28,0.0015649795532226562
ecc,18,modularity,connectivity,true,18,28,0.0015108585357666016
ecc,19,connected_components,connectivity,false,19,171,0.011008977890014648
ecc,19,modularity,connectivity,false,57,1596,0.05961418151855469
ecc,19,connected_components,connectivity,true,19,66,0.0017321109771728516
ecc,19,modularity,connectivity,true,19,66,0.0054700374603271484
pr_0_85,2,connected_components,connectivity,false,2,1,0.0007600784301757812
pr_0_85,2,modularity,connectivity,false,6,15,0.005403995513916016
pr_0_85,2,connected_components,connectivity,true,2,1,0.00047087669372558594
pr_0_85,2,modularity,connectivity,true,6,12,0.0033609867095947266
pr_0_85,3,connected_components,connectivity,false,3,3,0.0010929107666015625
pr_0_85,3,modularity,connectivity,false,9,36,0.008750200271606445
pr_0_85,3,connected_components,connectivity,true,3,3,0.0005490779876708984
pr_0_85,3,modularity,connectivity,true,9,19,0.002835988998413086
pr_0_85,4,connected_components,connectivity,false,4,6,0.0014429092407226562
pr_0_85,4,modularity,connectivity,false,12,66,0.011970758438110352
pr_0_85,4,connected_components,connectivity,true,4,6,0.0006089210510253906
pr_0_85,4,modularity,connectivity,true,8,15,0.00213623046875
pr_0_85,5,connected_components,connectivity,false,5,10,0.0019309520721435547
pr_0_85,5,modularity,connectivity,false,15,105,0.016417741775512695
pr_0_85,5,connected_components,connectivity,true,5,9,0.0006921291351318359
pr_0_85,5,modularity,connectivity,true,10,20,0.002218961715698242
pr_0_85,6,connected_components,connectivity,false,6,15,0.003126859664916992
pr_0_85,6,modularity,connectivity,false,18,153,0.01887202262878418
pr_0_85,6,connected_components,connectivity,true,6,12,0.0011439323425292969
pr_0_85,6,modularity,connectivity,true,8,16,0.0025551319122314453
pr_0_85,7,connected_components,connectivity,false,7,21,0.002701997756958008
pr_0_85,7,modularity,connectivity,false,21,210,0.021440982818603516
pr_0_85,7,connected_components,connectivity,true,7,13,0.0008351802825927734
pr_0_85,7,modularity,connectivity,true,7,13,0.0024750232696533203
pr_0_85,8,connected_components,connectivity,false,8,28,0.0033910274505615234
pr_0_85,8,modularity,connectivity,false,24,276,0.02435898780822754
pr_0_85,8,connected_components,connectivity,true,8,16,0.0008411407470703125
pr_0_85,8,modularity,connectivity,true,8,16,0.002605915069580078
pr_0_85,9,connected_components,connectivity,false,9,36,0.004587650299072266
pr_0_85,9,modularity,connectivity,false,27,351,0.027251005172729492
pr_0_85,9,connected_components,connectivity,true,9,18,0.0011131763458251953
pr_0_85,9,modularity,connectivity,true,9,18,0.0032110214233398438
