filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,19,18,0.0015020370483398438
agd,2,modularity,connectivity,false,20,25,0.005270719528198242
agd,2,connected_components,connectivity,true,22,21,0.0013580322265625
agd,2,modularity,connectivity,true,25,35,0.004614114761352539
agd,3,connected_components,connectivity,false,37,54,0.0023450851440429688
agd,3,modularity,connectivity,false,38,63,0.002415180206298828
agd,3,connected_components,connectivity,true,29,36,0.0017180442810058594
agd,3,modularity,connectivity,true,31,48,0.003570079803466797
agd,4,connected_components,connectivity,false,34,57,0.001863241195678711
agd,4,modularity,connectivity,false,34,57,0.0031499862670898438
agd,4,connected_components,connectivity,true,32,43,0.0019452571868896484
agd,4,modularity,connectivity,true,33,51,0.0032410621643066406
agd,5,connected_components,connectivity,false,40,69,0.0018808841705322266
agd,5,modularity,connectivity,false,40,69,0.002691030502319336
agd,5,connected_components,connectivity,true,34,45,0.0021440982818603516
agd,5,modularity,connectivity,true,36,60,0.0028619766235351562
agd,6,connected_components,connectivity,false,40,69,0.002273082733154297
agd,6,modularity,connectivity,false,40,69,0.002316713333129883
agd,6,connected_components,connectivity,true,36,51,0.0022749900817871094
agd,6,modularity,connectivity,true,37,60,0.0034177303314208984
agd,7,connected_components,connectivity,false,34,57,0.0020508766174316406
agd,7,modularity,connectivity,false,34,57,0.003168821334838867
agd,7,connected_components,connectivity,true,37,54,0.0030221939086914062
agd,7,modularity,connectivity,true,38,63,0.002557039260864258
agd,8,connected_components,connectivity,false,46,81,0.0024421215057373047
agd,8,modularity,connectivity,false,46,81,0.0031049251556396484
agd,8,connected_components,connectivity,true,37,54,0.0028967857360839844
agd,8,modularity,connectivity,true,38,63,0.023769140243530273
agd,9,connected_components,connectivity,false,40,69,0.002385854721069336
agd,9,modularity,connectivity,false,40,69,0.0027289390563964844
agd,9,connected_components,connectivity,true,38,59,0.0026988983154296875
agd,9,modularity,connectivity,true,39,67,0.0027518272399902344
agd,10,connected_components,connectivity,false,40,69,0.0023241043090820312
agd,10,modularity,connectivity,false,40,69,0.002897977828979492
agd,10,connected_components,connectivity,true,38,59,0.00222015380859375
agd,10,modularity,connectivity,true,39,67,0.0026111602783203125
agd,11,connected_components,connectivity,false,40,69,0.0031392574310302734
agd,11,modularity,connectivity,false,40,69,0.0023720264434814453
agd,11,connected_components,connectivity,true,39,64,0.0022878646850585938
agd,11,modularity,connectivity,true,39,64,0.003103017807006836
agd,12,connected_components,connectivity,false,40,69,0.0027980804443359375
agd,12,modularity,connectivity,false,40,69,0.0024268627166748047
agd,12,connected_components,connectivity,true,39,64,0.0024509429931640625
agd,12,modularity,connectivity,true,39,64,0.002960205078125
agd,13,connected_components,connectivity,false,40,69,0.0029191970825195312
agd,13,modularity,connectivity,false,40,69,0.0027031898498535156
agd,13,connected_components,connectivity,true,39,64,0.0023910999298095703
agd,13,modularity,connectivity,true,39,64,0.0025920867919921875
agd,14,connected_components,connectivity,false,40,69,0.0029451847076416016
agd,14,modularity,connectivity,false,40,69,0.0024840831756591797
agd,14,connected_components,connectivity,true,40,69,0.0024619102478027344
agd,14,modularity,connectivity,true,40,69,0.0027399063110351562
agd,15,connected_components,connectivity,false,40,69,0.0024967193603515625
agd,15,modularity,connectivity,false,40,69,0.002482175827026367
agd,15,connected_components,connectivity,true,40,69,0.0026197433471679688
agd,15,modularity,connectivity,true,40,69,0.002666950225830078
agd,16,connected_components,connectivity,false,46,81,0.003117799758911133
agd,16,modularity,connectivity,false,46,81,0.003050088882446289
agd,16,connected_components,connectivity,true,40,69,0.002296924591064453
agd,16,modularity,connectivity,true,40,69,0.002737760543823242
agd,17,connected_components,connectivity,false,40,69,0.0023801326751708984
agd,17,modularity,connectivity,false,40,69,0.002557992935180664
agd,17,connected_components,connectivity,true,40,69,0.002330780029296875
agd,17,modularity,connectivity,true,40,69,0.0034308433532714844
agd,18,connected_components,connectivity,false,40,69,0.0022110939025878906
agd,18,modularity,connectivity,false,40,69,0.0030210018157958984
agd,18,connected_components,connectivity,true,40,69,0.0028710365295410156
agd,18,modularity,connectivity,true,40,69,0.003618001937866211
agd,19,connected_components,connectivity,false,40,69,0.0022649765014648438
agd,19,modularity,connectivity,false,40,69,0.0035088062286376953
agd,19,connected_components,connectivity,true,40,69,0.0025742053985595703
