dataset,datafile,filter_function,processing time
small,"octahedral_graph.json",agd,0.00021600723266601562
small,"octahedral_graph.json",ecc,0.00022339820861816406
small,"octahedral_graph.json",pr_0_85,0.0006470680236816406
small,"octahedral_graph.json",fv,0.02406930923461914
small,"octahedral_graph.json",den_0_5,0.00021004676818847656
small,"octahedral_graph.json",ev_1,0.011789083480834961
small,"octahedral_graph.json",ev_2,0.011789083480834961
small,"octahedral_graph.json",ev_3,0.011789083480834961
small,"octahedral_graph.json",ev_4,0.011789083480834961
small,"octahedral_graph.json",ev_5,0.011789083480834961
small,"octahedral_graph.json",ev_norm_1,0.0035521984100341797
small,"octahedral_graph.json",ev_norm_2,0.0035521984100341797
small,"octahedral_graph.json",ev_norm_3,0.0035521984100341797
small,"octahedral_graph.json",ev_norm_4,0.0035521984100341797
small,"octahedral_graph.json",ev_norm_5,0.0035521984100341797
small,"balanced_tree(5,2).json",agd,0.002701282501220703
small,"balanced_tree(5,2).json",ecc,0.00429224967956543
small,"balanced_tree(5,2).json",pr_0_85,0.015847206115722656
small,"balanced_tree(5,2).json",fv,0.007530927658081055
small,"balanced_tree(5,2).json",fv_norm,0.0102081298828125
small,"balanced_tree(5,2).json",den_0_5,0.0030651092529296875
small,"balanced_tree(5,2).json",ev_1,0.01827692985534668
small,"balanced_tree(5,2).json",ev_2,0.01827692985534668
small,"balanced_tree(5,2).json",ev_3,0.01827692985534668
small,"balanced_tree(5,2).json",ev_4,0.01827692985534668
small,"balanced_tree(5,2).json",ev_5,0.01827692985534668
small,"balanced_tree(5,2).json",ev_norm_1,0.004994869232177734
small,"balanced_tree(5,2).json",ev_norm_2,0.004994869232177734
small,"balanced_tree(5,2).json",ev_norm_3,0.004994869232177734
small,"balanced_tree(5,2).json",ev_norm_4,0.004994869232177734
small,"balanced_tree(5,2).json",ev_norm_5,0.004994869232177734
small,"davis_southern_women.json",agd,0.006020307540893555
small,"davis_southern_women.json",ecc,0.005689859390258789
small,"davis_southern_women.json",pr_0_85,0.029657840728759766
small,"davis_southern_women.json",fv,0.05080604553222656
small,"davis_southern_women.json",fv_norm,0.01544499397277832
small,"davis_southern_women.json",den_0_5,0.006359100341796875
small,"davis_southern_women.json",ev_1,0.0029098987579345703
small,"davis_southern_women.json",ev_2,0.0029098987579345703
small,"davis_southern_women.json",ev_3,0.0029098987579345703
small,"davis_southern_women.json",ev_4,0.0029098987579345703
small,"davis_southern_women.json",ev_5,0.0029098987579345703
small,"davis_southern_women.json",ev_norm_1,0.0043528079986572266
small,"davis_southern_women.json",ev_norm_2,0.0043528079986572266
small,"davis_southern_women.json",ev_norm_3,0.0043528079986572266
small,"davis_southern_women.json",ev_norm_4,0.0043528079986572266
small,"davis_southern_women.json",ev_norm_5,0.0043528079986572266
small,"dorogovtsev_goltsev_mendes_graph(2).json",agd,0.0001671314239501953
small,"dorogovtsev_goltsev_mendes_graph(2).json",ecc,0.00024080276489257812
small,"dorogovtsev_goltsev_mendes_graph(2).json",pr_0_85,0.0017578601837158203
small,"dorogovtsev_goltsev_mendes_graph(2).json",fv,0.02294778823852539
small,"dorogovtsev_goltsev_mendes_graph(2).json",fv_norm,0.01337885856628418
small,"dorogovtsev_goltsev_mendes_graph(2).json",den_0_5,0.00019216537475585938
small,"dorogovtsev_goltsev_mendes_graph(2).json",ev_1,0.013351917266845703
small,"dorogovtsev_goltsev_mendes_graph(2).json",ev_2,0.013351917266845703
small,"dorogovtsev_goltsev_mendes_graph(2).json",ev_3,0.013351917266845703
