filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,66,65,0.0029850006103515625
agd,2,modularity,connectivity,false,66,65,0.002306699752807617
agd,2,connected_components,connectivity,true,34,33,0.001795053482055664
agd,2,modularity,connectivity,true,34,33,0.010255098342895508
agd,3,connected_components,connectivity,false,66,65,0.0023260116577148438
agd,3,modularity,connectivity,false,66,65,0.0023040771484375
agd,3,connected_components,connectivity,true,45,44,0.002374887466430664
agd,3,modularity,connectivity,true,45,44,0.006513833999633789
agd,4,connected_components,connectivity,false,66,65,0.0027251243591308594
agd,4,modularity,connectivity,false,66,65,0.002441883087158203
agd,4,connected_components,connectivity,true,50,49,0.002376079559326172
agd,4,modularity,connectivity,true,50,49,0.005457162857055664
agd,5,connected_components,connectivity,false,66,65,0.0024633407592773438
agd,5,modularity,connectivity,false,66,65,0.0025148391723632812
agd,5,connected_components,connectivity,true,56,55,0.0029358863830566406
agd,5,modularity,connectivity,true,56,55,0.004753828048706055
agd,6,connected_components,connectivity,false,66,65,0.0030710697174072266
agd,6,modularity,connectivity,false,66,65,0.002441883087158203
agd,6,connected_components,connectivity,true,56,55,0.0026607513427734375
agd,6,modularity,connectivity,true,56,55,0.003846883773803711
agd,7,connected_components,connectivity,false,66,65,0.002384185791015625
agd,7,modularity,connectivity,false,66,65,0.0027992725372314453
agd,7,connected_components,connectivity,true,57,56,0.002521038055419922
agd,7,modularity,connectivity,true,57,56,0.0037508010864257812
agd,8,connected_components,connectivity,false,66,65,0.002691030502319336
agd,8,modularity,connectivity,false,66,65,0.002535104751586914
agd,8,connected_components,connectivity,true,58,57,0.002568960189819336
agd,8,modularity,connectivity,true,58,57,0.004170894622802734
agd,9,connected_components,connectivity,false,66,65,0.0025861263275146484
agd,9,modularity,connectivity,false,66,65,0.002434968948364258
agd,9,connected_components,connectivity,true,59,58,0.00333404541015625
agd,9,modularity,connectivity,true,59,58,0.0034842491149902344
agd,10,connected_components,connectivity,false,66,65,0.0024759769439697266
agd,10,modularity,connectivity,false,66,65,0.003147125244140625
agd,10,connected_components,connectivity,true,63,62,0.002850055694580078
agd,10,modularity,connectivity,true,63,62,0.003555774688720703
agd,11,connected_components,connectivity,false,66,65,0.002850055694580078
agd,11,modularity,connectivity,false,66,65,0.0025033950805664062
agd,11,connected_components,connectivity,true,61,60,0.002948760986328125
agd,11,modularity,connectivity,true,61,60,0.003831148147583008
agd,12,connected_components,connectivity,false,66,65,0.002537965774536133
agd,12,modularity,connectivity,false,66,65,0.0026710033416748047
agd,12,connected_components,connectivity,true,61,60,0.003342151641845703
agd,12,modularity,connectivity,true,61,60,0.003323078155517578
agd,13,connected_components,connectivity,false,66,65,0.0024950504302978516
agd,13,modularity,connectivity,false,66,65,0.0028438568115234375
agd,13,connected_components,connectivity,true,71,70,0.0033111572265625
agd,13,modularity,connectivity,true,71,70,0.0037581920623779297
agd,14,connected_components,connectivity,false,66,65,0.0027391910552978516
agd,14,modularity,connectivity,false,66,65,0.0025849342346191406
agd,14,connected_components,connectivity,true,62,61,0.003606081008911133
agd,14,modularity,connectivity,true,62,61,0.005349874496459961
agd,15,connected_components,connectivity,false,66,65,0.0032231807708740234
agd,15,modularity,connectivity,false,66,65,0.002828836441040039
agd,15,connected_components,connectivity,true,66,65,0.003123044967651367
agd,15,modularity,connectivity,true,66,65,0.0038590431213378906
agd,16,connected_components,connectivity,false,66,65,0.002660036087036133
agd,16,modularity,connectivity,false,66,65,0.0027980804443359375
agd,16,connected_components,connectivity,true,62,61,0.003313779830932617
