filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.0446162223815918
agd,2,modularity,connectivity,false,7,8,0.4564070701599121
agd,2,connected_components,connectivity,true,3,2,0.04317522048950195
agd,2,modularity,connectivity,true,6,9,0.4063420295715332
agd,3,connected_components,connectivity,false,4,4,0.0450289249420166
agd,3,modularity,connectivity,false,5,5,0.45420384407043457
agd,3,connected_components,connectivity,true,5,7,0.0414581298828125
agd,3,modularity,connectivity,true,9,19,0.30924415588378906
agd,4,connected_components,connectivity,false,8,12,0.043518781661987305
agd,4,modularity,connectivity,false,9,13,0.3901677131652832
agd,4,connected_components,connectivity,true,6,11,0.04153299331665039
agd,4,modularity,connectivity,true,11,34,0.2788090705871582
agd,5,connected_components,connectivity,false,10,16,0.04330587387084961
agd,5,modularity,connectivity,false,11,19,0.36353421211242676
agd,5,connected_components,connectivity,true,9,22,0.04110097885131836
agd,5,modularity,connectivity,true,17,62,0.2493901252746582
agd,6,connected_components,connectivity,false,9,22,0.042764902114868164
agd,6,modularity,connectivity,false,14,34,0.30754518508911133
agd,6,connected_components,connectivity,true,12,36,0.03916192054748535
agd,6,modularity,connectivity,true,18,71,0.20210623741149902
agd,7,connected_components,connectivity,false,10,28,0.03976798057556152
agd,7,modularity,connectivity,false,16,49,0.2587299346923828
agd,7,connected_components,connectivity,true,15,54,0.03909897804260254
agd,7,modularity,connectivity,true,23,102,0.19167184829711914
agd,8,connected_components,connectivity,false,13,40,0.040496110916137695
agd,8,modularity,connectivity,false,17,55,0.2516748905181885
agd,8,connected_components,connectivity,true,15,58,0.038826942443847656
agd,8,modularity,connectivity,true,20,91,0.1805250644683838
agd,9,connected_components,connectivity,false,16,53,0.04057002067565918
agd,9,modularity,connectivity,false,21,77,0.26162219047546387
agd,9,connected_components,connectivity,true,21,94,0.03903317451477051
agd,9,modularity,connectivity,true,26,129,0.1694343090057373
agd,10,connected_components,connectivity,false,19,69,0.040583133697509766
agd,10,modularity,connectivity,false,23,88,0.24982595443725586
agd,10,connected_components,connectivity,true,23,111,0.03911089897155762
agd,10,modularity,connectivity,true,31,178,0.1624751091003418
agd,11,connected_components,connectivity,false,16,71,0.04020285606384277
agd,11,modularity,connectivity,false,24,111,0.2195420265197754
agd,11,connected_components,connectivity,true,26,135,0.039476871490478516
agd,11,modularity,connectivity,true,33,197,0.15557026863098145
agd,12,connected_components,connectivity,false,18,87,0.04043388366699219
agd,12,modularity,connectivity,false,24,116,0.21219897270202637
