filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0006337165832519531
agd,2,modularity,connectivity,false,6,15,0.003909111022949219
agd,2,connected_components,connectivity,true,3,2,0.0007038116455078125
agd,2,modularity,connectivity,true,5,8,0.0019180774688720703
agd,3,connected_components,connectivity,false,3,3,0.0008358955383300781
agd,3,modularity,connectivity,false,9,36,0.006106853485107422
agd,3,connected_components,connectivity,true,4,5,0.0005402565002441406
agd,3,modularity,connectivity,true,6,12,0.0015060901641845703
agd,4,connected_components,connectivity,false,4,6,0.0011327266693115234
agd,4,modularity,connectivity,false,12,66,0.009785175323486328
agd,4,connected_components,connectivity,true,5,7,0.0007138252258300781
agd,4,modularity,connectivity,true,5,7,0.0014739036560058594
agd,5,connected_components,connectivity,false,5,10,0.0014882087707519531
agd,5,modularity,connectivity,false,15,105,0.011606931686401367
agd,5,connected_components,connectivity,true,5,8,0.0006062984466552734
agd,5,modularity,connectivity,true,5,8,0.001653909683227539
agd,6,connected_components,connectivity,false,6,15,0.0018038749694824219
agd,6,modularity,connectivity,false,18,153,0.01415395736694336
agd,6,connected_components,connectivity,true,7,15,0.0006668567657470703
agd,6,modularity,connectivity,true,7,15,0.0014400482177734375
agd,7,connected_components,connectivity,false,7,21,0.0022897720336914062
agd,7,modularity,connectivity,false,21,210,0.015428781509399414
agd,7,connected_components,connectivity,true,7,15,0.0007648468017578125
agd,7,modularity,connectivity,true,7,15,0.001692056655883789
agd,8,connected_components,connectivity,false,8,28,0.0031011104583740234
agd,8,modularity,connectivity,false,24,276,0.017039775848388672
agd,8,connected_components,connectivity,true,8,18,0.0007441043853759766
agd,8,modularity,connectivity,true,8,18,0.0018413066864013672
agd,9,connected_components,connectivity,false,9,36,0.0035479068756103516
agd,9,modularity,connectivity,false,27,351,0.021520137786865234
agd,9,connected_components,connectivity,true,9,21,0.0011568069458007812
agd,9,modularity,connectivity,true,9,21,0.0014801025390625
agd,10,connected_components,connectivity,false,10,45,0.004226207733154297
agd,10,modularity,connectivity,false,30,435,0.023011207580566406
agd,10,connected_components,connectivity,true,10,24,0.0008728504180908203
agd,10,modularity,connectivity,true,10,24,0.0012059211730957031
agd,11,connected_components,connectivity,false,11,55,0.0047490596771240234
agd,11,modularity,connectivity,false,33,528,0.025227069854736328
agd,11,connected_components,connectivity,true,12,43,0.001535177230834961
agd,11,modularity,connectivity,true,12,43,0.0025479793548583984
agd,12,connected_components,connectivity,false,12,66,0.00481724739074707
agd,12,modularity,connectivity,false,36,630,0.02919292449951172
agd,12,connected_components,connectivity,true,12,30,0.0010068416595458984
agd,12,modularity,connectivity,true,12,30,0.001833200454711914
agd,13,connected_components,connectivity,false,13,78,0.005227804183959961
agd,13,modularity,connectivity,false,39,741,0.030621767044067383
agd,13,connected_components,connectivity,true,12,30,0.0009362697601318359
agd,13,modularity,connectivity,true,12,30,0.0008947849273681641
agd,14,connected_components,connectivity,false,14,91,0.007463932037353516
agd,14,modularity,connectivity,false,42,861,0.03134894371032715
agd,14,connected_components,connectivity,true,12,30,0.0009300708770751953
agd,14,modularity,connectivity,true,12,30,0.0008928775787353516
agd,15,connected_components,connectivity,false,15,105,0.0069849491119384766
agd,15,modularity,connectivity,false,45,990,0.03490734100341797
agd,15,connected_components,connectivity,true,12,30,0.0010509490966796875
agd,15,modularity,connectivity,true,12,30,0.0009839534759521484
agd,16,connected_components,connectivity,false,16,120,0.007789134979248047
agd,16,modularity,connectivity,false,48,1128,0.03918313980102539
agd,16,connected_components,connectivity,true,12,30,0.0011248588562011719
agd,16,modularity,connectivity,true,12,30,0.0010390281677246094
agd,17,connected_components,connectivity,false,17,136,0.00866389274597168
agd,17,modularity,connectivity,false,51,1275,0.0382542610168457
agd,17,connected_components,connectivity,true,12,30,0.0009999275207519531
agd,17,modularity,connectivity,true,12,30,0.0009961128234863281
agd,18,connected_components,connectivity,false,18,153,0.010493040084838867
agd,18,modularity,connectivity,false,54,1431,0.04149627685546875
agd,18,connected_components,connectivity,true,12,30,0.0013990402221679688
agd,18,modularity,connectivity,true,12,30,0.0012242794036865234
agd,19,connected_components,connectivity,false,19,171,0.01123189926147461
agd,19,modularity,connectivity,false,57,1596,0.047129154205322266
agd,19,connected_components,connectivity,true,12,30,0.0010988712310791016
agd,19,modularity,connectivity,true,12,30,0.0010471343994140625
ecc,2,connected_components,connectivity,false,2,1,0.0008866786956787109
ecc,2,modularity,connectivity,false,6,15,0.003840923309326172
ecc,2,connected_components,connectivity,true,3,2,0.00042891502380371094
ecc,2,modularity,connectivity,true,5,8,0.0021390914916992188
ecc,3,connected_components,connectivity,false,3,3,0.0011019706726074219
ecc,3,modularity,connectivity,false,9,36,0.006369113922119141
ecc,3,connected_components,connectivity,true,4,5,0.0007479190826416016
ecc,3,modularity,connectivity,true,6,12,0.0020339488983154297
ecc,4,connected_components,connectivity,false,4,6,0.001680135726928711
ecc,4,modularity,connectivity,false,12,66,0.008579015731811523
ecc,4,connected_components,connectivity,true,5,7,0.0005998611450195312
ecc,4,modularity,connectivity,true,5,7,0.0014979839324951172
ecc,5,connected_components,connectivity,false,5,10,0.0024750232696533203
ecc,5,modularity,connectivity,false,15,105,0.013515233993530273
ecc,5,connected_components,connectivity,true,5,8,0.0005691051483154297
ecc,5,modularity,connectivity,true,5,8,0.0015900135040283203
ecc,6,connected_components,connectivity,false,6,15,0.0019521713256835938
