filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0005803108215332031
agd,2,modularity,connectivity,false,4,3,0.0027458667755126953
agd,2,connected_components,connectivity,true,3,2,0.0005128383636474609
agd,2,modularity,connectivity,true,5,5,0.002257823944091797
agd,3,connected_components,connectivity,false,5,4,0.0006122589111328125
agd,3,modularity,connectivity,false,6,5,0.002153158187866211
agd,3,connected_components,connectivity,true,5,4,0.0005650520324707031
agd,3,modularity,connectivity,true,7,8,0.0030248165130615234
agd,4,connected_components,connectivity,false,7,6,0.0006272792816162109
agd,4,modularity,connectivity,false,8,7,0.0020999908447265625
agd,4,connected_components,connectivity,true,9,10,0.0006921291351318359
agd,4,modularity,connectivity,true,10,13,0.0020380020141601562
agd,5,connected_components,connectivity,false,9,12,0.0007569789886474609
agd,5,modularity,connectivity,false,10,13,0.002973794937133789
agd,5,connected_components,connectivity,true,9,8,0.0007700920104980469
agd,5,modularity,connectivity,true,10,9,0.0023360252380371094
agd,6,connected_components,connectivity,false,7,6,0.0008420944213867188
agd,6,modularity,connectivity,false,8,7,0.002235889434814453
agd,6,connected_components,connectivity,true,13,18,0.0011630058288574219
agd,6,modularity,connectivity,true,14,19,0.002065896987915039
agd,7,connected_components,connectivity,false,7,6,0.0006940364837646484
agd,7,modularity,connectivity,false,8,7,0.0024259090423583984
agd,7,connected_components,connectivity,true,17,24,0.0011298656463623047
agd,7,modularity,connectivity,true,17,24,0.0017480850219726562
agd,8,connected_components,connectivity,false,7,6,0.0007011890411376953
agd,8,modularity,connectivity,false,8,7,0.002914905548095703
agd,8,connected_components,connectivity,true,15,22,0.0009970664978027344
agd,8,modularity,connectivity,true,15,22,0.002287149429321289
agd,9,connected_components,connectivity,false,7,6,0.0008749961853027344
agd,9,modularity,connectivity,false,8,7,0.0022840499877929688
agd,9,connected_components,connectivity,true,17,24,0.0011179447174072266
agd,9,modularity,connectivity,true,17,24,0.001764059066772461
agd,10,connected_components,connectivity,false,9,12,0.001329183578491211
agd,10,modularity,connectivity,false,10,13,0.0026509761810302734
agd,10,connected_components,connectivity,true,18,25,0.0012340545654296875
agd,10,modularity,connectivity,true,18,25,0.0014510154724121094
agd,11,connected_components,connectivity,false,9,8,0.0011320114135742188
agd,11,modularity,connectivity,false,10,9,0.0030698776245117188
agd,11,connected_components,connectivity,true,18,25,0.001142740249633789
agd,11,modularity,connectivity,true,18,25,0.0014541149139404297
agd,12,connected_components,connectivity,false,9,8,0.0008399486541748047
agd,12,modularity,connectivity,false,10,9,0.002496957778930664
agd,12,connected_components,connectivity,true,18,25,0.0010738372802734375
agd,12,modularity,connectivity,true,18,25,0.0013637542724609375
agd,13,connected_components,connectivity,false,9,8,0.0008099079132080078
agd,13,modularity,connectivity,false,10,9,0.0032830238342285156
agd,13,connected_components,connectivity,true,19,27,0.0012619495391845703
agd,13,modularity,connectivity,true,19,27,0.0013461112976074219
agd,14,connected_components,connectivity,false,9,8,0.0008349418640136719
agd,14,modularity,connectivity,false,10,9,0.0034601688385009766
agd,14,connected_components,connectivity,true,19,27,0.0015811920166015625
agd,14,modularity,connectivity,true,19,27,0.0015988349914550781
agd,15,connected_components,connectivity,false,9,8,0.0008988380432128906
agd,15,modularity,connectivity,false,10,9,0.002572774887084961
agd,15,connected_components,connectivity,true,19,27,0.001210927963256836
agd,15,modularity,connectivity,true,19,27,0.0013480186462402344
agd,16,connected_components,connectivity,false,9,8,0.0009191036224365234
agd,16,modularity,connectivity,false,10,9,0.0022802352905273438
agd,16,connected_components,connectivity,true,19,27,0.0011980533599853516
agd,16,modularity,connectivity,true,19,27,0.0018041133880615234
agd,17,connected_components,connectivity,false,9,8,0.0011448860168457031
agd,17,modularity,connectivity,false,10,9,0.0027091503143310547
agd,17,connected_components,connectivity,true,19,27,0.0021190643310546875
agd,17,modularity,connectivity,true,19,27,0.001466989517211914
agd,18,connected_components,connectivity,false,9,8,0.0009541511535644531
agd,18,modularity,connectivity,false,10,9,0.002293825149536133
agd,18,connected_components,connectivity,true,19,27,0.0012793540954589844
agd,18,modularity,connectivity,true,19,27,0.0018260478973388672
agd,19,connected_components,connectivity,false,9,8,0.0009407997131347656
agd,19,modularity,connectivity,false,10,9,0.0024368762969970703
agd,19,connected_components,connectivity,true,34,91,0.0020329952239990234
agd,19,modularity,connectivity,true,34,91,0.0026159286499023438
ecc,2,connected_components,connectivity,false,3,2,0.0007457733154296875
ecc,2,modularity,connectivity,false,4,3,0.0037500858306884766
ecc,2,connected_components,connectivity,true,3,2,0.0005869865417480469
ecc,2,modularity,connectivity,true,5,5,0.002579927444458008
ecc,3,connected_components,connectivity,false,5,4,0.0005450248718261719
ecc,3,modularity,connectivity,false,6,5,0.0020580291748046875
ecc,3,connected_components,connectivity,true,5,4,0.0005841255187988281
ecc,3,modularity,connectivity,true,7,8,0.0021660327911376953
ecc,4,connected_components,connectivity,false,7,10,0.0009129047393798828
ecc,4,modularity,connectivity,false,8,11,0.004046916961669922
ecc,4,connected_components,connectivity,true,9,10,0.0007030963897705078
ecc,4,modularity,connectivity,true,10,13,0.002258777618408203
ecc,5,connected_components,connectivity,false,9,8,0.0007572174072265625
ecc,5,modularity,connectivity,false,10,9,0.002198934555053711
ecc,5,connected_components,connectivity,true,9,8,0.0008552074432373047
ecc,5,modularity,connectivity,true,10,9,0.0029561519622802734
ecc,6,connected_components,connectivity,false,11,14,0.0008301734924316406
ecc,6,modularity,connectivity,false,12,15,0.0027399063110351562
ecc,6,connected_components,connectivity,true,13,18,0.0010488033294677734
ecc,6,modularity,connectivity,true,14,19,0.0019741058349609375
ecc,7,connected_components,connectivity,false,9,8,0.0007801055908203125
ecc,7,modularity,connectivity,false,10,9,0.002122163772583008
ecc,7,connected_components,connectivity,true,17,24,0.001489877700805664
ecc,7,modularity,connectivity,true,17,24,0.0013911724090576172
ecc,8,connected_components,connectivity,false,15,30,0.0010743141174316406
ecc,8,modularity,connectivity,false,16,31,0.0033822059631347656
ecc,8,connected_components,connectivity,true,15,22,0.0009839534759521484
ecc,8,modularity,connectivity,true,15,22,0.0021932125091552734
ecc,9,connected_components,connectivity,false,9,8,0.0010690689086914062
ecc,9,modularity,connectivity,false,10,9,0.002273082733154297
ecc,9,connected_components,connectivity,true,17,24,0.0013990402221679688
ecc,9,modularity,connectivity,true,17,24,0.0016510486602783203
ecc,10,connected_components,connectivity,false,11,14,0.0010058879852294922
ecc,10,modularity,connectivity,false,12,15,0.002434253692626953
ecc,10,connected_components,connectivity,true,18,25,0.0011599063873291016
ecc,10,modularity,connectivity,true,18,25,0.0016200542449951172
ecc,11,connected_components,connectivity,false,9,8,0.0010139942169189453
ecc,11,modularity,connectivity,false,10,9,0.002276897430419922
ecc,11,connected_components,connectivity,true,18,25,0.0013790130615234375
ecc,11,modularity,connectivity,true,18,25,0.0014150142669677734
ecc,12,connected_components,connectivity,false,15,30,0.0011658668518066406
ecc,12,modularity,connectivity,false,16,31,0.00463104248046875
ecc,12,connected_components,connectivity,true,18,25,0.0011110305786132812
ecc,12,modularity,connectivity,true,18,25,0.0014109611511230469
ecc,13,connected_components,connectivity,false,9,8,0.0009567737579345703
ecc,13,modularity,connectivity,false,10,9,0.0021429061889648438
ecc,13,connected_components,connectivity,true,19,27,0.0011241436004638672
ecc,13,modularity,connectivity,true,19,27,0.001529693603515625
ecc,14,connected_components,connectivity,false,11,14,0.0009839534759521484
ecc,14,modularity,connectivity,false,12,15,0.003398895263671875
ecc,14,connected_components,connectivity,true,19,27,0.0014581680297851562
ecc,14,modularity,connectivity,true,19,27,0.0013408660888671875
ecc,15,connected_components,connectivity,false,9,8,0.0008678436279296875
ecc,15,modularity,connectivity,false,10,9,0.0022389888763427734
ecc,15,connected_components,connectivity,true,19,27,0.0011897087097167969
ecc,15,modularity,connectivity,true,19,27,0.0016129016876220703
ecc,16,connected_components,connectivity,false,15,30,0.0020270347595214844
ecc,16,modularity,connectivity,false,16,31,0.0033736228942871094
ecc,16,connected_components,connectivity,true,19,27,0.0013587474822998047
ecc,16,modularity,connectivity,true,19,27,0.0017788410186767578
ecc,17,connected_components,connectivity,false,9,8,0.0014209747314453125
ecc,17,modularity,connectivity,false,10,9,0.0026650428771972656
ecc,17,connected_components,connectivity,true,19,27,0.0012187957763671875
ecc,17,modularity,connectivity,true,19,27,0.0013649463653564453
ecc,18,connected_components,connectivity,false,11,14,0.001401662826538086
ecc,18,modularity,connectivity,false,12,15,0.0027930736541748047
ecc,18,connected_components,connectivity,true,19,27,0.0012259483337402344
ecc,18,modularity,connectivity,true,19,27,0.0013878345489501953
ecc,19,connected_components,connectivity,false,9,8,0.0016629695892333984
ecc,19,modularity,connectivity,false,10,9,0.0022962093353271484
ecc,19,connected_components,connectivity,true,34,91,0.0022881031036376953
ecc,19,modularity,connectivity,true,34,91,0.0028810501098632812
pr_0_85,2,connected_components,connectivity,false,3,2,0.00075531005859375
pr_0_85,2,modularity,connectivity,false,5,4,0.002496957778930664
pr_0_85,2,connected_components,connectivity,true,5,4,0.0005590915679931641
pr_0_85,2,modularity,connectivity,true,7,9,0.002332925796508789
pr_0_85,3,connected_components,connectivity,false,3,2,0.0008749961853027344
pr_0_85,3,modularity,connectivity,false,5,4,0.002718210220336914
pr_0_85,3,connected_components,connectivity,true,7,6,0.0007450580596923828
pr_0_85,3,modularity,connectivity,true,7,6,0.002128124237060547
pr_0_85,4,connected_components,connectivity,false,5,4,0.0010497570037841797
pr_0_85,4,modularity,connectivity,false,6,5,0.0023910999298095703
pr_0_85,4,connected_components,connectivity,true,8,9,0.0008099079132080078
pr_0_85,4,modularity,connectivity,true,9,11,0.002733945846557617
pr_0_85,5,connected_components,connectivity,false,5,4,0.001997709274291992
pr_0_85,5,modularity,connectivity,false,6,5,0.0030078887939453125
pr_0_85,5,connected_components,connectivity,true,9,8,0.0008549690246582031
pr_0_85,5,modularity,connectivity,true,10,9,0.0021390914916992188
pr_0_85,6,connected_components,connectivity,false,5,4,0.0006928443908691406
pr_0_85,6,modularity,connectivity,false,6,5,0.002588987350463867
pr_0_85,6,connected_components,connectivity,true,11,15,0.000926971435546875
pr_0_85,6,modularity,connectivity,true,11,15,0.0022869110107421875
pr_0_85,7,connected_components,connectivity,false,5,4,0.0007779598236083984
pr_0_85,7,modularity,connectivity,false,6,5,0.0027608871459960938
pr_0_85,7,connected_components,connectivity,true,14,21,0.0009291172027587891
pr_0_85,7,modularity,connectivity,true,14,21,0.001920938491821289
pr_0_85,8,connected_components,connectivity,false,7,6,0.0007359981536865234
pr_0_85,8,modularity,connectivity,false,8,7,0.002542257308959961
pr_0_85,8,connected_components,connectivity,true,15,21,0.0010256767272949219
pr_0_85,8,modularity,connectivity,true,15,21,0.001851797103881836
