filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.005754947662353516
agd,2,modularity,connectivity,false,30,29,0.0386509895324707
agd,2,connected_components,connectivity,true,11,10,0.005608081817626953
agd,2,modularity,connectivity,true,32,31,0.03919482231140137
agd,3,connected_components,connectivity,false,17,16,0.005846977233886719
agd,3,modularity,connectivity,false,41,40,0.03751707077026367
agd,3,connected_components,connectivity,true,25,24,0.006060123443603516
agd,3,modularity,connectivity,true,51,50,0.035372018814086914
agd,4,connected_components,connectivity,false,25,24,0.006510734558105469
agd,4,modularity,connectivity,false,49,48,0.0356442928314209
agd,4,connected_components,connectivity,true,36,35,0.0064411163330078125
agd,4,modularity,connectivity,true,60,59,0.03435492515563965
agd,5,connected_components,connectivity,false,37,36,0.006708860397338867
agd,5,modularity,connectivity,false,63,62,0.03482317924499512
agd,5,connected_components,connectivity,true,51,50,0.00748896598815918
agd,5,modularity,connectivity,true,74,73,0.0341489315032959
agd,6,connected_components,connectivity,false,41,40,0.0070552825927734375
agd,6,modularity,connectivity,false,64,63,0.03456687927246094
agd,6,connected_components,connectivity,true,71,70,0.008161067962646484
agd,6,modularity,connectivity,true,94,93,0.03368186950683594
agd,7,connected_components,connectivity,false,53,52,0.007689952850341797
agd,7,modularity,connectivity,false,76,75,0.03428983688354492
agd,7,connected_components,connectivity,true,80,79,0.008594989776611328
agd,7,modularity,connectivity,true,103,102,0.03249001502990723
agd,8,connected_components,connectivity,false,63,62,0.008269071578979492
agd,8,modularity,connectivity,false,85,84,0.03405594825744629
agd,8,connected_components,connectivity,true,92,91,0.009142160415649414
agd,8,modularity,connectivity,true,112,111,0.0323331356048584
agd,9,connected_components,connectivity,false,71,70,0.008540153503417969
agd,9,modularity,connectivity,false,94,93,0.0373072624206543
agd,9,connected_components,connectivity,true,105,104,0.010306119918823242
agd,9,modularity,connectivity,true,123,122,0.0320591926574707
agd,10,connected_components,connectivity,false,83,82,0.009161949157714844
agd,10,modularity,connectivity,false,104,103,0.033287763595581055
agd,10,connected_components,connectivity,true,111,110,0.009952783584594727
agd,10,modularity,connectivity,true,129,128,0.031944990158081055
agd,11,connected_components,connectivity,false,93,92,0.009300947189331055
agd,11,modularity,connectivity,false,113,112,0.03178811073303223
agd,11,connected_components,connectivity,true,128,127,0.01042795181274414
agd,11,modularity,connectivity,true,144,143,0.03052067756652832
agd,12,connected_components,connectivity,false,101,100,0.00965118408203125
agd,12,modularity,connectivity,false,118,117,0.03235602378845215
agd,12,connected_components,connectivity,true,137,136,0.010766744613647461
agd,12,modularity,connectivity,true,152,151,0.03089618682861328
agd,13,connected_components,connectivity,false,119,118,0.011035919189453125
agd,13,modularity,connectivity,false,129,128,0.03400301933288574
agd,13,connected_components,connectivity,true,147,148,0.011285066604614258
agd,13,modularity,connectivity,true,160,162,0.031197309494018555
agd,14,connected_components,connectivity,false,129,128,0.010751008987426758
agd,14,modularity,connectivity,false,140,139,0.030993938446044922
agd,14,connected_components,connectivity,true,153,152,0.011328935623168945
agd,14,modularity,connectivity,true,162,161,0.03042316436767578
agd,15,connected_components,connectivity,false,139,138,0.011235237121582031
agd,15,modularity,connectivity,false,148,147,0.030787229537963867
agd,15,connected_components,connectivity,true,163,162,0.011787891387939453
agd,15,modularity,connectivity,true,171,170,0.03013300895690918
agd,16,connected_components,connectivity,false,147,146,0.011532783508300781
agd,16,modularity,connectivity,false,153,152,0.030569791793823242
agd,16,connected_components,connectivity,true,172,171,0.012194156646728516
agd,16,modularity,connectivity,true,177,176,0.0299990177154541
agd,17,connected_components,connectivity,false,149,148,0.011667013168334961
agd,17,modularity,connectivity,false,156,155,0.030606985092163086
agd,17,connected_components,connectivity,true,171,170,0.012215137481689453
agd,17,modularity,connectivity,true,179,178,0.03150796890258789
agd,18,connected_components,connectivity,false,157,156,0.012089967727661133
agd,18,modularity,connectivity,false,161,160,0.030772924423217773
agd,18,connected_components,connectivity,true,180,179,0.012692928314208984
agd,18,modularity,connectivity,true,185,184,0.030265092849731445
agd,19,connected_components,connectivity,false,167,166,0.012524127960205078
agd,19,modularity,connectivity,false,171,170,0.03047013282775879
agd,19,connected_components,connectivity,true,186,185,0.03216910362243652
agd,19,modularity,connectivity,true,189,188,0.029580116271972656
ecc,2,connected_components,connectivity,false,7,6,0.005541801452636719
ecc,2,modularity,connectivity,false,29,28,0.03826475143432617
ecc,2,connected_components,connectivity,true,7,6,0.00531005859375
ecc,2,modularity,connectivity,true,29,28,0.0381169319152832
ecc,3,connected_components,connectivity,false,13,12,0.005464076995849609
ecc,3,modularity,connectivity,false,40,39,0.036203861236572266
ecc,3,connected_components,connectivity,true,16,15,0.005549192428588867
ecc,3,modularity,connectivity,true,44,43,0.033946990966796875
ecc,4,connected_components,connectivity,false,19,18,0.005666971206665039
ecc,4,modularity,connectivity,false,49,48,0.03312277793884277
ecc,4,connected_components,connectivity,true,23,22,0.005852699279785156
ecc,4,modularity,connectivity,true,47,46,0.03388524055480957
ecc,5,connected_components,connectivity,false,25,24,0.006020784378051758
ecc,5,modularity,connectivity,false,57,56,0.03379988670349121
ecc,5,connected_components,connectivity,true,25,24,0.006078958511352539
ecc,5,modularity,connectivity,true,57,56,0.0338587760925293
ecc,6,connected_components,connectivity,false,31,30,0.0065059661865234375
ecc,6,modularity,connectivity,false,62,61,0.03500676155090332
ecc,6,connected_components,connectivity,true,37,36,0.006812095642089844
ecc,6,modularity,connectivity,true,62,61,0.03325176239013672
ecc,7,connected_components,connectivity,false,37,36,0.0066411495208740234
ecc,7,modularity,connectivity,false,64,63,0.03333306312561035
ecc,7,connected_components,connectivity,true,45,44,0.007119894027709961
ecc,7,modularity,connectivity,true,74,73,0.03289389610290527
ecc,8,connected_components,connectivity,false,43,42,0.006999969482421875
ecc,8,modularity,connectivity,false,76,75,0.03339385986328125
ecc,8,connected_components,connectivity,true,51,50,0.007241010665893555
ecc,8,modularity,connectivity,true,79,78,0.03301191329956055
ecc,9,connected_components,connectivity,false,49,48,0.007874011993408203
ecc,9,modularity,connectivity,false,84,83,0.034696102142333984
ecc,9,connected_components,connectivity,true,57,56,0.007747173309326172
ecc,9,modularity,connectivity,true,86,85,0.03270077705383301
ecc,10,connected_components,connectivity,false,55,54,0.007700920104980469
ecc,10,modularity,connectivity,false,80,79,0.03324699401855469
ecc,10,connected_components,connectivity,true,55,54,0.007838249206542969
ecc,10,modularity,connectivity,true,80,79,0.033239126205444336
ecc,11,connected_components,connectivity,false,61,60,0.008250951766967773
ecc,11,modularity,connectivity,false,85,84,0.03326106071472168
ecc,11,connected_components,connectivity,true,72,71,0.008553028106689453
ecc,11,modularity,connectivity,true,95,94,0.03252100944519043
ecc,12,connected_components,connectivity,false,67,66,0.008674144744873047
ecc,12,modularity,connectivity,false,93,92,0.034136056900024414
ecc,12,connected_components,connectivity,true,79,78,0.009019851684570312
ecc,12,modularity,connectivity,true,102,101,0.03231692314147949
ecc,13,connected_components,connectivity,false,73,72,0.008787870407104492
ecc,13,modularity,connectivity,false,97,96,0.03270387649536133
ecc,13,connected_components,connectivity,true,86,85,0.00916600227355957
ecc,13,modularity,connectivity,true,111,110,0.03211688995361328
ecc,14,connected_components,connectivity,false,79,78,0.008663177490234375
ecc,14,modularity,connectivity,false,105,104,0.03184103965759277
ecc,14,connected_components,connectivity,true,92,91,0.011301755905151367
ecc,14,modularity,connectivity,true,109,108,0.030709028244018555
ecc,15,connected_components,connectivity,false,85,84,0.009268045425415039
ecc,15,modularity,connectivity,false,113,113,0.03319573402404785
ecc,15,connected_components,connectivity,true,100,99,0.009635210037231445
ecc,15,modularity,connectivity,true,117,116,0.03050708770751953
ecc,16,connected_components,connectivity,false,91,90,0.009467124938964844
ecc,16,modularity,connectivity,false,121,120,0.03159284591674805
ecc,16,connected_components,connectivity,true,108,107,0.009936094284057617
ecc,16,modularity,connectivity,true,120,119,0.030222177505493164
ecc,17,connected_components,connectivity,false,97,96,0.010894298553466797
ecc,17,modularity,connectivity,false,129,136,0.040033817291259766
ecc,17,connected_components,connectivity,true,112,111,0.010191202163696289
