filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0009391307830810547
agd,2,modularity,connectivity,false,3,2,0.003076791763305664
agd,2,connected_components,connectivity,true,3,2,0.0005168914794921875
agd,2,modularity,connectivity,true,4,3,0.00215911865234375
agd,3,connected_components,connectivity,false,3,2,0.00048470497131347656
agd,3,modularity,connectivity,false,4,3,0.003340005874633789
agd,3,connected_components,connectivity,true,3,2,0.0007748603820800781
agd,3,modularity,connectivity,true,4,3,0.001909017562866211
agd,4,connected_components,connectivity,false,4,3,0.0005288124084472656
agd,4,modularity,connectivity,false,5,4,0.0025157928466796875
agd,4,connected_components,connectivity,true,5,5,0.0006089210510253906
agd,4,modularity,connectivity,true,6,6,0.002665996551513672
agd,5,connected_components,connectivity,false,5,4,0.0006129741668701172
agd,5,modularity,connectivity,false,6,5,0.002466917037963867
agd,5,connected_components,connectivity,true,6,8,0.0006289482116699219
agd,5,modularity,connectivity,true,6,8,0.0018138885498046875
agd,6,connected_components,connectivity,false,5,4,0.0006029605865478516
agd,6,modularity,connectivity,false,6,5,0.0033719539642333984
agd,6,connected_components,connectivity,true,6,8,0.0006997585296630859
agd,6,modularity,connectivity,true,6,8,0.0019919872283935547
agd,7,connected_components,connectivity,false,5,4,0.0006089210510253906
agd,7,modularity,connectivity,false,6,5,0.0026476383209228516
agd,7,connected_components,connectivity,true,7,12,0.0008189678192138672
agd,7,modularity,connectivity,true,7,12,0.003142118453979492
agd,8,connected_components,connectivity,false,5,4,0.0006458759307861328
agd,8,modularity,connectivity,false,6,5,0.0023958683013916016
agd,8,connected_components,connectivity,true,9,18,0.0009038448333740234
agd,8,modularity,connectivity,true,9,18,0.0019140243530273438
agd,9,connected_components,connectivity,false,7,6,0.0006897449493408203
agd,9,modularity,connectivity,false,7,6,0.0028717517852783203
agd,9,connected_components,connectivity,true,9,18,0.0008251667022705078
agd,9,modularity,connectivity,true,9,18,0.0017709732055664062
agd,10,connected_components,connectivity,false,7,6,0.000743865966796875
agd,10,modularity,connectivity,false,7,6,0.002547025680541992
agd,10,connected_components,connectivity,true,10,24,0.0008838176727294922
agd,10,modularity,connectivity,true,10,24,0.0025539398193359375
agd,11,connected_components,connectivity,false,7,6,0.0007901191711425781
agd,11,modularity,connectivity,false,7,6,0.002452850341796875
agd,11,connected_components,connectivity,true,12,32,0.001226186752319336
agd,11,modularity,connectivity,true,12,32,0.001605987548828125
agd,12,connected_components,connectivity,false,7,6,0.0007870197296142578
agd,12,modularity,connectivity,false,7,6,0.002180814743041992
agd,12,connected_components,connectivity,true,12,32,0.0009968280792236328
agd,12,modularity,connectivity,true,12,32,0.0019991397857666016
agd,13,connected_components,connectivity,false,7,6,0.0012750625610351562
agd,13,modularity,connectivity,false,7,6,0.0021932125091552734
agd,13,connected_components,connectivity,true,13,40,0.0010139942169189453
agd,13,modularity,connectivity,true,13,40,0.001363992691040039
agd,14,connected_components,connectivity,false,7,6,0.001329183578491211
agd,14,modularity,connectivity,false,7,6,0.0025129318237304688
agd,14,connected_components,connectivity,true,14,51,0.0013082027435302734
agd,14,modularity,connectivity,true,14,51,0.0029239654541015625
agd,15,connected_components,connectivity,false,7,6,0.0008027553558349609
agd,15,modularity,connectivity,false,7,6,0.0030519962310791016
agd,15,connected_components,connectivity,true,15,50,0.001135110855102539
agd,15,modularity,connectivity,true,15,50,0.001119852066040039
agd,16,connected_components,connectivity,false,7,6,0.0008189678192138672
agd,16,modularity,connectivity,false,7,6,0.003551959991455078
agd,16,connected_components,connectivity,true,16,59,0.0012259483337402344
agd,16,modularity,connectivity,true,16,59,0.0012350082397460938
agd,17,connected_components,connectivity,false,7,6,0.0008428096771240234
agd,17,modularity,connectivity,false,7,6,0.0022478103637695312
agd,17,connected_components,connectivity,true,15,50,0.0011529922485351562
agd,17,modularity,connectivity,true,15,50,0.00180816650390625
agd,18,connected_components,connectivity,false,7,6,0.0008940696716308594
agd,18,modularity,connectivity,false,7,6,0.0022499561309814453
agd,18,connected_components,connectivity,true,16,59,0.0012409687042236328
agd,18,modularity,connectivity,true,16,59,0.0015201568603515625
agd,19,connected_components,connectivity,false,7,6,0.0009200572967529297
agd,19,modularity,connectivity,false,7,6,0.002260923385620117
agd,19,connected_components,connectivity,true,15,50,0.001190185546875
agd,19,modularity,connectivity,true,15,50,0.0011959075927734375
ecc,2,connected_components,connectivity,false,3,2,0.0013320446014404297
ecc,2,modularity,connectivity,false,3,2,0.0028591156005859375
ecc,2,connected_components,connectivity,true,3,2,0.0005731582641601562
ecc,2,modularity,connectivity,true,4,3,0.0021550655364990234
ecc,3,connected_components,connectivity,false,5,6,0.0006222724914550781
ecc,3,modularity,connectivity,false,5,6,0.0033998489379882812
ecc,3,connected_components,connectivity,true,4,4,0.0005831718444824219
ecc,3,modularity,connectivity,true,5,5,0.0018720626831054688
ecc,4,connected_components,connectivity,false,7,6,0.0006041526794433594
ecc,4,modularity,connectivity,false,7,6,0.0019850730895996094
ecc,4,connected_components,connectivity,true,6,8,0.0006401538848876953
ecc,4,modularity,connectivity,true,7,9,0.0022721290588378906
ecc,5,connected_components,connectivity,false,7,6,0.000926971435546875
ecc,5,modularity,connectivity,false,7,6,0.002300262451171875
ecc,5,connected_components,connectivity,true,7,9,0.0008490085601806641
ecc,5,modularity,connectivity,true,7,9,0.002039194107055664
ecc,6,connected_components,connectivity,false,11,16,0.0010962486267089844
ecc,6,modularity,connectivity,false,11,16,0.002299070358276367
ecc,6,connected_components,connectivity,true,8,13,0.0007719993591308594
ecc,6,modularity,connectivity,true,8,13,0.0019230842590332031
ecc,7,connected_components,connectivity,false,7,6,0.0007181167602539062
ecc,7,modularity,connectivity,false,7,6,0.002476215362548828
ecc,7,connected_components,connectivity,true,10,21,0.0010039806365966797
ecc,7,modularity,connectivity,true,10,21,0.0029916763305664062
ecc,8,connected_components,connectivity,false,7,6,0.0007319450378417969
ecc,8,modularity,connectivity,false,7,6,0.002554178237915039
ecc,8,connected_components,connectivity,true,11,25,0.0009238719940185547
ecc,8,modularity,connectivity,true,11,25,0.0017809867858886719
ecc,9,connected_components,connectivity,false,11,16,0.0009307861328125
ecc,9,modularity,connectivity,false,11,16,0.002716064453125
ecc,9,connected_components,connectivity,true,11,25,0.0008940696716308594
ecc,9,modularity,connectivity,true,11,25,0.0015709400177001953
ecc,10,connected_components,connectivity,false,7,6,0.0006840229034423828
ecc,10,modularity,connectivity,false,7,6,0.0027341842651367188
ecc,10,connected_components,connectivity,true,12,32,0.0012409687042236328
ecc,10,modularity,connectivity,true,12,32,0.0016026496887207031
ecc,11,connected_components,connectivity,false,7,6,0.0007228851318359375
ecc,11,modularity,connectivity,false,7,6,0.0021140575408935547
ecc,11,connected_components,connectivity,true,13,40,0.0010139942169189453
ecc,11,modularity,connectivity,true,13,40,0.0020661354064941406
ecc,12,connected_components,connectivity,false,11,16,0.0010082721710205078
ecc,12,modularity,connectivity,false,11,16,0.002512216567993164
ecc,12,connected_components,connectivity,true,13,40,0.0015149116516113281
ecc,12,modularity,connectivity,true,13,40,0.0019011497497558594
ecc,13,connected_components,connectivity,false,7,6,0.0007836818695068359
ecc,13,modularity,connectivity,false,7,6,0.0021071434020996094
ecc,13,connected_components,connectivity,true,14,49,0.0010480880737304688
ecc,13,modularity,connectivity,true,14,49,0.001867055892944336
ecc,14,connected_components,connectivity,false,7,6,0.0008640289306640625
ecc,14,modularity,connectivity,false,7,6,0.0021381378173828125
ecc,14,connected_components,connectivity,true,18,67,0.0013928413391113281
ecc,14,modularity,connectivity,true,18,67,0.0024449825286865234
ecc,15,connected_components,connectivity,false,11,16,0.0013849735260009766
ecc,15,modularity,connectivity,false,11,16,0.0024671554565429688
ecc,15,connected_components,connectivity,true,15,50,0.0011239051818847656
ecc,15,modularity,connectivity,true,15,50,0.0011179447174072266
ecc,16,connected_components,connectivity,false,7,6,0.000926971435546875
ecc,16,modularity,connectivity,false,7,6,0.0029900074005126953
ecc,16,connected_components,connectivity,true,16,59,0.0014836788177490234
ecc,16,modularity,connectivity,true,16,59,0.0012042522430419922
ecc,17,connected_components,connectivity,false,7,6,0.0008640289306640625
ecc,17,modularity,connectivity,false,7,6,0.0021839141845703125
ecc,17,connected_components,connectivity,true,15,50,0.0017938613891601562
ecc,17,modularity,connectivity,true,15,50,0.001329183578491211
ecc,18,connected_components,connectivity,false,11,16,0.0012028217315673828
ecc,18,modularity,connectivity,false,11,16,0.003284931182861328
ecc,18,connected_components,connectivity,true,16,59,0.0016779899597167969
ecc,18,modularity,connectivity,true,16,59,0.0013670921325683594
ecc,19,connected_components,connectivity,false,7,6,0.0008990764617919922
ecc,19,modularity,connectivity,false,7,6,0.0023009777069091797
ecc,19,connected_components,connectivity,true,15,50,0.0012240409851074219
ecc,19,modularity,connectivity,true,15,50,0.00150299072265625
pr_0_85,2,connected_components,connectivity,false,4,3,0.000659942626953125
pr_0_85,2,modularity,connectivity,false,4,3,0.0024797916412353516
pr_0_85,2,connected_components,connectivity,true,3,2,0.0005011558532714844
pr_0_85,2,modularity,connectivity,true,4,3,0.0021448135375976562
pr_0_85,3,connected_components,connectivity,false,5,4,0.0009102821350097656
pr_0_85,3,modularity,connectivity,false,5,4,0.0027561187744140625
pr_0_85,3,connected_components,connectivity,true,3,2,0.0005183219909667969
pr_0_85,3,modularity,connectivity,true,4,3,0.0019388198852539062
pr_0_85,4,connected_components,connectivity,false,6,5,0.0006039142608642578
pr_0_85,4,modularity,connectivity,false,6,5,0.002415180206298828
pr_0_85,4,connected_components,connectivity,true,6,6,0.0007686614990234375
pr_0_85,4,modularity,connectivity,true,6,6,0.002172231674194336
pr_0_85,5,connected_components,connectivity,false,7,6,0.0007238388061523438
pr_0_85,5,modularity,connectivity,false,7,6,0.0022590160369873047
pr_0_85,5,connected_components,connectivity,true,7,9,0.0007410049438476562
pr_0_85,5,modularity,connectivity,true,7,9,0.002814769744873047
pr_0_85,6,connected_components,connectivity,false,7,6,0.0006792545318603516
pr_0_85,6,modularity,connectivity,false,7,6,0.0020329952239990234
pr_0_85,6,connected_components,connectivity,true,7,9,0.0006847381591796875
pr_0_85,6,modularity,connectivity,true,7,9,0.001955270767211914
pr_0_85,7,connected_components,connectivity,false,7,6,0.0006690025329589844
pr_0_85,7,modularity,connectivity,false,7,6,0.002876758575439453
pr_0_85,7,connected_components,connectivity,true,9,15,0.0011339187622070312
pr_0_85,7,modularity,connectivity,true,9,15,0.0023889541625976562
pr_0_85,8,connected_components,connectivity,false,7,6,0.0006890296936035156
pr_0_85,8,modularity,connectivity,false,7,6,0.002087831497192383
pr_0_85,8,connected_components,connectivity,true,10,19,0.0012500286102294922
pr_0_85,8,modularity,connectivity,true,10,19,0.0024399757385253906
pr_0_85,9,connected_components,connectivity,false,7,6,0.0007250308990478516
pr_0_85,9,modularity,connectivity,false,7,6,0.0022172927856445312
pr_0_85,9,connected_components,connectivity,true,10,19,0.0008189678192138672
pr_0_85,9,modularity,connectivity,true,10,19,0.002079010009765625
pr_0_85,10,connected_components,connectivity,false,7,6,0.0011169910430908203
pr_0_85,10,modularity,connectivity,false,7,6,0.0021219253540039062
pr_0_85,10,connected_components,connectivity,true,11,25,0.00090789794921875
pr_0_85,10,modularity,connectivity,true,11,25,0.0020339488983154297
pr_0_85,11,connected_components,connectivity,false,7,6,0.0015072822570800781
pr_0_85,11,modularity,connectivity,false,7,6,0.0023949146270751953
pr_0_85,11,connected_components,connectivity,true,13,33,0.0009620189666748047
pr_0_85,11,modularity,connectivity,true,13,33,0.001355886459350586
pr_0_85,12,connected_components,connectivity,false,7,6,0.0007741451263427734
pr_0_85,12,modularity,connectivity,false,7,6,0.002696990966796875
pr_0_85,12,connected_components,connectivity,true,13,33,0.0014650821685791016
pr_0_85,12,modularity,connectivity,true,13,33,0.0015702247619628906
pr_0_85,13,connected_components,connectivity,false,7,6,0.0008218288421630859
pr_0_85,13,modularity,connectivity,false,7,6,0.0022089481353759766
pr_0_85,13,connected_components,connectivity,true,14,41,0.0011582374572753906
pr_0_85,13,modularity,connectivity,true,14,41,0.0013852119445800781
pr_0_85,14,connected_components,connectivity,false,7,6,0.0009150505065917969
pr_0_85,14,modularity,connectivity,false,7,6,0.0021829605102539062
pr_0_85,14,connected_components,connectivity,true,15,47,0.001291036605834961
pr_0_85,14,modularity,connectivity,true,15,47,0.004076957702636719
pr_0_85,15,connected_components,connectivity,false,7,6,0.0008330345153808594
pr_0_85,15,modularity,connectivity,false,7,6,0.002300262451171875
pr_0_85,15,connected_components,connectivity,true,15,50,0.0011267662048339844
pr_0_85,15,modularity,connectivity,true,15,50,0.0011138916015625
pr_0_85,16,connected_components,connectivity,false,7,6,0.0008320808410644531
pr_0_85,16,modularity,connectivity,false,7,6,0.003632783889770508
pr_0_85,16,connected_components,connectivity,true,16,59,0.0012359619140625
