filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,5,4,0.0019791126251220703
agd,2,modularity,connectivity,false,9,11,0.01583099365234375
agd,2,connected_components,connectivity,true,13,12,0.0020029544830322266
agd,2,modularity,connectivity,true,15,18,0.013390064239501953
agd,3,connected_components,connectivity,false,9,9,0.0018811225891113281
agd,3,modularity,connectivity,false,12,15,0.01566481590270996
agd,3,connected_components,connectivity,true,23,25,0.002223968505859375
agd,3,modularity,connectivity,true,25,33,0.011482715606689453
agd,4,connected_components,connectivity,false,20,19,0.0021810531616210938
agd,4,modularity,connectivity,false,23,27,0.013924837112426758
agd,4,connected_components,connectivity,true,25,29,0.0023801326751708984
agd,4,modularity,connectivity,true,29,44,0.01129293441772461
agd,5,connected_components,connectivity,false,24,27,0.0023300647735595703
agd,5,modularity,connectivity,false,27,39,0.01168203353881836
agd,5,connected_components,connectivity,true,33,46,0.0025217533111572266
agd,5,modularity,connectivity,true,37,65,0.009702205657958984
agd,6,connected_components,connectivity,false,32,34,0.0027251243591308594
agd,6,modularity,connectivity,false,34,41,0.010767221450805664
agd,6,connected_components,connectivity,true,32,49,0.002635955810546875
agd,6,modularity,connectivity,true,37,71,0.00962209701538086
agd,7,connected_components,connectivity,false,31,32,0.0025408267974853516
agd,7,modularity,connectivity,false,35,45,0.010542869567871094
agd,7,connected_components,connectivity,true,36,59,0.002714872360229492
agd,7,modularity,connectivity,true,38,67,0.00912022590637207
agd,8,connected_components,connectivity,false,35,38,0.002813100814819336
agd,8,modularity,connectivity,false,39,52,0.009944915771484375
agd,8,connected_components,connectivity,true,40,76,0.0030448436737060547
agd,8,modularity,connectivity,true,45,102,0.009547948837280273
agd,9,connected_components,connectivity,false,34,38,0.002647876739501953
agd,9,modularity,connectivity,false,38,55,0.009510040283203125
agd,9,connected_components,connectivity,true,41,79,0.0030171871185302734
agd,9,modularity,connectivity,true,42,84,0.008970975875854492
agd,10,connected_components,connectivity,false,34,43,0.0027921199798583984
agd,10,modularity,connectivity,false,37,55,0.009241104125976562
agd,10,connected_components,connectivity,true,43,77,0.0030570030212402344
agd,10,modularity,connectivity,true,45,90,0.009484052658081055
agd,11,connected_components,connectivity,false,38,53,0.0029129981994628906
agd,11,modularity,connectivity,false,41,66,0.009116172790527344
agd,11,connected_components,connectivity,true,53,108,0.003592967987060547
agd,11,modularity,connectivity,true,53,108,0.008196830749511719
agd,12,connected_components,connectivity,false,39,54,0.0031938552856445312
agd,12,modularity,connectivity,false,41,63,0.009027719497680664
agd,12,connected_components,connectivity,true,53,104,0.003518819808959961
agd,12,modularity,connectivity,true,55,113,0.008613824844360352
agd,13,connected_components,connectivity,false,38,54,0.002913951873779297
agd,13,modularity,connectivity,false,41,66,0.008664131164550781
agd,13,connected_components,connectivity,true,52,104,0.0033500194549560547
agd,13,modularity,connectivity,true,52,104,0.007871150970458984
agd,14,connected_components,connectivity,false,38,51,0.0031790733337402344
agd,14,modularity,connectivity,false,42,66,0.008767127990722656
agd,14,connected_components,connectivity,true,52,106,0.003571033477783203
agd,14,modularity,connectivity,true,53,109,0.009971857070922852
agd,15,connected_components,connectivity,false,41,62,0.0032689571380615234
agd,15,modularity,connectivity,false,44,77,0.009233951568603516
agd,15,connected_components,connectivity,true,56,126,0.003885030746459961
agd,15,modularity,connectivity,true,56,126,0.007921934127807617
agd,16,connected_components,connectivity,false,44,68,0.006678104400634766
agd,16,modularity,connectivity,false,46,79,0.007881879806518555
agd,16,connected_components,connectivity,true,56,127,0.0048749446868896484
agd,16,modularity,connectivity,true,56,127,0.008918046951293945
agd,17,connected_components,connectivity,false,45,70,0.0032188892364501953
agd,17,modularity,connectivity,false,47,81,0.008596181869506836
agd,17,connected_components,connectivity,true,56,123,0.0038199424743652344
agd,17,modularity,connectivity,true,56,123,0.007815837860107422
agd,18,connected_components,connectivity,false,46,72,0.003567934036254883
agd,18,modularity,connectivity,false,48,82,0.008336782455444336
agd,18,connected_components,connectivity,true,56,127,0.0037598609924316406
agd,18,modularity,connectivity,true,56,127,0.010938167572021484
agd,19,connected_components,connectivity,false,44,75,0.003779172897338867
agd,19,modularity,connectivity,false,45,80,0.008455038070678711
agd,19,connected_components,connectivity,true,63,168,0.0042438507080078125
agd,19,modularity,connectivity,true,63,168,0.009685039520263672
ecc,2,connected_components,connectivity,false,13,12,0.003086090087890625
ecc,2,modularity,connectivity,false,20,36,0.020895719528198242
ecc,2,connected_components,connectivity,true,17,16,0.0020058155059814453
ecc,2,modularity,connectivity,true,21,32,0.011968851089477539
ecc,3,connected_components,connectivity,false,29,29,0.0021491050720214844
ecc,3,modularity,connectivity,false,34,47,0.009440898895263672
ecc,3,connected_components,connectivity,true,29,32,0.002299785614013672
ecc,3,modularity,connectivity,true,31,46,0.010409832000732422
ecc,4,connected_components,connectivity,false,42,62,0.0038328170776367188
ecc,4,modularity,connectivity,false,51,111,0.015301942825317383
ecc,4,connected_components,connectivity,true,30,38,0.002463102340698242
ecc,4,modularity,connectivity,true,35,60,0.01070404052734375
ecc,5,connected_components,connectivity,false,29,29,0.0022881031036376953
ecc,5,modularity,connectivity,false,34,47,0.009713888168334961
ecc,5,connected_components,connectivity,true,34,44,0.0025408267974853516
ecc,5,modularity,connectivity,true,37,61,0.00940394401550293
ecc,6,connected_components,connectivity,false,42,62,0.00362396240234375
ecc,6,modularity,connectivity,false,51,111,0.01531076431274414
ecc,6,connected_components,connectivity,true,38,50,0.002744913101196289
ecc,6,modularity,connectivity,true,41,68,0.010551929473876953
ecc,7,connected_components,connectivity,false,29,29,0.00240325927734375
ecc,7,modularity,connectivity,false,34,47,0.010008096694946289
ecc,7,connected_components,connectivity,true,41,57,0.0028421878814697266
ecc,7,modularity,connectivity,true,43,74,0.009144067764282227
ecc,8,connected_components,connectivity,false,42,62,0.0038030147552490234
ecc,8,modularity,connectivity,false,51,111,0.017858028411865234
ecc,8,connected_components,connectivity,true,42,59,0.0030760765075683594
ecc,8,modularity,connectivity,true,44,73,0.00915217399597168
ecc,9,connected_components,connectivity,false,29,29,0.0024340152740478516
ecc,9,modularity,connectivity,false,34,47,0.009956121444702148
ecc,9,connected_components,connectivity,true,41,56,0.002907991409301758
ecc,9,modularity,connectivity,true,43,71,0.009830236434936523
ecc,10,connected_components,connectivity,false,42,62,0.0047647953033447266
ecc,10,modularity,connectivity,false,51,111,0.01555013656616211
ecc,10,connected_components,connectivity,true,47,73,0.0030510425567626953
ecc,10,modularity,connectivity,true,49,84,0.008809089660644531
ecc,11,connected_components,connectivity,false,29,29,0.0024657249450683594
ecc,11,modularity,connectivity,false,34,47,0.010607004165649414
ecc,11,connected_components,connectivity,true,45,68,0.0032701492309570312
ecc,11,modularity,connectivity,true,46,78,0.009387016296386719
ecc,12,connected_components,connectivity,false,42,62,0.0038101673126220703
ecc,12,modularity,connectivity,false,51,111,0.01671433448791504
ecc,12,connected_components,connectivity,true,43,63,0.003123044967651367
ecc,12,modularity,connectivity,true,45,76,0.009562015533447266
ecc,13,connected_components,connectivity,false,29,29,0.002482891082763672
ecc,13,modularity,connectivity,false,34,47,0.0107879638671875
ecc,13,connected_components,connectivity,true,49,81,0.003298044204711914
ecc,13,modularity,connectivity,true,50,85,0.008603811264038086
ecc,14,connected_components,connectivity,false,42,62,0.0038909912109375
ecc,14,modularity,connectivity,false,51,111,0.016843080520629883
ecc,14,connected_components,connectivity,true,49,82,0.0036602020263671875
ecc,14,modularity,connectivity,true,51,87,0.009270191192626953
ecc,15,connected_components,connectivity,false,29,29,0.0027790069580078125
ecc,15,modularity,connectivity,false,34,47,0.01036691665649414
ecc,15,connected_components,connectivity,true,50,81,0.0034780502319335938
ecc,15,modularity,connectivity,true,50,81,0.008772134780883789
ecc,16,connected_components,connectivity,false,42,62,0.003866910934448242
ecc,16,modularity,connectivity,false,51,111,0.01568007469177246
ecc,16,connected_components,connectivity,true,49,85,0.0037021636962890625
ecc,16,modularity,connectivity,true,51,91,0.009850263595581055
ecc,17,connected_components,connectivity,false,29,29,0.0028748512268066406
ecc,17,modularity,connectivity,false,34,47,0.010522842407226562
ecc,17,connected_components,connectivity,true,51,91,0.0034952163696289062
ecc,17,modularity,connectivity,true,52,93,0.008556842803955078
ecc,18,connected_components,connectivity,false,42,62,0.004189252853393555
ecc,18,modularity,connectivity,false,51,111,0.015913009643554688
ecc,18,connected_components,connectivity,true,49,84,0.003358125686645508
ecc,18,modularity,connectivity,true,51,89,0.008790969848632812
ecc,19,connected_components,connectivity,false,29,29,0.002798795700073242
ecc,19,modularity,connectivity,false,34,47,0.010605096817016602
ecc,19,connected_components,connectivity,true,61,129,0.004264354705810547
ecc,19,modularity,connectivity,true,61,129,0.010324954986572266
pr_0_85,2,connected_components,connectivity,false,8,7,0.001940011978149414
pr_0_85,2,modularity,connectivity,false,12,16,0.014605045318603516
pr_0_85,2,connected_components,connectivity,true,33,32,0.002579927444458008
pr_0_85,2,modularity,connectivity,true,36,53,0.01214909553527832
pr_0_85,3,connected_components,connectivity,false,18,19,0.0020956993103027344
pr_0_85,3,modularity,connectivity,false,25,38,0.012990236282348633
pr_0_85,3,connected_components,connectivity,true,36,37,0.002856016159057617
pr_0_85,3,modularity,connectivity,true,39,60,0.011183023452758789
pr_0_85,4,connected_components,connectivity,false,29,40,0.0024950504302978516
pr_0_85,4,modularity,connectivity,false,32,52,0.010204792022705078
pr_0_85,4,connected_components,connectivity,true,38,42,0.0026459693908691406
pr_0_85,4,modularity,connectivity,true,41,66,0.009639739990234375
pr_0_85,5,connected_components,connectivity,false,29,40,0.002707958221435547
pr_0_85,5,modularity,connectivity,false,32,51,0.009691715240478516
pr_0_85,5,connected_components,connectivity,true,43,53,0.0031588077545166016
pr_0_85,5,modularity,connectivity,true,45,66,0.009134054183959961
pr_0_85,6,connected_components,connectivity,false,33,58,0.0027489662170410156
pr_0_85,6,modularity,connectivity,false,35,67,0.009328126907348633
pr_0_85,6,connected_components,connectivity,true,44,57,0.002838134765625
pr_0_85,6,modularity,connectivity,true,45,65,0.008825063705444336
pr_0_85,7,connected_components,connectivity,false,37,65,0.002755880355834961
pr_0_85,7,modularity,connectivity,false,39,74,0.009038209915161133
pr_0_85,7,connected_components,connectivity,true,46,62,0.003083944320678711
pr_0_85,7,modularity,connectivity,true,47,71,0.008193016052246094
pr_0_85,8,connected_components,connectivity,false,38,63,0.0028700828552246094
pr_0_85,8,modularity,connectivity,false,39,68,0.009264945983886719
pr_0_85,8,connected_components,connectivity,true,47,68,0.0030379295349121094
pr_0_85,8,modularity,connectivity,true,48,78,0.013611078262329102
pr_0_85,9,connected_components,connectivity,false,41,78,0.0031080245971679688
pr_0_85,9,modularity,connectivity,false,42,84,0.009192943572998047
pr_0_85,9,connected_components,connectivity,true,49,81,0.0031499862670898438
pr_0_85,9,modularity,connectivity,true,50,92,0.008336782455444336
pr_0_85,10,connected_components,connectivity,false,42,79,0.003245830535888672
pr_0_85,10,modularity,connectivity,false,43,85,0.008623123168945312
pr_0_85,10,connected_components,connectivity,true,52,92,0.003244161605834961
pr_0_85,10,modularity,connectivity,true,53,104,0.008102893829345703
pr_0_85,11,connected_components,connectivity,false,45,87,0.003640890121459961
pr_0_85,11,modularity,connectivity,false,46,93,0.008723020553588867
pr_0_85,11,connected_components,connectivity,true,50,88,0.0031938552856445312
pr_0_85,11,modularity,connectivity,true,52,102,0.00813913345336914
pr_0_85,12,connected_components,connectivity,false,48,102,0.0032160282135009766
pr_0_85,12,modularity,connectivity,false,49,108,0.009133100509643555
pr_0_85,12,connected_components,connectivity,true,50,91,0.0032930374145507812
pr_0_85,12,modularity,connectivity,true,52,104,0.008715152740478516
pr_0_85,13,connected_components,connectivity,false,48,103,0.0033309459686279297
