filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0006301403045654297
agd,2,modularity,connectivity,false,6,15,0.004067659378051758
agd,2,connected_components,connectivity,true,2,1,0.00047087669372558594
agd,2,modularity,connectivity,true,6,12,0.0027179718017578125
agd,3,connected_components,connectivity,false,3,3,0.0010602474212646484
agd,3,modularity,connectivity,false,9,36,0.006304025650024414
agd,3,connected_components,connectivity,true,3,3,0.0005171298980712891
agd,3,modularity,connectivity,true,8,17,0.0026443004608154297
agd,4,connected_components,connectivity,false,4,6,0.0012159347534179688
agd,4,modularity,connectivity,false,12,66,0.009935855865478516
agd,4,connected_components,connectivity,true,4,4,0.0005688667297363281
agd,4,modularity,connectivity,true,8,16,0.0018801689147949219
agd,5,connected_components,connectivity,false,5,10,0.001554250717163086
agd,5,modularity,connectivity,false,15,105,0.012598037719726562
agd,5,connected_components,connectivity,true,5,10,0.0006761550903320312
agd,5,modularity,connectivity,true,9,20,0.002245187759399414
agd,6,connected_components,connectivity,false,6,15,0.0019409656524658203
agd,6,modularity,connectivity,false,18,153,0.014097929000854492
agd,6,connected_components,connectivity,true,6,12,0.0007262229919433594
agd,6,modularity,connectivity,true,6,12,0.0023729801177978516
agd,7,connected_components,connectivity,false,7,21,0.0021560192108154297
agd,7,modularity,connectivity,false,21,210,0.016611814498901367
agd,7,connected_components,connectivity,true,7,15,0.0006740093231201172
agd,7,modularity,connectivity,true,7,15,0.0018551349639892578
agd,8,connected_components,connectivity,false,8,28,0.002531290054321289
agd,8,modularity,connectivity,false,24,276,0.01832127571105957
agd,8,connected_components,connectivity,true,8,16,0.0007660388946533203
agd,8,modularity,connectivity,true,8,16,0.0019729137420654297
agd,9,connected_components,connectivity,false,9,36,0.0030760765075683594
agd,9,modularity,connectivity,false,27,351,0.022678136825561523
agd,9,connected_components,connectivity,true,9,19,0.0008378028869628906
agd,9,modularity,connectivity,true,9,19,0.0021448135375976562
agd,10,connected_components,connectivity,false,10,45,0.0038840770721435547
agd,10,modularity,connectivity,false,30,435,0.023197174072265625
agd,10,connected_components,connectivity,true,10,21,0.0009052753448486328
agd,10,modularity,connectivity,true,10,21,0.0021750926971435547
agd,11,connected_components,connectivity,false,11,55,0.004149913787841797
agd,11,modularity,connectivity,false,33,528,0.02554488182067871
agd,11,connected_components,connectivity,true,11,19,0.0009300708770751953
agd,11,modularity,connectivity,true,11,19,0.0018880367279052734
agd,12,connected_components,connectivity,false,12,66,0.00475621223449707
agd,12,modularity,connectivity,false,36,630,0.027932167053222656
agd,12,connected_components,connectivity,true,12,22,0.0009620189666748047
agd,12,modularity,connectivity,true,12,22,0.0019278526306152344
agd,13,connected_components,connectivity,false,13,78,0.005117893218994141
agd,13,modularity,connectivity,false,39,741,0.030417203903198242
agd,13,connected_components,connectivity,true,13,21,0.000982046127319336
agd,13,modularity,connectivity,true,13,21,0.0014309883117675781
agd,14,connected_components,connectivity,false,14,91,0.006142854690551758
agd,14,modularity,connectivity,false,42,861,0.03444504737854004
agd,14,connected_components,connectivity,true,14,22,0.0010018348693847656
agd,14,modularity,connectivity,true,14,22,0.0014410018920898438
agd,15,connected_components,connectivity,false,15,105,0.006991863250732422
agd,15,modularity,connectivity,false,45,990,0.03728771209716797
agd,15,connected_components,connectivity,true,15,56,0.002009153366088867
agd,15,modularity,connectivity,true,15,56,0.004815101623535156
agd,16,connected_components,connectivity,false,16,120,0.006510019302368164
agd,16,modularity,connectivity,false,48,1128,0.04008913040161133
agd,16,connected_components,connectivity,true,16,24,0.0011179447174072266
agd,16,modularity,connectivity,true,16,24,0.0010619163513183594
agd,17,connected_components,connectivity,false,17,136,0.008433103561401367
agd,17,modularity,connectivity,false,51,1275,0.041107892990112305
agd,17,connected_components,connectivity,true,16,24,0.0011091232299804688
agd,17,modularity,connectivity,true,16,24,0.0012021064758300781
agd,18,connected_components,connectivity,false,18,153,0.008887052536010742
agd,18,modularity,connectivity,false,54,1431,0.04466605186462402
agd,18,connected_components,connectivity,true,18,30,0.0015819072723388672
agd,18,modularity,connectivity,true,18,30,0.0031728744506835938
agd,19,connected_components,connectivity,false,19,171,0.008687257766723633
agd,19,modularity,connectivity,false,57,1596,0.04815673828125
agd,19,connected_components,connectivity,true,16,24,0.0011339187622070312
agd,19,modularity,connectivity,true,16,24,0.0011432170867919922
ecc,2,connected_components,connectivity,false,2,1,0.0008671283721923828
ecc,2,modularity,connectivity,false,6,15,0.00458216667175293
ecc,2,connected_components,connectivity,true,2,1,0.0004379749298095703
ecc,2,modularity,connectivity,true,6,12,0.001867055892944336
ecc,3,connected_components,connectivity,false,3,3,0.0008502006530761719
ecc,3,modularity,connectivity,false,9,36,0.00735783576965332
ecc,3,connected_components,connectivity,true,3,3,0.0004851818084716797
ecc,3,modularity,connectivity,true,8,17,0.0020151138305664062
ecc,4,connected_components,connectivity,false,4,6,0.0011820793151855469
ecc,4,modularity,connectivity,false,12,66,0.009920835494995117
ecc,4,connected_components,connectivity,true,4,4,0.0005183219909667969
ecc,4,modularity,connectivity,true,8,16,0.0017461776733398438
ecc,5,connected_components,connectivity,false,5,10,0.001512765884399414
ecc,5,modularity,connectivity,false,15,105,0.011644840240478516
ecc,5,connected_components,connectivity,true,5,10,0.0006198883056640625
ecc,5,modularity,connectivity,true,9,20,0.0021419525146484375
ecc,6,connected_components,connectivity,false,6,15,0.001962900161743164
ecc,6,modularity,connectivity,false,18,153,0.01428079605102539
ecc,6,connected_components,connectivity,true,6,12,0.0006582736968994141
ecc,6,modularity,connectivity,true,6,12,0.0019791126251220703
ecc,7,connected_components,connectivity,false,7,21,0.002166748046875
