filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.002080202102661133
agd,2,modularity,connectivity,false,11,27,0.018372058868408203
agd,2,connected_components,connectivity,true,21,20,0.0026421546936035156
agd,2,modularity,connectivity,true,27,58,0.015100717544555664
agd,3,connected_components,connectivity,false,7,6,0.002177000045776367
agd,3,modularity,connectivity,false,15,41,0.018172025680541992
agd,3,connected_components,connectivity,true,37,50,0.003133058547973633
agd,3,modularity,connectivity,true,43,85,0.01261591911315918
agd,4,connected_components,connectivity,false,12,11,0.002379894256591797
agd,4,modularity,connectivity,false,18,28,0.01771712303161621
agd,4,connected_components,connectivity,true,48,76,0.003618955612182617
agd,4,modularity,connectivity,true,53,112,0.012064695358276367
agd,5,connected_components,connectivity,false,15,14,0.002507925033569336
agd,5,modularity,connectivity,false,22,45,0.017272233963012695
agd,5,connected_components,connectivity,true,58,95,0.0039119720458984375
agd,5,modularity,connectivity,true,64,133,0.011809110641479492
agd,6,connected_components,connectivity,false,21,23,0.002755880355834961
agd,6,modularity,connectivity,false,26,43,0.016810894012451172
agd,6,connected_components,connectivity,true,62,100,0.00407099723815918
agd,6,modularity,connectivity,true,67,137,0.011250972747802734
agd,7,connected_components,connectivity,false,26,28,0.0029609203338623047
agd,7,modularity,connectivity,false,31,56,0.015921831130981445
agd,7,connected_components,connectivity,true,65,105,0.004210948944091797
agd,7,modularity,connectivity,true,70,138,0.010402202606201172
agd,8,connected_components,connectivity,false,35,39,0.0032379627227783203
agd,8,modularity,connectivity,false,41,74,0.01508188247680664
agd,8,connected_components,connectivity,true,74,130,0.004586935043334961
agd,8,modularity,connectivity,true,77,156,0.010904073715209961
agd,9,connected_components,connectivity,false,38,43,0.004937171936035156
agd,9,modularity,connectivity,false,43,85,0.014935970306396484
agd,9,connected_components,connectivity,true,74,127,0.00458073616027832
agd,9,modularity,connectivity,true,77,153,0.010233163833618164
agd,10,connected_components,connectivity,false,38,44,0.0034058094024658203
agd,10,modularity,connectivity,false,43,83,0.013443946838378906
agd,10,connected_components,connectivity,true,82,156,0.0049970149993896484
agd,10,modularity,connectivity,true,85,177,0.009918928146362305
agd,11,connected_components,connectivity,false,45,56,0.0036859512329101562
agd,11,modularity,connectivity,false,50,90,0.012678861618041992
agd,11,connected_components,connectivity,true,78,137,0.004857063293457031
agd,11,modularity,connectivity,true,79,147,0.010825872421264648
agd,12,connected_components,connectivity,false,49,61,0.003821134567260742
agd,12,modularity,connectivity,false,56,113,0.01207876205444336
agd,12,connected_components,connectivity,true,80,149,0.004973173141479492
agd,12,modularity,connectivity,true,82,164,0.009699106216430664
agd,13,connected_components,connectivity,false,50,63,0.0038518905639648438
agd,13,modularity,connectivity,false,56,100,0.012152910232543945
agd,13,connected_components,connectivity,true,80,145,0.004945039749145508
agd,13,modularity,connectivity,true,83,163,0.008823871612548828
agd,14,connected_components,connectivity,false,48,63,0.0038499832153320312
agd,14,modularity,connectivity,false,54,96,0.012104988098144531
agd,14,connected_components,connectivity,true,82,151,0.0050699710845947266
agd,14,modularity,connectivity,true,85,169,0.009101152420043945
agd,15,connected_components,connectivity,false,52,71,0.0040302276611328125
agd,15,modularity,connectivity,false,59,115,0.011644840240478516
agd,15,connected_components,connectivity,true,88,169,0.007951736450195312
agd,15,modularity,connectivity,true,91,189,0.009332895278930664
agd,16,connected_components,connectivity,false,55,81,0.004213809967041016
agd,16,modularity,connectivity,false,60,117,0.011423826217651367
agd,16,connected_components,connectivity,true,87,168,0.00537419319152832
agd,16,modularity,connectivity,true,89,182,0.009201288223266602
agd,17,connected_components,connectivity,false,56,82,0.004235982894897461
agd,17,modularity,connectivity,false,60,107,0.011828184127807617
agd,17,connected_components,connectivity,true,87,164,0.00532984733581543
agd,17,modularity,connectivity,true,88,172,0.00844573974609375
agd,18,connected_components,connectivity,false,59,87,0.004372358322143555
agd,18,modularity,connectivity,false,65,125,0.011123895645141602
agd,18,connected_components,connectivity,true,87,165,0.0054111480712890625
agd,18,modularity,connectivity,true,88,172,0.008699893951416016
agd,19,connected_components,connectivity,false,61,91,0.0045549869537353516
agd,19,modularity,connectivity,false,66,129,0.011115789413452148
agd,19,connected_components,connectivity,true,88,165,0.005452871322631836
agd,19,modularity,connectivity,true,90,176,0.007910966873168945
ecc,2,connected_components,connectivity,false,12,11,0.0027189254760742188
ecc,2,modularity,connectivity,false,21,45,0.01879596710205078
ecc,2,connected_components,connectivity,true,19,18,0.002569913864135742
ecc,2,modularity,connectivity,true,27,74,0.01409006118774414
ecc,3,connected_components,connectivity,false,22,25,0.0026869773864746094
ecc,3,modularity,connectivity,false,28,53,0.01659703254699707
ecc,3,connected_components,connectivity,true,38,50,0.0031538009643554688
ecc,3,modularity,connectivity,true,43,97,0.011305809020996094
ecc,4,connected_components,connectivity,false,37,58,0.004048824310302734
ecc,4,modularity,connectivity,false,47,128,0.025562047958374023
ecc,4,connected_components,connectivity,true,42,67,0.0033817291259765625
ecc,4,modularity,connectivity,true,52,117,0.01123809814453125
