filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0004260540008544922
agd,2,modularity,connectivity,false,4,6,0.0016329288482666016
agd,2,connected_components,connectivity,true,2,1,0.0002601146697998047
agd,2,modularity,connectivity,true,2,1,0.0007429122924804688
agd,3,connected_components,connectivity,false,3,3,0.0004658699035644531
agd,3,modularity,connectivity,false,6,15,0.0034360885620117188
agd,3,connected_components,connectivity,true,4,5,0.00048804283142089844
agd,3,modularity,connectivity,true,4,5,0.0006968975067138672
agd,4,connected_components,connectivity,false,4,6,0.0006330013275146484
agd,4,modularity,connectivity,false,8,28,0.003429889678955078
agd,4,connected_components,connectivity,true,4,5,0.0003597736358642578
agd,4,modularity,connectivity,true,4,5,0.0006661415100097656
agd,5,connected_components,connectivity,false,5,10,0.0013802051544189453
agd,5,modularity,connectivity,false,10,45,0.004743814468383789
agd,5,connected_components,connectivity,true,6,14,0.0005161762237548828
agd,5,modularity,connectivity,true,6,14,0.0009849071502685547
agd,6,connected_components,connectivity,false,6,15,0.0009891986846923828
agd,6,modularity,connectivity,false,12,66,0.00586700439453125
agd,6,connected_components,connectivity,true,6,12,0.00045490264892578125
agd,6,modularity,connectivity,true,6,12,0.0004401206970214844
agd,7,connected_components,connectivity,false,7,21,0.0011610984802246094
agd,7,modularity,connectivity,false,14,91,0.005741119384765625
agd,7,connected_components,connectivity,true,6,12,0.0005681514739990234
agd,7,modularity,connectivity,true,6,12,0.0005049705505371094
agd,8,connected_components,connectivity,false,8,28,0.0013842582702636719
agd,8,modularity,connectivity,false,16,120,0.006661891937255859
agd,8,connected_components,connectivity,true,6,12,0.0008361339569091797
agd,8,modularity,connectivity,true,6,12,0.0004868507385253906
agd,9,connected_components,connectivity,false,9,36,0.0016062259674072266
agd,9,modularity,connectivity,false,18,153,0.007934093475341797
agd,9,connected_components,connectivity,true,6,12,0.0005230903625488281
agd,9,modularity,connectivity,true,6,12,0.0004928112030029297
agd,10,connected_components,connectivity,false,10,45,0.001767873764038086
agd,10,modularity,connectivity,false,20,190,0.009282827377319336
agd,10,connected_components,connectivity,true,9,26,0.000701904296875
agd,10,modularity,connectivity,true,9,26,0.0008170604705810547
agd,11,connected_components,connectivity,false,11,55,0.004065990447998047
agd,11,modularity,connectivity,false,22,231,0.010475635528564453
agd,11,connected_components,connectivity,true,6,12,0.0005419254302978516
agd,11,modularity,connectivity,true,6,12,0.0005271434783935547
agd,12,connected_components,connectivity,false,12,66,0.002293109893798828
agd,12,modularity,connectivity,false,24,276,0.011407136917114258
agd,12,connected_components,connectivity,true,6,12,0.0005612373352050781
agd,12,modularity,connectivity,true,6,12,0.0005407333374023438
agd,13,connected_components,connectivity,false,13,78,0.002566099166870117
agd,13,modularity,connectivity,false,26,325,0.012269020080566406
agd,13,connected_components,connectivity,true,6,12,0.0005791187286376953
agd,13,modularity,connectivity,true,6,12,0.0005609989166259766
agd,14,connected_components,connectivity,false,14,91,0.0028460025787353516
agd,14,modularity,connectivity,false,28,378,0.013211965560913086
agd,14,connected_components,connectivity,true,6,12,0.0006201267242431641
agd,14,modularity,connectivity,true,6,12,0.0006000995635986328
agd,15,connected_components,connectivity,false,15,105,0.0031130313873291016
agd,15,modularity,connectivity,false,30,435,0.020588159561157227
agd,15,connected_components,connectivity,true,10,32,0.0008518695831298828
agd,15,modularity,connectivity,true,10,32,0.0008051395416259766
agd,16,connected_components,connectivity,false,16,120,0.003712892532348633
agd,16,modularity,connectivity,false,32,496,0.016698837280273438
agd,16,connected_components,connectivity,true,6,12,0.0006992816925048828
agd,16,modularity,connectivity,true,6,12,0.0006701946258544922
agd,17,connected_components,connectivity,false,17,136,0.004004001617431641
agd,17,modularity,connectivity,false,34,561,0.01753091812133789
agd,17,connected_components,connectivity,true,6,12,0.0007879734039306641
agd,17,modularity,connectivity,true,6,12,0.0006389617919921875
agd,18,connected_components,connectivity,false,18,153,0.0041577816009521484
agd,18,modularity,connectivity,false,36,630,0.01817607879638672
agd,18,connected_components,connectivity,true,6,12,0.0006639957427978516
agd,18,modularity,connectivity,true,6,12,0.0006418228149414062
agd,19,connected_components,connectivity,false,19,171,0.004642963409423828
agd,19,modularity,connectivity,false,38,703,0.020312786102294922
agd,19,connected_components,connectivity,true,6,12,0.0007052421569824219
agd,19,modularity,connectivity,true,6,12,0.0007371902465820312
ecc,2,connected_components,connectivity,false,2,1,0.0004019737243652344
ecc,2,modularity,connectivity,false,4,6,0.0016171932220458984
ecc,2,connected_components,connectivity,true,2,1,0.0002608299255371094
ecc,2,modularity,connectivity,true,2,1,0.0011148452758789062
ecc,3,connected_components,connectivity,false,3,3,0.0005471706390380859
ecc,3,modularity,connectivity,false,6,15,0.00251007080078125
ecc,3,connected_components,connectivity,true,4,5,0.00033402442932128906
ecc,3,modularity,connectivity,true,4,5,0.0007109642028808594
ecc,4,connected_components,connectivity,false,4,6,0.0006232261657714844
ecc,4,modularity,connectivity,false,8,28,0.0035271644592285156
ecc,4,connected_components,connectivity,true,4,5,0.0005481243133544922
ecc,4,modularity,connectivity,true,4,5,0.0006871223449707031
ecc,5,connected_components,connectivity,false,5,10,0.0007932186126708984
ecc,5,modularity,connectivity,false,10,45,0.00398707389831543
ecc,5,connected_components,connectivity,true,6,14,0.0004956722259521484
ecc,5,modularity,connectivity,true,6,14,0.0011310577392578125
ecc,6,connected_components,connectivity,false,6,15,0.0014221668243408203
