filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0004968643188476562
agd,2,modularity,connectivity,false,4,6,0.0017478466033935547
agd,2,connected_components,connectivity,true,2,1,0.00029587745666503906
agd,2,modularity,connectivity,true,2,1,0.0007801055908203125
agd,3,connected_components,connectivity,false,3,3,0.0005009174346923828
agd,3,modularity,connectivity,false,6,15,0.002727985382080078
agd,3,connected_components,connectivity,true,4,5,0.00037598609924316406
agd,3,modularity,connectivity,true,4,5,0.0006809234619140625
agd,4,connected_components,connectivity,false,4,6,0.000659942626953125
agd,4,modularity,connectivity,false,8,28,0.0033898353576660156
agd,4,connected_components,connectivity,true,4,5,0.0005400180816650391
agd,4,modularity,connectivity,true,4,5,0.0007300376892089844
agd,5,connected_components,connectivity,false,5,10,0.0009701251983642578
agd,5,modularity,connectivity,false,10,45,0.004079103469848633
agd,5,connected_components,connectivity,true,6,14,0.0014369487762451172
agd,5,modularity,connectivity,true,6,14,0.0021669864654541016
agd,6,connected_components,connectivity,false,6,15,0.0019431114196777344
agd,6,modularity,connectivity,false,12,66,0.007475137710571289
agd,6,connected_components,connectivity,true,6,12,0.0007920265197753906
agd,6,modularity,connectivity,true,6,12,0.0008630752563476562
agd,7,connected_components,connectivity,false,7,21,0.0016067028045654297
agd,7,modularity,connectivity,false,14,91,0.009030818939208984
agd,7,connected_components,connectivity,true,6,12,0.0007402896881103516
agd,7,modularity,connectivity,true,6,12,0.0007109642028808594
agd,8,connected_components,connectivity,false,8,28,0.0021660327911376953
agd,8,modularity,connectivity,false,16,120,0.014655828475952148
agd,8,connected_components,connectivity,true,6,12,0.0006692409515380859
agd,8,modularity,connectivity,true,6,12,0.0006411075592041016
agd,9,connected_components,connectivity,false,9,36,0.0026099681854248047
agd,9,modularity,connectivity,false,18,153,0.01377415657043457
agd,9,connected_components,connectivity,true,6,12,0.0010271072387695312
agd,9,modularity,connectivity,true,6,12,0.0010361671447753906
agd,10,connected_components,connectivity,false,10,45,0.0037488937377929688
agd,10,modularity,connectivity,false,20,190,0.018418073654174805
agd,10,connected_components,connectivity,true,9,26,0.001220703125
agd,10,modularity,connectivity,true,9,26,0.0012979507446289062
agd,11,connected_components,connectivity,false,11,55,0.002672910690307617
agd,11,modularity,connectivity,false,22,231,0.015254020690917969
agd,11,connected_components,connectivity,true,6,12,0.0006282329559326172
agd,11,modularity,connectivity,true,6,12,0.0009069442749023438
agd,12,connected_components,connectivity,false,12,66,0.003704071044921875
agd,12,modularity,connectivity,false,24,276,0.017310142517089844
agd,12,connected_components,connectivity,true,6,12,0.0008499622344970703
agd,12,modularity,connectivity,true,6,12,0.0011053085327148438
agd,13,connected_components,connectivity,false,13,78,0.0059282779693603516
agd,13,modularity,connectivity,false,26,325,0.020323991775512695
agd,13,connected_components,connectivity,true,6,12,0.0007102489471435547
agd,13,modularity,connectivity,true,6,12,0.0006668567657470703
agd,14,connected_components,connectivity,false,14,91,0.005049943923950195
agd,14,modularity,connectivity,false,28,378,0.020737886428833008
agd,14,connected_components,connectivity,true,6,12,0.0011172294616699219
agd,14,modularity,connectivity,true,6,12,0.0010256767272949219
agd,15,connected_components,connectivity,false,15,105,0.003467082977294922
agd,15,modularity,connectivity,false,30,435,0.015942096710205078
agd,15,connected_components,connectivity,true,10,32,0.0008687973022460938
agd,15,modularity,connectivity,true,10,32,0.0008258819580078125
agd,16,connected_components,connectivity,false,16,120,0.003777742385864258
agd,16,modularity,connectivity,false,32,496,0.016109943389892578
agd,16,connected_components,connectivity,true,6,12,0.0006611347198486328
agd,16,modularity,connectivity,true,6,12,0.0006170272827148438
agd,17,connected_components,connectivity,false,17,136,0.0038771629333496094
agd,17,modularity,connectivity,false,34,561,0.01786494255065918
agd,17,connected_components,connectivity,true,6,12,0.0006861686706542969
agd,17,modularity,connectivity,true,6,12,0.0007269382476806641
agd,18,connected_components,connectivity,false,18,153,0.005953073501586914
agd,18,modularity,connectivity,false,36,630,0.02172112464904785
agd,18,connected_components,connectivity,true,6,12,0.0010449886322021484
agd,18,modularity,connectivity,true,6,12,0.0009088516235351562
agd,19,connected_components,connectivity,false,19,171,0.005829811096191406
agd,19,modularity,connectivity,false,38,703,0.01932382583618164
agd,19,connected_components,connectivity,true,6,12,0.0007128715515136719
agd,19,modularity,connectivity,true,6,12,0.0007500648498535156
ecc,2,connected_components,connectivity,false,2,1,0.00046372413635253906
ecc,2,modularity,connectivity,false,4,6,0.0018489360809326172
ecc,2,connected_components,connectivity,true,2,1,0.0005059242248535156
ecc,2,modularity,connectivity,true,2,1,0.0009949207305908203
ecc,3,connected_components,connectivity,false,3,3,0.0005469322204589844
ecc,3,modularity,connectivity,false,6,15,0.0025098323822021484
ecc,3,connected_components,connectivity,true,4,5,0.0003421306610107422
ecc,3,modularity,connectivity,true,4,5,0.0006501674652099609
ecc,4,connected_components,connectivity,false,4,6,0.0006339550018310547
ecc,4,modularity,connectivity,false,8,28,0.005126237869262695
ecc,4,connected_components,connectivity,true,4,5,0.0004010200500488281
ecc,4,modularity,connectivity,true,4,5,0.0007300376892089844
ecc,5,connected_components,connectivity,false,5,10,0.0008349418640136719
ecc,5,modularity,connectivity,false,10,45,0.004239320755004883
ecc,5,connected_components,connectivity,true,6,14,0.0005540847778320312
ecc,5,modularity,connectivity,true,6,14,0.001405954360961914
