filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0009148120880126953
agd,2,modularity,connectivity,false,6,15,0.005711078643798828
agd,2,connected_components,connectivity,true,2,1,0.0005078315734863281
agd,2,modularity,connectivity,true,8,17,0.002810955047607422
agd,3,connected_components,connectivity,false,3,3,0.0010259151458740234
agd,3,modularity,connectivity,false,9,36,0.007791757583618164
agd,3,connected_components,connectivity,true,3,3,0.0008330345153808594
agd,3,modularity,connectivity,true,7,14,0.0025899410247802734
agd,4,connected_components,connectivity,false,4,6,0.0012359619140625
agd,4,modularity,connectivity,false,12,66,0.010168075561523438
agd,4,connected_components,connectivity,true,4,6,0.0005598068237304688
agd,4,modularity,connectivity,true,8,17,0.0019290447235107422
agd,5,connected_components,connectivity,false,5,10,0.00160980224609375
agd,5,modularity,connectivity,false,15,105,0.013229846954345703
agd,5,connected_components,connectivity,true,5,10,0.0006000995635986328
agd,5,modularity,connectivity,true,8,17,0.001955747604370117
agd,6,connected_components,connectivity,false,6,15,0.00197601318359375
agd,6,modularity,connectivity,false,18,153,0.01572394371032715
agd,6,connected_components,connectivity,true,6,12,0.0006630420684814453
agd,6,modularity,connectivity,true,6,12,0.0019669532775878906
agd,7,connected_components,connectivity,false,7,21,0.0024671554565429688
agd,7,modularity,connectivity,false,21,210,0.017225980758666992
agd,7,connected_components,connectivity,true,7,16,0.0007131099700927734
agd,7,modularity,connectivity,true,7,16,0.0021240711212158203
agd,8,connected_components,connectivity,false,8,28,0.00273895263671875
agd,8,modularity,connectivity,false,24,276,0.020090103149414062
agd,8,connected_components,connectivity,true,8,17,0.0007727146148681641
agd,8,modularity,connectivity,true,8,17,0.002040863037109375
agd,9,connected_components,connectivity,false,9,36,0.003496885299682617
agd,9,modularity,connectivity,false,27,351,0.025022029876708984
agd,9,connected_components,connectivity,true,9,18,0.0008950233459472656
agd,9,modularity,connectivity,true,9,18,0.002315998077392578
agd,10,connected_components,connectivity,false,10,45,0.004297971725463867
agd,10,modularity,connectivity,false,30,435,0.026782989501953125
agd,10,connected_components,connectivity,true,10,19,0.0009119510650634766
agd,10,modularity,connectivity,true,10,19,0.0020720958709716797
agd,11,connected_components,connectivity,false,11,55,0.004483938217163086
agd,11,modularity,connectivity,false,33,528,0.02896595001220703
agd,11,connected_components,connectivity,true,11,20,0.0009300708770751953
agd,11,modularity,connectivity,true,11,20,0.002398252487182617
agd,12,connected_components,connectivity,false,12,66,0.009990215301513672
agd,12,modularity,connectivity,false,36,630,0.0318448543548584
agd,12,connected_components,connectivity,true,12,21,0.0009999275207519531
agd,12,modularity,connectivity,true,12,21,0.0018761157989501953
agd,13,connected_components,connectivity,false,13,78,0.006006956100463867
agd,13,modularity,connectivity,false,39,741,0.033911943435668945
agd,13,connected_components,connectivity,true,13,22,0.0009932518005371094
agd,13,modularity,connectivity,true,13,22,0.0017328262329101562
agd,14,connected_components,connectivity,false,14,91,0.006757259368896484
agd,14,modularity,connectivity,false,42,861,0.037161827087402344
agd,14,connected_components,connectivity,true,14,23,0.0010890960693359375
agd,14,modularity,connectivity,true,14,23,0.0016281604766845703
agd,15,connected_components,connectivity,false,15,105,0.0071790218353271484
agd,15,modularity,connectivity,false,45,990,0.045233964920043945
agd,15,connected_components,connectivity,true,15,24,0.001119852066040039
agd,15,modularity,connectivity,true,15,24,0.0015459060668945312
agd,16,connected_components,connectivity,false,16,120,0.008480072021484375
agd,16,modularity,connectivity,false,48,1128,0.04365897178649902
agd,16,connected_components,connectivity,true,16,25,0.0012099742889404297
agd,16,modularity,connectivity,true,16,25,0.001455068588256836
agd,17,connected_components,connectivity,false,17,136,0.00847005844116211
agd,17,modularity,connectivity,false,51,1275,0.04908275604248047
agd,17,connected_components,connectivity,true,17,56,0.0015070438385009766
agd,17,modularity,connectivity,true,17,56,0.003754138946533203
agd,18,connected_components,connectivity,false,18,153,0.008555173873901367
agd,18,modularity,connectivity,false,54,1431,0.053765058517456055
agd,18,connected_components,connectivity,true,18,27,0.0015418529510498047
