filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0007200241088867188
agd,2,modularity,connectivity,false,10,45,0.002595186233520508
agd,2,connected_components,connectivity,true,2,1,0.0003399848937988281
agd,2,modularity,connectivity,true,4,6,0.0012371540069580078
agd,3,connected_components,connectivity,false,3,3,0.0006136894226074219
agd,3,modularity,connectivity,false,15,105,0.004852771759033203
agd,3,connected_components,connectivity,true,5,7,0.0004899501800537109
agd,3,modularity,connectivity,true,7,15,0.0013539791107177734
agd,4,connected_components,connectivity,false,4,6,0.000911712646484375
agd,4,modularity,connectivity,false,20,190,0.00545501708984375
agd,4,connected_components,connectivity,true,6,10,0.0008089542388916016
agd,4,modularity,connectivity,true,6,10,0.0010848045349121094
agd,5,connected_components,connectivity,false,5,10,0.0010199546813964844
agd,5,modularity,connectivity,false,25,300,0.008095026016235352
agd,5,connected_components,connectivity,true,8,13,0.0005512237548828125
agd,5,modularity,connectivity,true,8,13,0.0008981227874755859
agd,6,connected_components,connectivity,false,6,15,0.0012531280517578125
agd,6,modularity,connectivity,false,30,435,0.009671926498413086
agd,6,connected_components,connectivity,true,9,17,0.0006480216979980469
agd,6,modularity,connectivity,true,9,17,0.0011289119720458984
agd,7,connected_components,connectivity,false,7,21,0.0014867782592773438
agd,7,modularity,connectivity,false,35,595,0.011104822158813477
agd,7,connected_components,connectivity,true,9,14,0.0006206035614013672
agd,7,modularity,connectivity,true,9,14,0.0008320808410644531
agd,8,connected_components,connectivity,false,8,28,0.0017559528350830078
agd,8,modularity,connectivity,false,40,780,0.013356208801269531
agd,8,connected_components,connectivity,true,9,14,0.0009150505065917969
agd,8,modularity,connectivity,true,9,14,0.0008001327514648438
agd,9,connected_components,connectivity,false,9,36,0.0020210742950439453
agd,9,modularity,connectivity,false,45,990,0.015140056610107422
agd,9,connected_components,connectivity,true,13,36,0.0009319782257080078
agd,9,modularity,connectivity,true,13,36,0.0015332698822021484
agd,10,connected_components,connectivity,false,10,45,0.0025522708892822266
agd,10,modularity,connectivity,false,50,1225,0.01679515838623047
agd,10,connected_components,connectivity,true,10,15,0.0007059574127197266
agd,10,modularity,connectivity,true,10,15,0.0008788108825683594
agd,11,connected_components,connectivity,false,11,55,0.003255128860473633
agd,11,modularity,connectivity,false,55,1485,0.037831783294677734
agd,11,connected_components,connectivity,true,10,15,0.0007569789886474609
agd,11,modularity,connectivity,true,10,15,0.0006968975067138672
agd,12,connected_components,connectivity,false,12,66,0.0035321712493896484
agd,12,modularity,connectivity,false,60,1770,0.02162003517150879
agd,12,connected_components,connectivity,true,12,21,0.0008878707885742188
agd,12,modularity,connectivity,true,12,21,0.0010519027709960938
agd,13,connected_components,connectivity,false,13,78,0.0038437843322753906
agd,13,modularity,connectivity,false,65,2080,0.023888826370239258
agd,13,connected_components,connectivity,true,10,15,0.0007750988006591797
agd,13,modularity,connectivity,true,10,15,0.0011513233184814453
agd,14,connected_components,connectivity,false,14,91,0.003737211227416992
agd,14,modularity,connectivity,false,70,2415,0.027214765548706055
agd,14,connected_components,connectivity,true,10,15,0.0009081363677978516
agd,14,modularity,connectivity,true,10,15,0.0007960796356201172
agd,15,connected_components,connectivity,false,15,105,0.004255056381225586
agd,15,modularity,connectivity,false,75,2775,0.029922962188720703
agd,15,connected_components,connectivity,true,12,21,0.0013151168823242188
agd,15,modularity,connectivity,true,12,21,0.0008749961853027344
agd,16,connected_components,connectivity,false,16,120,0.005195140838623047
agd,16,modularity,connectivity,false,80,3160,0.03329896926879883
agd,16,connected_components,connectivity,true,10,15,0.001544952392578125
agd,16,modularity,connectivity,true,10,15,0.0008540153503417969
agd,17,connected_components,connectivity,false,17,136,0.004831075668334961
agd,17,modularity,connectivity,false,85,3570,0.03618669509887695
agd,17,connected_components,connectivity,true,10,15,0.0009012222290039062
agd,17,modularity,connectivity,true,10,15,0.0011892318725585938
