filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.0003502368927001953
agd,2,modularity,connectivity,false,4,3,0.0006930828094482422
agd,2,connected_components,connectivity,true,4,3,0.00037932395935058594
agd,2,modularity,connectivity,true,4,3,0.0009381771087646484
agd,3,connected_components,connectivity,false,4,3,0.00033783912658691406
agd,3,modularity,connectivity,false,4,3,0.0007491111755371094
agd,3,connected_components,connectivity,true,6,7,0.0006268024444580078
agd,3,modularity,connectivity,true,6,7,0.0011110305786132812
agd,4,connected_components,connectivity,false,5,5,0.0004849433898925781
agd,4,modularity,connectivity,false,5,5,0.0006618499755859375
agd,4,connected_components,connectivity,true,6,6,0.00042700767517089844
agd,4,modularity,connectivity,true,6,6,0.0007491111755371094
agd,5,connected_components,connectivity,false,5,5,0.00039315223693847656
agd,5,modularity,connectivity,false,5,5,0.0007050037384033203
agd,5,connected_components,connectivity,true,6,6,0.0004100799560546875
agd,5,modularity,connectivity,true,6,6,0.0010497570037841797
agd,6,connected_components,connectivity,false,6,7,0.0006761550903320312
agd,6,modularity,connectivity,false,6,7,0.0009009838104248047
agd,6,connected_components,connectivity,true,8,14,0.0005781650543212891
agd,6,modularity,connectivity,true,8,14,0.0010428428649902344
agd,7,connected_components,connectivity,false,7,9,0.0005192756652832031
agd,7,modularity,connectivity,false,7,9,0.0008351802825927734
agd,7,connected_components,connectivity,true,7,9,0.0006580352783203125
agd,7,modularity,connectivity,true,7,9,0.0008509159088134766
agd,8,connected_components,connectivity,false,6,7,0.0006239414215087891
agd,8,modularity,connectivity,false,6,7,0.0006592273712158203
agd,8,connected_components,connectivity,true,8,12,0.0005407333374023438
agd,8,modularity,connectivity,true,8,12,0.000537872314453125
agd,9,connected_components,connectivity,false,6,7,0.0004887580871582031
agd,9,modularity,connectivity,false,6,7,0.0006668567657470703
agd,9,connected_components,connectivity,true,9,14,0.0006110668182373047
agd,9,modularity,connectivity,true,9,14,0.0005939006805419922
agd,10,connected_components,connectivity,false,6,7,0.0008251667022705078
agd,10,modularity,connectivity,false,6,7,0.0008220672607421875
agd,10,connected_components,connectivity,true,8,12,0.0007770061492919922
agd,10,modularity,connectivity,true,8,12,0.0005829334259033203
agd,11,connected_components,connectivity,false,6,7,0.0005230903625488281
agd,11,modularity,connectivity,false,6,7,0.0007011890411376953
agd,11,connected_components,connectivity,true,7,9,0.0005841255187988281
agd,11,modularity,connectivity,true,7,9,0.0008099079132080078
agd,12,connected_components,connectivity,false,6,7,0.000997781753540039
agd,12,modularity,connectivity,false,6,7,0.0007460117340087891
agd,12,connected_components,connectivity,true,11,23,0.0007669925689697266
agd,12,modularity,connectivity,true,11,23,0.0007538795471191406
agd,13,connected_components,connectivity,false,6,7,0.0005540847778320312
agd,13,modularity,connectivity,false,6,7,0.0007281303405761719
agd,13,connected_components,connectivity,true,7,9,0.0005800724029541016
agd,13,modularity,connectivity,true,7,9,0.0009789466857910156
agd,14,connected_components,connectivity,false,8,11,0.0007009506225585938
agd,14,modularity,connectivity,false,8,11,0.0008518695831298828
agd,14,connected_components,connectivity,true,8,12,0.0006415843963623047
agd,14,modularity,connectivity,true,8,12,0.0006420612335205078
agd,15,connected_components,connectivity,false,6,7,0.0005841255187988281
agd,15,modularity,connectivity,false,6,7,0.0007581710815429688
agd,15,connected_components,connectivity,true,9,14,0.0006999969482421875
agd,15,modularity,connectivity,true,9,14,0.0007030963897705078
agd,16,connected_components,connectivity,false,6,7,0.0009350776672363281
agd,16,modularity,connectivity,false,6,7,0.0008661746978759766
agd,16,connected_components,connectivity,true,8,12,0.0008699893951416016
agd,16,modularity,connectivity,true,8,12,0.0007119178771972656
agd,17,connected_components,connectivity,false,6,7,0.0006201267242431641
agd,17,modularity,connectivity,false,6,7,0.0008120536804199219
agd,17,connected_components,connectivity,true,7,9,0.0006468296051025391
agd,17,modularity,connectivity,true,7,9,0.0006430149078369141
agd,18,connected_components,connectivity,false,6,7,0.0006427764892578125
agd,18,modularity,connectivity,false,6,7,0.001461029052734375
agd,18,connected_components,connectivity,true,11,23,0.0008809566497802734
agd,18,modularity,connectivity,true,11,23,0.0008640289306640625
agd,19,connected_components,connectivity,false,6,7,0.0006489753723144531
agd,19,modularity,connectivity,false,6,7,0.0008461475372314453
agd,19,connected_components,connectivity,true,7,9,0.0006799697875976562
agd,19,modularity,connectivity,true,7,9,0.0006799697875976562
ecc,2,connected_components,connectivity,false,4,3,0.0005087852478027344
ecc,2,modularity,connectivity,false,4,3,0.0008099079132080078
ecc,2,connected_components,connectivity,true,4,3,0.0003352165222167969
ecc,2,modularity,connectivity,true,5,4,0.0008759498596191406
ecc,3,connected_components,connectivity,false,4,3,0.00030612945556640625
ecc,3,modularity,connectivity,false,4,3,0.0007610321044921875
ecc,3,connected_components,connectivity,true,5,6,0.0004329681396484375
ecc,3,modularity,connectivity,true,5,6,0.001024007797241211
ecc,4,connected_components,connectivity,false,4,3,0.0006189346313476562
ecc,4,modularity,connectivity,false,4,3,0.0011949539184570312
ecc,4,connected_components,connectivity,true,6,6,0.0004379749298095703
ecc,4,modularity,connectivity,true,6,6,0.0007841587066650391
ecc,5,connected_components,connectivity,false,4,3,0.0003428459167480469
ecc,5,modularity,connectivity,false,4,3,0.0007960796356201172
ecc,5,connected_components,connectivity,true,5,5,0.00039505958557128906
ecc,5,modularity,connectivity,true,5,5,0.0006990432739257812
ecc,6,connected_components,connectivity,false,4,3,0.0003612041473388672
ecc,6,modularity,connectivity,false,4,3,0.0014429092407226562
ecc,6,connected_components,connectivity,true,8,14,0.0005979537963867188
ecc,6,modularity,connectivity,true,8,14,0.0013349056243896484
ecc,7,connected_components,connectivity,false,4,3,0.00038504600524902344
ecc,7,modularity,connectivity,false,4,3,0.0008370876312255859
ecc,7,connected_components,connectivity,true,7,9,0.0004730224609375
ecc,7,modularity,connectivity,true,7,9,0.0005578994750976562
ecc,8,connected_components,connectivity,false,4,3,0.00038886070251464844
ecc,8,modularity,connectivity,false,4,3,0.0008478164672851562
ecc,8,connected_components,connectivity,true,8,10,0.0009210109710693359
ecc,8,modularity,connectivity,true,8,10,0.0005779266357421875
ecc,9,connected_components,connectivity,false,4,3,0.00041413307189941406
ecc,9,modularity,connectivity,false,4,3,0.0008788108825683594
ecc,9,connected_components,connectivity,true,9,16,0.0006082057952880859
ecc,9,modularity,connectivity,true,9,16,0.0007100105285644531
ecc,10,connected_components,connectivity,false,4,3,0.0005481243133544922
ecc,10,modularity,connectivity,false,4,3,0.0008869171142578125
ecc,10,connected_components,connectivity,true,8,10,0.0005667209625244141
ecc,10,modularity,connectivity,true,8,10,0.0010879039764404297
ecc,11,connected_components,connectivity,false,4,3,0.0004820823669433594
ecc,11,modularity,connectivity,false,4,3,0.0009148120880126953
ecc,11,connected_components,connectivity,true,7,9,0.0005447864532470703
ecc,11,modularity,connectivity,true,7,9,0.0005481243133544922
ecc,12,connected_components,connectivity,false,4,3,0.0004570484161376953
ecc,12,modularity,connectivity,false,4,3,0.0009088516235351562
ecc,12,connected_components,connectivity,true,11,22,0.0007481575012207031
ecc,12,modularity,connectivity,true,11,22,0.0013167858123779297
ecc,13,connected_components,connectivity,false,4,3,0.00049591064453125
ecc,13,modularity,connectivity,false,4,3,0.0012888908386230469
ecc,13,connected_components,connectivity,true,7,9,0.0006389617919921875
ecc,13,modularity,connectivity,true,7,9,0.000579833984375
ecc,14,connected_components,connectivity,false,4,3,0.0004832744598388672
ecc,14,modularity,connectivity,false,4,3,0.0010330677032470703
ecc,14,connected_components,connectivity,true,8,10,0.0007109642028808594
ecc,14,modularity,connectivity,true,8,10,0.0006530284881591797
ecc,15,connected_components,connectivity,false,4,3,0.0008628368377685547
ecc,15,modularity,connectivity,false,4,3,0.0010380744934082031
ecc,15,connected_components,connectivity,true,9,16,0.0007128715515136719
ecc,15,modularity,connectivity,true,9,16,0.0007138252258300781
ecc,16,connected_components,connectivity,false,4,3,0.0006709098815917969
