filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.011820793151855469
agd,2,modularity,connectivity,false,16,28,0.12904906272888184
agd,2,connected_components,connectivity,true,2,1,0.011576175689697266
agd,2,modularity,connectivity,true,14,27,0.1247560977935791
agd,3,connected_components,connectivity,false,6,5,0.011583089828491211
agd,3,modularity,connectivity,false,17,32,0.11324405670166016
agd,3,connected_components,connectivity,true,9,11,0.011723041534423828
agd,3,modularity,connectivity,true,21,40,0.1022481918334961
agd,4,connected_components,connectivity,false,15,18,0.011844873428344727
agd,4,modularity,connectivity,false,26,49,0.09965085983276367
agd,4,connected_components,connectivity,true,14,17,0.011857032775878906
agd,4,modularity,connectivity,true,28,54,0.09211111068725586
agd,5,connected_components,connectivity,false,20,24,0.012243032455444336
agd,5,modularity,connectivity,false,30,51,0.09264612197875977
agd,5,connected_components,connectivity,true,25,39,0.013086080551147461
agd,5,modularity,connectivity,true,37,73,0.08923983573913574
agd,6,connected_components,connectivity,false,28,44,0.013029813766479492
agd,6,modularity,connectivity,false,42,83,0.08701014518737793
agd,6,connected_components,connectivity,true,30,59,0.013300895690917969
agd,6,modularity,connectivity,true,42,93,0.08116507530212402
agd,7,connected_components,connectivity,false,34,55,0.0135650634765625
agd,7,modularity,connectivity,false,44,87,0.08222007751464844
agd,7,connected_components,connectivity,true,39,88,0.013907909393310547
agd,7,modularity,connectivity,true,49,123,0.07689285278320312
agd,8,connected_components,connectivity,false,45,84,0.013954877853393555
agd,8,modularity,connectivity,false,54,112,0.07915782928466797
agd,8,connected_components,connectivity,true,49,104,0.014358043670654297
agd,8,modularity,connectivity,true,61,142,0.07237601280212402
agd,9,connected_components,connectivity,false,45,87,0.014120101928710938
agd,9,modularity,connectivity,false,61,138,0.07612395286560059
agd,9,connected_components,connectivity,true,62,140,0.014712810516357422
agd,9,modularity,connectivity,true,71,173,0.06900787353515625
agd,10,connected_components,connectivity,false,60,126,0.014660835266113281
agd,10,modularity,connectivity,false,70,155,0.07051706314086914
agd,10,connected_components,connectivity,true,70,173,0.015154123306274414
agd,10,modularity,connectivity,true,82,221,0.06720900535583496
agd,11,connected_components,connectivity,false,61,129,0.014861822128295898
agd,11,modularity,connectivity,false,71,161,0.0707402229309082
agd,11,connected_components,connectivity,true,67,162,0.015098094940185547
agd,11,modularity,connectivity,true,76,192,0.06628704071044922
agd,12,connected_components,connectivity,false,70,153,0.015249967575073242
agd,12,modularity,connectivity,false,84,204,0.06800675392150879
agd,12,connected_components,connectivity,true,91,242,0.016175270080566406
agd,12,modularity,connectivity,true,101,281,0.06296110153198242
agd,13,connected_components,connectivity,false,77,179,0.015733003616333008
agd,13,modularity,connectivity,false,96,251,0.0668332576751709
agd,13,connected_components,connectivity,true,84,216,0.01593756675720215
agd,13,modularity,connectivity,true,95,266,0.06329584121704102
agd,14,connected_components,connectivity,false,78,186,0.01595902442932129
agd,14,modularity,connectivity,false,91,236,0.06615614891052246
agd,14,connected_components,connectivity,true,94,264,0.016773700714111328
agd,14,modularity,connectivity,true,106,318,0.062088966369628906
agd,15,connected_components,connectivity,false,77,185,0.015781164169311523
agd,15,modularity,connectivity,false,93,253,0.06425333023071289
agd,15,connected_components,connectivity,true,100,291,0.017070770263671875
agd,15,modularity,connectivity,true,113,351,0.06165790557861328
agd,16,connected_components,connectivity,false,94,238,0.016633033752441406
agd,16,modularity,connectivity,false,107,292,0.06305885314941406
agd,16,connected_components,connectivity,true,112,330,0.01748204231262207
agd,16,modularity,connectivity,true,121,368,0.060584306716918945
agd,17,connected_components,connectivity,false,93,227,0.016628026962280273
agd,17,modularity,connectivity,false,103,265,0.06360721588134766
agd,17,connected_components,connectivity,true,114,331,0.01755809783935547
agd,17,modularity,connectivity,true,124,372,0.06004929542541504
agd,18,connected_components,connectivity,false,101,269,0.01709890365600586
agd,18,modularity,connectivity,false,115,323,0.061708927154541016
agd,18,connected_components,connectivity,true,118,368,0.017865896224975586
agd,18,modularity,connectivity,true,127,410,0.059509992599487305
agd,19,connected_components,connectivity,false,103,270,0.017255783081054688
agd,19,modularity,connectivity,false,118,330,0.06101822853088379
agd,19,connected_components,connectivity,true,128,431,0.01902318000793457
agd,19,modularity,connectivity,true,138,473,0.061061859130859375
ecc,2,connected_components,connectivity,false,4,3,0.011894941329956055
ecc,2,modularity,connectivity,false,13,23,0.12616515159606934
ecc,2,connected_components,connectivity,true,4,3,0.012260198593139648
ecc,2,modularity,connectivity,true,12,20,0.12539005279541016
ecc,3,connected_components,connectivity,false,8,7,0.016209125518798828
ecc,3,modularity,connectivity,false,17,34,0.16621994972229004
ecc,3,connected_components,connectivity,true,10,12,0.012380361557006836
ecc,3,modularity,connectivity,true,19,36,0.10688090324401855
ecc,4,connected_components,connectivity,false,9,8,0.012174129486083984
ecc,4,modularity,connectivity,false,21,40,0.09918498992919922
ecc,4,connected_components,connectivity,true,14,18,0.012391805648803711
ecc,4,modularity,connectivity,true,29,61,0.09064698219299316
ecc,5,connected_components,connectivity,false,14,15,0.012484073638916016
ecc,5,modularity,connectivity,false,25,48,0.09970831871032715
ecc,5,connected_components,connectivity,true,23,52,0.012861967086791992
ecc,5,modularity,connectivity,true,35,92,0.08212780952453613
ecc,6,connected_components,connectivity,false,16,15,0.01645183563232422
ecc,6,modularity,connectivity,false,31,64,0.13014721870422363
ecc,6,connected_components,connectivity,true,32,70,0.013397932052612305
ecc,6,modularity,connectivity,true,43,103,0.0778810977935791
ecc,7,connected_components,connectivity,false,25,32,0.012722969055175781
ecc,7,modularity,connectivity,false,38,70,0.0861821174621582
ecc,7,connected_components,connectivity,true,44,107,0.01409912109375
ecc,7,modularity,connectivity,true,59,157,0.07582712173461914
ecc,8,connected_components,connectivity,false,36,49,0.013559103012084961
ecc,8,modularity,connectivity,false,48,84,0.07409214973449707
ecc,8,connected_components,connectivity,true,51,138,0.01429295539855957
ecc,8,modularity,connectivity,true,66,188,0.06989002227783203
ecc,9,connected_components,connectivity,false,24,45,0.024068832397460938
ecc,9,modularity,connectivity,false,47,162,0.18658089637756348
ecc,9,connected_components,connectivity,true,60,173,0.014740943908691406
ecc,9,modularity,connectivity,true,73,217,0.06700682640075684
ecc,10,connected_components,connectivity,false,39,52,0.013355731964111328
ecc,10,modularity,connectivity,false,51,88,0.07423615455627441
ecc,10,connected_components,connectivity,true,73,207,0.015413999557495117
ecc,10,modularity,connectivity,true,85,251,0.06383705139160156
ecc,11,connected_components,connectivity,false,39,52,0.01343083381652832
ecc,11,modularity,connectivity,false,51,88,0.07491922378540039
ecc,11,connected_components,connectivity,true,86,282,0.01605510711669922
ecc,11,modularity,connectivity,true,96,321,0.061988115310668945
ecc,12,connected_components,connectivity,false,47,88,0.017719030380249023
ecc,12,modularity,connectivity,false,66,171,0.09932899475097656
ecc,12,connected_components,connectivity,true,94,302,0.016462087631225586
ecc,12,modularity,connectivity,true,105,350,0.06043505668640137
ecc,13,connected_components,connectivity,false,39,52,0.01376485824584961
ecc,13,modularity,connectivity,false,51,88,0.07407498359680176
ecc,13,connected_components,connectivity,true,109,370,0.017175674438476562
ecc,13,modularity,connectivity,true,118,401,0.0593569278717041
ecc,14,connected_components,connectivity,false,39,52,0.013978958129882812
ecc,14,modularity,connectivity,false,51,88,0.07422327995300293
ecc,14,connected_components,connectivity,true,119,409,0.017936229705810547
ecc,14,modularity,connectivity,true,127,442,0.05948495864868164
ecc,15,connected_components,connectivity,false,47,88,0.017953872680664062
ecc,15,modularity,connectivity,false,66,171,0.11933588981628418
ecc,15,connected_components,connectivity,true,133,470,0.01865410804748535
ecc,15,modularity,connectivity,true,139,492,0.05752277374267578
ecc,16,connected_components,connectivity,false,39,52,0.013969898223876953
ecc,16,modularity,connectivity,false,51,88,0.0746760368347168
ecc,16,connected_components,connectivity,true,141,520,0.01894402503967285
ecc,16,modularity,connectivity,true,145,532,0.0574038028717041
ecc,17,connected_components,connectivity,false,39,52,0.014201879501342773
ecc,17,modularity,connectivity,false,51,88,0.07439470291137695
ecc,17,connected_components,connectivity,true,144,518,0.019261837005615234
ecc,17,modularity,connectivity,true,152,550,0.05696725845336914
ecc,18,connected_components,connectivity,false,69,203,0.02628016471862793
ecc,18,modularity,connectivity,false,93,355,0.14252495765686035
ecc,18,connected_components,connectivity,true,151,570,0.01979684829711914
ecc,18,modularity,connectivity,true,162,621,0.05666494369506836
ecc,19,connected_components,connectivity,false,39,52,0.01460719108581543
ecc,19,modularity,connectivity,false,51,88,0.07460498809814453
ecc,19,connected_components,connectivity,true,160,617,0.020724773406982422
ecc,19,modularity,connectivity,true,165,639,0.05848503112792969
pr_0_85,2,connected_components,connectivity,false,10,11,0.012202978134155273
pr_0_85,2,modularity,connectivity,false,26,55,0.11060500144958496
pr_0_85,2,connected_components,connectivity,true,10,11,0.012128114700317383
pr_0_85,2,modularity,connectivity,true,26,55,0.09025907516479492
pr_0_85,3,connected_components,connectivity,false,40,54,0.013412952423095703
pr_0_85,3,modularity,connectivity,false,50,99,0.11030697822570801
pr_0_85,3,connected_components,connectivity,true,36,79,0.013025045394897461
pr_0_85,3,modularity,connectivity,true,52,137,0.07271385192871094
pr_0_85,4,connected_components,connectivity,false,33,65,0.012833118438720703
pr_0_85,4,modularity,connectivity,false,49,114,0.08284902572631836
pr_0_85,4,connected_components,connectivity,true,75,217,0.014726877212524414
