filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0005340576171875
agd,2,modularity,connectivity,false,6,5,0.002115011215209961
agd,2,connected_components,connectivity,true,8,7,0.0006210803985595703
agd,2,modularity,connectivity,true,11,10,0.0019578933715820312
agd,3,connected_components,connectivity,false,6,5,0.0007779598236083984
agd,3,modularity,connectivity,false,7,6,0.0022809505462646484
agd,3,connected_components,connectivity,true,12,13,0.0007538795471191406
agd,3,modularity,connectivity,true,15,16,0.0016949176788330078
agd,4,connected_components,connectivity,false,11,10,0.0007150173187255859
agd,4,modularity,connectivity,false,13,12,0.0014870166778564453
agd,4,connected_components,connectivity,true,14,13,0.0010590553283691406
agd,4,modularity,connectivity,true,15,14,0.0016100406646728516
agd,5,connected_components,connectivity,false,15,14,0.0008089542388916016
agd,5,modularity,connectivity,false,16,15,0.0014736652374267578
agd,5,connected_components,connectivity,true,14,13,0.0007779598236083984
agd,5,modularity,connectivity,true,15,14,0.0013539791107177734
agd,6,connected_components,connectivity,false,16,15,0.0014328956604003906
agd,6,modularity,connectivity,false,17,16,0.0016829967498779297
agd,6,connected_components,connectivity,true,17,18,0.0009481906890869141
agd,6,modularity,connectivity,true,18,19,0.0017647743225097656
agd,7,connected_components,connectivity,false,16,15,0.0008950233459472656
agd,7,modularity,connectivity,false,17,16,0.0014500617980957031
agd,7,connected_components,connectivity,true,14,13,0.0010709762573242188
agd,7,modularity,connectivity,true,14,13,0.0016009807586669922
agd,8,connected_components,connectivity,false,16,15,0.0009169578552246094
agd,8,modularity,connectivity,false,17,16,0.001245260238647461
agd,8,connected_components,connectivity,true,15,14,0.0009121894836425781
agd,8,modularity,connectivity,true,15,14,0.0019621849060058594
agd,9,connected_components,connectivity,false,16,15,0.00096893310546875
agd,9,modularity,connectivity,false,16,15,0.0013530254364013672
agd,9,connected_components,connectivity,true,20,26,0.0011258125305175781
agd,9,modularity,connectivity,true,20,26,0.0018150806427001953
agd,10,connected_components,connectivity,false,17,16,0.0009448528289794922
agd,10,modularity,connectivity,false,17,16,0.002140045166015625
agd,10,connected_components,connectivity,true,17,16,0.001302957534790039
agd,10,modularity,connectivity,true,17,16,0.0014619827270507812
agd,11,connected_components,connectivity,false,17,16,0.0011150836944580078
agd,11,modularity,connectivity,false,17,16,0.0015060901641845703
agd,11,connected_components,connectivity,true,16,15,0.00146484375
agd,11,modularity,connectivity,true,16,15,0.0015919208526611328
agd,12,connected_components,connectivity,false,17,16,0.0010139942169189453
agd,12,modularity,connectivity,false,17,16,0.0012862682342529297
agd,12,connected_components,connectivity,true,19,20,0.0011429786682128906
agd,12,modularity,connectivity,true,19,20,0.0017511844635009766
agd,13,connected_components,connectivity,false,17,16,0.001687765121459961
agd,13,modularity,connectivity,false,17,16,0.0016896724700927734
agd,13,connected_components,connectivity,true,16,15,0.0010020732879638672
agd,13,modularity,connectivity,true,16,15,0.0015139579772949219
agd,14,connected_components,connectivity,false,17,16,0.0014319419860839844
agd,14,modularity,connectivity,false,17,16,0.0013549327850341797
agd,14,connected_components,connectivity,true,18,17,0.0011048316955566406
agd,14,modularity,connectivity,true,18,17,0.0014259815216064453
