filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0005080699920654297
agd,2,modularity,connectivity,false,4,3,0.0024268627166748047
agd,2,connected_components,connectivity,true,3,2,0.0007848739624023438
agd,2,modularity,connectivity,true,4,3,0.0014362335205078125
agd,3,connected_components,connectivity,false,4,3,0.0004189014434814453
agd,3,modularity,connectivity,false,5,4,0.0014541149139404297
agd,3,connected_components,connectivity,true,5,4,0.0004429817199707031
agd,3,modularity,connectivity,true,6,5,0.001336812973022461
agd,4,connected_components,connectivity,false,4,3,0.0008220672607421875
agd,4,modularity,connectivity,false,5,4,0.001834869384765625
agd,4,connected_components,connectivity,true,7,7,0.0005230903625488281
agd,4,modularity,connectivity,true,7,7,0.0013041496276855469
agd,5,connected_components,connectivity,false,6,5,0.000492095947265625
agd,5,modularity,connectivity,false,6,5,0.0011980533599853516
agd,5,connected_components,connectivity,true,8,9,0.0005719661712646484
agd,5,modularity,connectivity,true,8,9,0.0017900466918945312
agd,6,connected_components,connectivity,false,6,5,0.0006208419799804688
agd,6,modularity,connectivity,false,6,5,0.0012848377227783203
agd,6,connected_components,connectivity,true,9,9,0.0006258487701416016
agd,6,modularity,connectivity,true,9,9,0.00110626220703125
agd,7,connected_components,connectivity,false,7,7,0.0005731582641601562
agd,7,modularity,connectivity,false,7,7,0.0012218952178955078
agd,7,connected_components,connectivity,true,10,11,0.0006608963012695312
agd,7,modularity,connectivity,true,10,11,0.0015690326690673828
agd,8,connected_components,connectivity,false,6,5,0.0006098747253417969
agd,8,modularity,connectivity,false,6,5,0.0012729167938232422
agd,8,connected_components,connectivity,true,10,13,0.0008523464202880859
agd,8,modularity,connectivity,true,10,13,0.0011200904846191406
agd,9,connected_components,connectivity,false,7,7,0.0006000995635986328
agd,9,modularity,connectivity,false,7,7,0.0019779205322265625
agd,9,connected_components,connectivity,true,11,14,0.0009300708770751953
agd,9,modularity,connectivity,true,11,14,0.0010199546813964844
agd,10,connected_components,connectivity,false,6,5,0.0005991458892822266
agd,10,modularity,connectivity,false,6,5,0.0013003349304199219
agd,10,connected_components,connectivity,true,11,14,0.0007491111755371094
agd,10,modularity,connectivity,true,11,14,0.0010118484497070312
agd,11,connected_components,connectivity,false,6,5,0.0009772777557373047
agd,11,modularity,connectivity,false,6,5,0.002000093460083008
agd,11,connected_components,connectivity,true,14,29,0.0010046958923339844
agd,11,modularity,connectivity,true,14,29,0.0021147727966308594
agd,12,connected_components,connectivity,false,7,7,0.0006961822509765625
agd,12,modularity,connectivity,false,7,7,0.0015878677368164062
agd,12,connected_components,connectivity,true,12,17,0.001173257827758789
agd,12,modularity,connectivity,true,12,17,0.0009329319000244141
agd,13,connected_components,connectivity,false,6,5,0.0006349086761474609
agd,13,modularity,connectivity,false,6,5,0.0013360977172851562
agd,13,connected_components,connectivity,true,12,17,0.0007989406585693359
agd,13,modularity,connectivity,true,12,17,0.0009143352508544922
agd,14,connected_components,connectivity,false,7,7,0.0013260841369628906
agd,14,modularity,connectivity,false,7,7,0.0016450881958007812
agd,14,connected_components,connectivity,true,12,17,0.0010528564453125
agd,14,modularity,connectivity,true,12,17,0.0009961128234863281
agd,15,connected_components,connectivity,false,6,5,0.0006868839263916016
agd,15,modularity,connectivity,false,6,5,0.001955747604370117
agd,15,connected_components,connectivity,true,12,17,0.0008881092071533203
agd,15,modularity,connectivity,true,12,17,0.0010509490966796875
agd,16,connected_components,connectivity,false,7,7,0.0007479190826416016
agd,16,modularity,connectivity,false,7,7,0.0014002323150634766
agd,16,connected_components,connectivity,true,12,17,0.0008981227874755859
agd,16,modularity,connectivity,true,12,17,0.0010018348693847656
agd,17,connected_components,connectivity,false,7,7,0.0011942386627197266
agd,17,modularity,connectivity,false,7,7,0.0016438961029052734
agd,17,connected_components,connectivity,true,12,17,0.0009930133819580078
agd,17,modularity,connectivity,true,12,17,0.0010118484497070312
agd,18,connected_components,connectivity,false,7,7,0.0007581710815429688
agd,18,modularity,connectivity,false,7,7,0.0015387535095214844
agd,18,connected_components,connectivity,true,12,17,0.0016567707061767578
agd,18,modularity,connectivity,true,12,17,0.001110076904296875
agd,19,connected_components,connectivity,false,7,7,0.0007731914520263672
agd,19,modularity,connectivity,false,7,7,0.0014090538024902344
agd,19,connected_components,connectivity,true,12,17,0.0009100437164306641
agd,19,modularity,connectivity,true,12,17,0.0010120868682861328
ecc,2,connected_components,connectivity,false,3,2,0.0009059906005859375
ecc,2,modularity,connectivity,false,4,3,0.002003192901611328
ecc,2,connected_components,connectivity,true,4,3,0.0005218982696533203
ecc,2,modularity,connectivity,true,5,4,0.0013282299041748047
ecc,3,connected_components,connectivity,false,5,6,0.0005161762237548828
ecc,3,modularity,connectivity,false,6,7,0.001817941665649414
ecc,3,connected_components,connectivity,true,5,4,0.0008549690246582031
ecc,3,modularity,connectivity,true,6,5,0.0015327930450439453
ecc,4,connected_components,connectivity,false,7,6,0.0005362033843994141
ecc,4,modularity,connectivity,false,7,6,0.001280069351196289
ecc,4,connected_components,connectivity,true,7,6,0.0008130073547363281
ecc,4,modularity,connectivity,true,7,6,0.0029838085174560547
ecc,5,connected_components,connectivity,false,7,6,0.0008208751678466797
ecc,5,modularity,connectivity,false,7,6,0.0016109943389892578
ecc,5,connected_components,connectivity,true,7,6,0.0005750656127929688
ecc,5,modularity,connectivity,true,7,6,0.0012440681457519531
ecc,6,connected_components,connectivity,false,11,17,0.0007579326629638672
