# Tissue	Gene Ontology	Gene
lymphocyte	GO:0050871	100
lymphocyte	GO:0050871	8660
lymphocyte	GO:0050871	8741
lymphocyte	GO:0050871	572
lymphocyte	GO:0050871	604
lymphocyte	GO:0050871	639
lymphocyte	GO:0050871	695
lymphocyte	GO:0050871	940
lymphocyte	GO:0050871	952
lymphocyte	GO:0050871	958
lymphocyte	GO:0050871	972
lymphocyte	GO:0050871	975
lymphocyte	GO:0050871	1026
lymphocyte	GO:0050871	1880
lymphocyte	GO:0050871	10451
lymphocyte	GO:0050871	2956
lymphocyte	GO:0050871	148022
lymphocyte	GO:0050871	3458
lymphocyte	GO:0050871	3565
lymphocyte	GO:0050871	3569
lymphocyte	GO:0050871	4208
lymphocyte	GO:0050871	4282
lymphocyte	GO:0050871	4773
lymphocyte	GO:0050871	79155
lymphocyte	GO:0050871	30009
lymphocyte	GO:0050871	939
lymphocyte	GO:0050871	5788
lymphocyte	GO:0050871	22976
lymphocyte	GO:0050871	6778
lymphocyte	GO:0050871	6850
lymphocyte	GO:0050871	7037
lymphocyte	GO:0050871	7040
lymphocyte	GO:0050871	23529
lymphocyte	GO:0050871	7292
lymphocyte	GO:0050871	7293
lymphocyte	GO:0050871	7374
lymphocyte	GO:0050871	7468
lymphocyte	GO:0050871	7494
lymphocyte	GO:0050871	7535
lymphocyte	GO:0050871	6777
lymphocyte	GO:0050871	114609
leukocyte	GO:0070663	100
leukocyte	GO:0070663	177
leukocyte	GO:0070663	196
leukocyte	GO:0070663	199
leukocyte	GO:0070663	8440
leukocyte	GO:0070663	301
leukocyte	GO:0070663	1435
leukocyte	GO:0070663	8654
leukocyte	GO:0070663	8660
leukocyte	GO:0070663	472
leukocyte	GO:0070663	8764
leukocyte	GO:0070663	8767
leukocyte	GO:0070663	8772
leukocyte	GO:0070663	604
leukocyte	GO:0070663	639
leukocyte	GO:0070663	652
leukocyte	GO:0070663	9093
leukocyte	GO:0070663	916
leukocyte	GO:0070663	920
leukocyte	GO:0070663	940
leukocyte	GO:0070663	942
leukocyte	GO:0070663	952
leukocyte	GO:0070663	958
leukocyte	GO:0070663	959
leukocyte	GO:0070663	966
leukocyte	GO:0070663	972
leukocyte	GO:0070663	975
leukocyte	GO:0070663	246778
leukocyte	GO:0070663	1026
leukocyte	GO:0070663	1051
leukocyte	GO:0070663	1493
leukocyte	GO:0070663	1499
leukocyte	GO:0070663	149041
