filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,17,16,0.0020008087158203125
agd,2,modularity,connectivity,false,19,21,0.0170590877532959
agd,2,connected_components,connectivity,true,18,17,0.0024309158325195312
agd,2,modularity,connectivity,true,20,25,0.010492086410522461
agd,3,connected_components,connectivity,false,22,23,0.0024149417877197266
agd,3,modularity,connectivity,false,25,35,0.011018991470336914
agd,3,connected_components,connectivity,true,24,28,0.0020940303802490234
agd,3,modularity,connectivity,true,25,31,0.011079788208007812
agd,4,connected_components,connectivity,false,24,28,0.002117156982421875
agd,4,modularity,connectivity,false,25,34,0.009045124053955078
agd,4,connected_components,connectivity,true,26,36,0.0022079944610595703
agd,4,modularity,connectivity,true,27,41,0.010579824447631836
agd,5,connected_components,connectivity,false,27,37,0.002507925033569336
agd,5,modularity,connectivity,false,28,41,0.008791685104370117
agd,5,connected_components,connectivity,true,27,36,0.0031621456146240234
agd,5,modularity,connectivity,true,29,42,0.009346961975097656
agd,6,connected_components,connectivity,false,29,42,0.0023419857025146484
agd,6,modularity,connectivity,false,31,49,0.009099006652832031
agd,6,connected_components,connectivity,true,32,45,0.0024480819702148438
agd,6,modularity,connectivity,true,34,54,0.008779764175415039
agd,7,connected_components,connectivity,false,32,48,0.002743959426879883
agd,7,modularity,connectivity,false,34,57,0.007233858108520508
agd,7,connected_components,connectivity,true,33,54,0.0027260780334472656
agd,7,modularity,connectivity,true,35,63,0.00869607925415039
agd,8,connected_components,connectivity,false,29,42,0.002680063247680664
agd,8,modularity,connectivity,false,30,47,0.008587121963500977
agd,8,connected_components,connectivity,true,33,56,0.002603769302368164
agd,8,modularity,connectivity,true,35,62,0.009343147277832031
agd,9,connected_components,connectivity,false,31,51,0.0024919509887695312
agd,9,modularity,connectivity,false,34,59,0.007620096206665039
agd,9,connected_components,connectivity,true,36,63,0.0027561187744140625
agd,9,modularity,connectivity,true,39,73,0.009234905242919922
agd,10,connected_components,connectivity,false,32,55,0.003183126449584961
agd,10,modularity,connectivity,false,34,63,0.007599830627441406
agd,10,connected_components,connectivity,true,32,53,0.003570079803466797
agd,10,modularity,connectivity,true,34,61,0.007714748382568359
agd,11,connected_components,connectivity,false,33,58,0.003490924835205078
agd,11,modularity,connectivity,false,35,65,0.007579326629638672
agd,11,connected_components,connectivity,true,34,60,0.004194021224975586
agd,11,modularity,connectivity,true,37,76,0.008589982986450195
agd,12,connected_components,connectivity,false,34,60,0.003075122833251953
agd,12,modularity,connectivity,false,36,69,0.008134126663208008
agd,12,connected_components,connectivity,true,39,74,0.0029251575469970703
agd,12,modularity,connectivity,true,40,78,0.009833812713623047
agd,13,connected_components,connectivity,false,31,52,0.002802133560180664
agd,13,modularity,connectivity,false,34,67,0.009541034698486328
agd,13,connected_components,connectivity,true,37,69,0.00506901741027832
agd,13,modularity,connectivity,true,38,74,0.010910987854003906
agd,14,connected_components,connectivity,false,36,68,0.002785921096801758
agd,14,modularity,connectivity,false,38,77,0.010334968566894531
agd,14,connected_components,connectivity,true,41,85,0.0038137435913085938
agd,14,modularity,connectivity,true,43,96,0.009582996368408203
agd,15,connected_components,connectivity,false,37,70,0.003757953643798828
agd,15,modularity,connectivity,false,38,76,0.008461713790893555
agd,15,connected_components,connectivity,true,38,72,0.0033218860626220703
agd,15,modularity,connectivity,true,38,72,0.007664918899536133
agd,16,connected_components,connectivity,false,36,68,0.0031731128692626953
agd,16,modularity,connectivity,false,39,82,0.0075070858001708984
agd,16,connected_components,connectivity,true,43,93,0.0032389163970947266
agd,16,modularity,connectivity,true,43,93,0.0074291229248046875
agd,17,connected_components,connectivity,false,35,67,0.002930879592895508
agd,17,modularity,connectivity,false,38,81,0.008354902267456055
agd,17,connected_components,connectivity,true,40,86,0.0030868053436279297
agd,17,modularity,connectivity,true,40,86,0.008210897445678711
agd,18,connected_components,connectivity,false,37,70,0.002958059310913086
agd,18,modularity,connectivity,false,39,80,0.007879972457885742
agd,18,connected_components,connectivity,true,44,95,0.0032918453216552734
agd,18,modularity,connectivity,true,46,107,0.008008956909179688
agd,19,connected_components,connectivity,false,39,78,0.0030579566955566406
agd,19,modularity,connectivity,false,41,88,0.007872581481933594
agd,19,connected_components,connectivity,true,42,91,0.0032501220703125
agd,19,modularity,connectivity,true,42,91,0.007349967956542969
ecc,2,connected_components,connectivity,false,14,13,0.0017237663269042969
ecc,2,modularity,connectivity,false,17,21,0.010137796401977539
ecc,2,connected_components,connectivity,true,12,11,0.001961946487426758
ecc,2,modularity,connectivity,true,15,19,0.011978864669799805
ecc,3,connected_components,connectivity,false,17,29,0.0030820369720458984
ecc,3,modularity,connectivity,false,23,59,0.022668123245239258
ecc,3,connected_components,connectivity,true,20,24,0.001985788345336914
ecc,3,modularity,connectivity,true,23,33,0.01064300537109375
ecc,4,connected_components,connectivity,false,23,23,0.0020461082458496094
ecc,4,modularity,connectivity,false,25,30,0.010204076766967773
ecc,4,connected_components,connectivity,true,20,31,0.0026412010192871094
ecc,4,modularity,connectivity,true,23,39,0.008649826049804688
ecc,5,connected_components,connectivity,false,23,23,0.002034902572631836
ecc,5,modularity,connectivity,false,25,30,0.009831905364990234
ecc,5,connected_components,connectivity,true,24,43,0.0023059844970703125
ecc,5,modularity,connectivity,true,28,60,0.010151863098144531
ecc,6,connected_components,connectivity,false,40,79,0.003747701644897461
ecc,6,modularity,connectivity,false,44,103,0.01821112632751465
ecc,6,connected_components,connectivity,true,24,36,0.003383159637451172
ecc,6,modularity,connectivity,true,29,62,0.012505769729614258
ecc,7,connected_components,connectivity,false,23,23,0.002318143844604492
ecc,7,modularity,connectivity,false,25,30,0.009490966796875
ecc,7,connected_components,connectivity,true,26,45,0.0032367706298828125
ecc,7,modularity,connectivity,true,32,81,0.009069681167602539
ecc,8,connected_components,connectivity,false,23,23,0.0020799636840820312
ecc,8,modularity,connectivity,false,25,30,0.0095062255859375
ecc,8,connected_components,connectivity,true,26,45,0.0028133392333984375
ecc,8,modularity,connectivity,true,30,61,0.009304285049438477
ecc,9,connected_components,connectivity,false,40,79,0.004725933074951172
ecc,9,modularity,connectivity,false,44,103,0.01713085174560547
ecc,9,connected_components,connectivity,true,31,61,0.002608060836791992
ecc,9,modularity,connectivity,true,35,84,0.008798837661743164
ecc,10,connected_components,connectivity,false,23,23,0.002269744873046875
ecc,10,modularity,connectivity,false,25,30,0.008625984191894531
ecc,10,connected_components,connectivity,true,31,66,0.00315093994140625
ecc,10,modularity,connectivity,true,35,94,0.007244110107421875
ecc,11,connected_components,connectivity,false,23,23,0.002782106399536133
ecc,11,modularity,connectivity,false,25,30,0.008791923522949219
ecc,11,connected_components,connectivity,true,36,75,0.0027649402618408203
