filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.002029895782470703
agd,2,modularity,connectivity,false,15,47,0.014203071594238281
agd,2,connected_components,connectivity,true,14,13,0.0019159317016601562
agd,2,modularity,connectivity,true,20,51,0.010502815246582031
agd,3,connected_components,connectivity,false,11,14,0.0018208026885986328
agd,3,modularity,connectivity,false,17,42,0.012841939926147461
agd,3,connected_components,connectivity,true,34,56,0.0024721622467041016
agd,3,modularity,connectivity,true,40,100,0.009391069412231445
agd,4,connected_components,connectivity,false,17,22,0.002023935317993164
agd,4,modularity,connectivity,false,24,66,0.012472152709960938
agd,4,connected_components,connectivity,true,46,85,0.002886056900024414
agd,4,modularity,connectivity,true,52,112,0.008316993713378906
agd,5,connected_components,connectivity,false,31,44,0.002557039260864258
agd,5,modularity,connectivity,false,37,100,0.009997129440307617
agd,5,connected_components,connectivity,true,55,109,0.003198862075805664
agd,5,modularity,connectivity,true,60,128,0.008443117141723633
agd,6,connected_components,connectivity,false,22,35,0.003103017807006836
agd,6,modularity,connectivity,false,34,94,0.011227130889892578
agd,6,connected_components,connectivity,true,67,134,0.0037369728088378906
agd,6,modularity,connectivity,true,70,140,0.008672952651977539
agd,7,connected_components,connectivity,false,20,31,0.0021581649780273438
agd,7,modularity,connectivity,false,32,86,0.013562202453613281
agd,7,connected_components,connectivity,true,65,128,0.0035610198974609375
agd,7,modularity,connectivity,true,69,139,0.007761955261230469
agd,8,connected_components,connectivity,false,20,29,0.002552032470703125
agd,8,modularity,connectivity,false,32,86,0.011065244674682617
agd,8,connected_components,connectivity,true,66,131,0.0038251876831054688
agd,8,modularity,connectivity,true,70,141,0.007355928421020508
agd,9,connected_components,connectivity,false,50,103,0.0033333301544189453
agd,9,modularity,connectivity,false,55,114,0.009195089340209961
agd,9,connected_components,connectivity,true,70,140,0.0038971900939941406
agd,9,modularity,connectivity,true,72,144,0.007766008377075195
agd,10,connected_components,connectivity,false,55,124,0.0037467479705810547
agd,10,modularity,connectivity,false,58,130,0.008550882339477539
agd,10,connected_components,connectivity,true,70,135,0.003885030746459961
agd,10,modularity,connectivity,true,72,142,0.007449150085449219
agd,11,connected_components,connectivity,false,56,117,0.003398895263671875
agd,11,modularity,connectivity,false,60,131,0.009086132049560547
agd,11,connected_components,connectivity,true,71,137,0.00461125373840332
agd,11,modularity,connectivity,true,73,143,0.007602214813232422
agd,12,connected_components,connectivity,false,55,114,0.0035047531127929688
agd,12,modularity,connectivity,false,60,132,0.008790969848632812
agd,12,connected_components,connectivity,true,75,145,0.004127979278564453
agd,12,modularity,connectivity,true,77,149,0.027381181716918945
agd,13,connected_components,connectivity,false,63,126,0.003931283950805664
agd,13,modularity,connectivity,false,67,134,0.008556842803955078
agd,13,connected_components,connectivity,true,74,139,0.0039310455322265625
agd,13,modularity,connectivity,true,76,146,0.0076558589935302734
agd,14,connected_components,connectivity,false,65,130,0.0038268566131591797
agd,14,modularity,connectivity,false,68,139,0.009222269058227539
agd,14,connected_components,connectivity,true,72,138,0.004040956497192383
agd,14,modularity,connectivity,true,74,144,0.007670879364013672
agd,15,connected_components,connectivity,false,62,132,0.0039119720458984375
agd,15,modularity,connectivity,false,62,132,0.009334802627563477
agd,15,connected_components,connectivity,true,77,147,0.00427699089050293
agd,15,modularity,connectivity,true,77,147,0.008129119873046875
agd,16,connected_components,connectivity,false,61,124,0.004185914993286133
agd,16,modularity,connectivity,false,62,131,0.01002812385559082
agd,16,connected_components,connectivity,true,78,146,0.004637956619262695
agd,16,modularity,connectivity,true,79,148,0.007512092590332031
agd,17,connected_components,connectivity,false,69,134,0.003985881805419922
agd,17,modularity,connectivity,false,72,141,0.008952140808105469
agd,17,connected_components,connectivity,true,78,146,0.004141092300415039
agd,17,modularity,connectivity,true,79,148,0.007348060607910156
agd,18,connected_components,connectivity,false,71,136,0.004041910171508789
agd,18,modularity,connectivity,false,74,143,0.008356809616088867
agd,18,connected_components,connectivity,true,79,149,0.004366874694824219
agd,18,modularity,connectivity,true,80,151,0.007408857345581055
agd,19,connected_components,connectivity,false,61,126,0.0038597583770751953
agd,19,modularity,connectivity,false,62,131,0.00875091552734375
agd,19,connected_components,connectivity,true,78,147,0.004252910614013672
agd,19,modularity,connectivity,true,79,149,0.007898807525634766
ecc,2,connected_components,connectivity,false,2,1,0.002774953842163086
ecc,2,modularity,connectivity,false,19,119,0.027359962463378906
ecc,2,connected_components,connectivity,true,2,1,0.00255584716796875
ecc,2,modularity,connectivity,true,17,70,0.011678934097290039
ecc,3,connected_components,connectivity,false,7,6,0.0016300678253173828
ecc,3,modularity,connectivity,false,14,45,0.0125579833984375
ecc,3,connected_components,connectivity,true,5,6,0.0017910003662109375
ecc,3,modularity,connectivity,true,18,72,0.010804891586303711
ecc,4,connected_components,connectivity,false,8,13,0.0032989978790283203
ecc,4,modularity,connectivity,false,22,140,0.02373814582824707
ecc,4,connected_components,connectivity,true,6,10,0.001703023910522461
ecc,4,modularity,connectivity,true,23,85,0.01041269302368164
ecc,5,connected_components,connectivity,false,7,6,0.0017120838165283203
ecc,5,modularity,connectivity,false,14,45,0.012740135192871094
ecc,5,connected_components,connectivity,true,7,15,0.0020020008087158203
ecc,5,modularity,connectivity,true,26,91,0.010298013687133789
ecc,6,connected_components,connectivity,false,8,13,0.003047943115234375
ecc,6,modularity,connectivity,false,22,140,0.024066925048828125
ecc,6,connected_components,connectivity,true,10,24,0.00203704833984375
ecc,6,modularity,connectivity,true,28,94,0.01011800765991211
ecc,7,connected_components,connectivity,false,7,6,0.001920938491821289
ecc,7,modularity,connectivity,false,14,45,0.013802051544189453
ecc,7,connected_components,connectivity,true,15,43,0.0024728775024414062
ecc,7,modularity,connectivity,true,30,98,0.009383201599121094
ecc,8,connected_components,connectivity,false,8,13,0.0032761096954345703
ecc,8,modularity,connectivity,false,22,140,0.0237581729888916
ecc,8,connected_components,connectivity,true,15,45,0.002650022506713867
ecc,8,modularity,connectivity,true,32,100,0.010703802108764648
ecc,9,connected_components,connectivity,false,7,6,0.0018382072448730469
ecc,9,modularity,connectivity,false,14,45,0.013262748718261719
ecc,9,connected_components,connectivity,true,18,55,0.0024390220642089844
ecc,9,modularity,connectivity,true,33,103,0.010136842727661133
ecc,10,connected_components,connectivity,false,8,13,0.0031290054321289062
ecc,10,modularity,connectivity,false,22,140,0.023453950881958008
ecc,10,connected_components,connectivity,true,17,54,0.002402067184448242
ecc,10,modularity,connectivity,true,33,101,0.010434865951538086
ecc,11,connected_components,connectivity,false,7,6,0.0018763542175292969
ecc,11,modularity,connectivity,false,14,45,0.01233983039855957
ecc,11,connected_components,connectivity,true,21,66,0.0028197765350341797
ecc,11,modularity,connectivity,true,38,106,0.010106086730957031
