filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0022559165954589844
agd,2,modularity,connectivity,false,10,33,0.014195919036865234
agd,2,connected_components,connectivity,true,3,2,0.0016100406646728516
agd,2,modularity,connectivity,true,13,45,0.011499881744384766
agd,3,connected_components,connectivity,false,5,6,0.0017311573028564453
agd,3,modularity,connectivity,false,13,45,0.014111995697021484
agd,3,connected_components,connectivity,true,19,35,0.0024008750915527344
agd,3,modularity,connectivity,true,29,85,0.010432958602905273
agd,4,connected_components,connectivity,false,9,14,0.002496957778930664
agd,4,modularity,connectivity,false,15,41,0.014333248138427734
agd,4,connected_components,connectivity,true,32,72,0.0030791759490966797
agd,4,modularity,connectivity,true,41,103,0.010460138320922852
agd,5,connected_components,connectivity,false,12,19,0.002051115036010742
agd,5,modularity,connectivity,false,20,58,0.011132240295410156
agd,5,connected_components,connectivity,true,41,89,0.002862691879272461
agd,5,modularity,connectivity,true,48,115,0.01031494140625
agd,6,connected_components,connectivity,false,15,23,0.0021567344665527344
agd,6,modularity,connectivity,false,23,65,0.010758161544799805
agd,6,connected_components,connectivity,true,48,102,0.0031430721282958984
agd,6,modularity,connectivity,true,55,120,0.009545087814331055
agd,7,connected_components,connectivity,false,25,42,0.0024938583374023438
agd,7,modularity,connectivity,false,35,89,0.010251998901367188
agd,7,connected_components,connectivity,true,55,115,0.003298044204711914
agd,7,modularity,connectivity,true,58,124,0.009159326553344727
agd,8,connected_components,connectivity,false,22,39,0.0022962093353271484
agd,8,modularity,connectivity,false,31,80,0.009804010391235352
agd,8,connected_components,connectivity,true,57,120,0.0032541751861572266
agd,8,modularity,connectivity,true,61,130,0.00899195671081543
agd,9,connected_components,connectivity,false,24,43,0.0026459693908691406
agd,9,modularity,connectivity,false,33,86,0.010106086730957031
agd,9,connected_components,connectivity,true,67,133,0.0036339759826660156
agd,9,modularity,connectivity,true,71,141,0.008499860763549805
agd,10,connected_components,connectivity,false,31,70,0.002772808074951172
agd,10,modularity,connectivity,false,37,97,0.009391069412231445
agd,10,connected_components,connectivity,true,66,134,0.006717205047607422
agd,10,modularity,connectivity,true,70,140,0.00816202163696289
agd,11,connected_components,connectivity,false,39,90,0.0031681060791015625
agd,11,modularity,connectivity,false,44,108,0.009001970291137695
agd,11,connected_components,connectivity,true,69,137,0.004129886627197266
agd,11,modularity,connectivity,true,73,143,0.008304119110107422
agd,12,connected_components,connectivity,false,33,64,0.003057241439819336
agd,12,modularity,connectivity,false,39,92,0.009373903274536133
agd,12,connected_components,connectivity,true,70,141,0.00385284423828125
agd,12,modularity,connectivity,true,73,145,0.008442163467407227
agd,13,connected_components,connectivity,false,43,86,0.003094196319580078
agd,13,modularity,connectivity,false,49,106,0.008954048156738281
agd,13,connected_components,connectivity,true,74,146,0.004148006439208984
agd,13,modularity,connectivity,true,77,150,0.007949113845825195
agd,14,connected_components,connectivity,false,51,104,0.0033409595489501953
agd,14,modularity,connectivity,false,55,119,0.00875711441040039
agd,14,connected_components,connectivity,true,75,147,0.0040340423583984375
agd,14,modularity,connectivity,true,78,151,0.007981061935424805
agd,15,connected_components,connectivity,false,45,96,0.0032510757446289062
agd,15,modularity,connectivity,false,50,112,0.00846409797668457
agd,15,connected_components,connectivity,true,77,149,0.003994941711425781
agd,15,modularity,connectivity,true,80,153,0.007986068725585938
agd,16,connected_components,connectivity,false,50,112,0.0035898685455322266
agd,16,modularity,connectivity,false,53,125,0.00854182243347168
agd,16,connected_components,connectivity,true,78,150,0.004171133041381836
agd,16,modularity,connectivity,true,81,154,0.007895946502685547
agd,17,connected_components,connectivity,false,59,126,0.003735065460205078
agd,17,modularity,connectivity,false,61,130,0.008721113204956055
agd,17,connected_components,connectivity,true,79,151,0.0042896270751953125
agd,17,modularity,connectivity,true,82,155,0.007847309112548828
agd,18,connected_components,connectivity,false,55,118,0.0036211013793945312
agd,18,modularity,connectivity,false,59,127,0.010023832321166992
agd,18,connected_components,connectivity,true,79,152,0.0042040348052978516
agd,18,modularity,connectivity,true,80,153,0.007966041564941406
agd,19,connected_components,connectivity,false,64,134,0.003949165344238281
agd,19,modularity,connectivity,false,66,138,0.008661031723022461
agd,19,connected_components,connectivity,true,78,151,0.004336118698120117
agd,19,modularity,connectivity,true,79,152,0.009119033813476562
ecc,2,connected_components,connectivity,false,2,1,0.00308990478515625
ecc,2,modularity,connectivity,false,19,119,0.025735855102539062
ecc,2,connected_components,connectivity,true,2,1,0.0016880035400390625
ecc,2,modularity,connectivity,true,17,70,0.011745214462280273
ecc,3,connected_components,connectivity,false,7,6,0.0016589164733886719
ecc,3,modularity,connectivity,false,14,45,0.012798309326171875
ecc,3,connected_components,connectivity,true,5,6,0.0017390251159667969
ecc,3,modularity,connectivity,true,18,72,0.010510921478271484
ecc,4,connected_components,connectivity,false,8,13,0.0031020641326904297
ecc,4,modularity,connectivity,false,22,140,0.026048898696899414
ecc,4,connected_components,connectivity,true,6,10,0.0023462772369384766
ecc,4,modularity,connectivity,true,23,85,0.011302947998046875
ecc,5,connected_components,connectivity,false,7,6,0.001714944839477539
ecc,5,modularity,connectivity,false,14,45,0.012341976165771484
ecc,5,connected_components,connectivity,true,7,15,0.001977205276489258
ecc,5,modularity,connectivity,true,26,91,0.010689973831176758
ecc,6,connected_components,connectivity,false,8,13,0.0031280517578125
ecc,6,modularity,connectivity,false,22,140,0.025927066802978516
ecc,6,connected_components,connectivity,true,10,24,0.002307891845703125
ecc,6,modularity,connectivity,true,28,94,0.010335922241210938
ecc,7,connected_components,connectivity,false,7,6,0.0018701553344726562
ecc,7,modularity,connectivity,false,14,45,0.012751102447509766
ecc,7,connected_components,connectivity,true,15,43,0.0022568702697753906
ecc,7,modularity,connectivity,true,30,98,0.011101961135864258
ecc,8,connected_components,connectivity,false,8,13,0.003027200698852539
ecc,8,modularity,connectivity,false,22,140,0.023897171020507812
ecc,8,connected_components,connectivity,true,15,45,0.0024340152740478516
ecc,8,modularity,connectivity,true,32,100,0.010504961013793945
ecc,9,connected_components,connectivity,false,7,6,0.0018372535705566406
ecc,9,modularity,connectivity,false,14,45,0.012622833251953125
ecc,9,connected_components,connectivity,true,18,55,0.002401113510131836
ecc,9,modularity,connectivity,true,33,103,0.009823083877563477
ecc,10,connected_components,connectivity,false,8,13,0.003098726272583008
ecc,10,modularity,connectivity,false,22,140,0.02382802963256836
ecc,10,connected_components,connectivity,true,17,54,0.0024302005767822266
ecc,10,modularity,connectivity,true,33,101,0.010287284851074219
ecc,11,connected_components,connectivity,false,7,6,0.0018990039825439453
ecc,11,modularity,connectivity,false,14,45,0.012707233428955078
ecc,11,connected_components,connectivity,true,21,66,0.0026121139526367188
ecc,11,modularity,connectivity,true,38,106,0.010092973709106445
ecc,12,connected_components,connectivity,false,8,13,0.0031387805938720703
ecc,12,modularity,connectivity,false,22,140,0.023623943328857422
ecc,12,connected_components,connectivity,true,22,80,0.0026597976684570312
ecc,12,modularity,connectivity,true,37,107,0.01025700569152832
ecc,13,connected_components,connectivity,false,7,6,0.0019378662109375
ecc,13,modularity,connectivity,false,14,45,0.012695074081420898
ecc,13,connected_components,connectivity,true,24,80,0.002763986587524414
ecc,13,modularity,connectivity,true,42,112,0.009990930557250977
ecc,14,connected_components,connectivity,false,8,13,0.0032279491424560547
ecc,14,modularity,connectivity,false,22,140,0.024024248123168945
ecc,14,connected_components,connectivity,true,25,85,0.002820253372192383
ecc,14,modularity,connectivity,true,41,112,0.010383129119873047
ecc,15,connected_components,connectivity,false,7,6,0.0019698143005371094
ecc,15,modularity,connectivity,false,14,45,0.013070821762084961
ecc,15,connected_components,connectivity,true,20,74,0.002916097640991211
ecc,15,modularity,connectivity,true,47,118,0.010815858840942383
ecc,16,connected_components,connectivity,false,8,13,0.003421783447265625
ecc,16,modularity,connectivity,false,22,140,0.02514815330505371
ecc,16,connected_components,connectivity,true,25,83,0.0029401779174804688
ecc,16,modularity,connectivity,true,44,115,0.010426998138427734
ecc,17,connected_components,connectivity,false,7,6,0.0020868778228759766
ecc,17,modularity,connectivity,false,14,45,0.013087987899780273
ecc,17,connected_components,connectivity,true,28,90,0.003059864044189453
ecc,17,modularity,connectivity,true,47,116,0.010518074035644531
ecc,18,connected_components,connectivity,false,8,13,0.003341197967529297
ecc,18,modularity,connectivity,false,22,140,0.024269819259643555
ecc,18,connected_components,connectivity,true,29,97,0.0030930042266845703
ecc,18,modularity,connectivity,true,47,120,0.010670900344848633
ecc,19,connected_components,connectivity,false,7,6,0.0020949840545654297
ecc,19,modularity,connectivity,false,14,45,0.013206005096435547
