filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0008749961853027344
agd,2,modularity,connectivity,false,7,7,0.003319978713989258
agd,2,connected_components,connectivity,true,2,1,0.0006029605865478516
agd,2,modularity,connectivity,true,7,7,0.0030100345611572266
agd,3,connected_components,connectivity,false,6,6,0.0008103847503662109
agd,3,modularity,connectivity,false,9,9,0.003198385238647461
agd,3,connected_components,connectivity,true,7,7,0.0008068084716796875
agd,3,modularity,connectivity,true,10,10,0.003058910369873047
agd,4,connected_components,connectivity,false,8,8,0.0010390281677246094
agd,4,modularity,connectivity,false,11,11,0.003010988235473633
agd,4,connected_components,connectivity,true,8,8,0.0007989406585693359
agd,4,modularity,connectivity,true,11,12,0.0028057098388671875
agd,5,connected_components,connectivity,false,7,8,0.0014619827270507812
agd,5,modularity,connectivity,false,9,10,0.0033316612243652344
agd,5,connected_components,connectivity,true,14,16,0.0010187625885009766
agd,5,modularity,connectivity,true,16,18,0.002746105194091797
agd,6,connected_components,connectivity,false,10,10,0.0011661052703857422
agd,6,modularity,connectivity,false,12,12,0.002998828887939453
agd,6,connected_components,connectivity,true,15,20,0.001111745834350586
agd,6,modularity,connectivity,true,17,23,0.0036208629608154297
agd,7,connected_components,connectivity,false,12,12,0.0011720657348632812
agd,7,modularity,connectivity,false,14,14,0.0028760433197021484
agd,7,connected_components,connectivity,true,19,23,0.0011370182037353516
agd,7,modularity,connectivity,true,20,25,0.0032889842987060547
agd,8,connected_components,connectivity,false,13,14,0.001287221908569336
agd,8,modularity,connectivity,false,15,16,0.002920866012573242
agd,8,connected_components,connectivity,true,19,23,0.001194000244140625
agd,8,modularity,connectivity,true,20,25,0.0028760433197021484
agd,9,connected_components,connectivity,false,12,12,0.0011126995086669922
agd,9,modularity,connectivity,false,14,14,0.0029609203338623047
agd,9,connected_components,connectivity,true,23,37,0.0014719963073730469
agd,9,modularity,connectivity,true,24,39,0.003734588623046875
agd,10,connected_components,connectivity,false,15,17,0.0011479854583740234
agd,10,modularity,connectivity,false,17,19,0.002897977828979492
agd,10,connected_components,connectivity,true,21,28,0.00128173828125
agd,10,modularity,connectivity,true,21,28,0.002775907516479492
agd,11,connected_components,connectivity,false,15,16,0.0013151168823242188
agd,11,modularity,connectivity,false,17,18,0.002858877182006836
agd,11,connected_components,connectivity,true,21,29,0.0013370513916015625
agd,11,modularity,connectivity,true,21,29,0.0042819976806640625
agd,12,connected_components,connectivity,false,15,17,0.0012302398681640625
agd,12,modularity,connectivity,false,16,18,0.0028839111328125
agd,12,connected_components,connectivity,true,23,33,0.0014243125915527344
agd,12,modularity,connectivity,true,23,33,0.0033829212188720703
agd,13,connected_components,connectivity,false,18,23,0.0015060901641845703
agd,13,modularity,connectivity,false,19,24,0.002743244171142578
agd,13,connected_components,connectivity,true,23,33,0.0013699531555175781
agd,13,modularity,connectivity,true,23,33,0.0027189254760742188
agd,14,connected_components,connectivity,false,21,29,0.0013871192932128906
agd,14,modularity,connectivity,false,22,30,0.002341032028198242
agd,14,connected_components,connectivity,true,26,37,0.0015139579772949219
agd,14,modularity,connectivity,true,26,37,0.002252817153930664
agd,15,connected_components,connectivity,false,18,23,0.0016469955444335938
agd,15,modularity,connectivity,false,19,24,0.002774953842163086
agd,15,connected_components,connectivity,true,29,46,0.0016472339630126953
agd,15,modularity,connectivity,true,29,46,0.0022552013397216797
agd,16,connected_components,connectivity,false,18,22,0.0013818740844726562
agd,16,modularity,connectivity,false,19,23,0.0028977394104003906
agd,16,connected_components,connectivity,true,26,37,0.0015108585357666016
