filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,8,7,0.0019729137420654297
agd,2,modularity,connectivity,false,16,51,0.015994787216186523
agd,2,connected_components,connectivity,true,7,6,0.0024759769439697266
agd,2,modularity,connectivity,true,15,47,0.016065120697021484
agd,3,connected_components,connectivity,false,13,18,0.0026869773864746094
agd,3,modularity,connectivity,false,23,78,0.014672994613647461
agd,3,connected_components,connectivity,true,25,54,0.0032677650451660156
agd,3,modularity,connectivity,true,31,96,0.013587236404418945
agd,4,connected_components,connectivity,false,26,50,0.003222942352294922
agd,4,modularity,connectivity,false,35,97,0.013589143753051758
agd,4,connected_components,connectivity,true,30,72,0.003504037857055664
agd,4,modularity,connectivity,true,36,107,0.012859821319580078
agd,5,connected_components,connectivity,false,33,71,0.003591775894165039
agd,5,modularity,connectivity,false,42,111,0.012908697128295898
agd,5,connected_components,connectivity,true,42,98,0.004015922546386719
agd,5,modularity,connectivity,true,49,131,0.012338876724243164
agd,6,connected_components,connectivity,false,40,88,0.003893136978149414
agd,6,modularity,connectivity,false,49,128,0.012906074523925781
agd,6,connected_components,connectivity,true,55,126,0.004633665084838867
agd,6,modularity,connectivity,true,59,144,0.012204170227050781
agd,7,connected_components,connectivity,false,43,108,0.004167079925537109
agd,7,modularity,connectivity,false,48,126,0.012398004531860352
agd,7,connected_components,connectivity,true,54,123,0.004667997360229492
agd,7,modularity,connectivity,true,57,137,0.011932134628295898
agd,8,connected_components,connectivity,false,53,130,0.004625797271728516
agd,8,modularity,connectivity,false,58,148,0.012340068817138672
agd,8,connected_components,connectivity,true,67,149,0.0051229000091552734
agd,8,modularity,connectivity,true,71,160,0.011202812194824219
agd,9,connected_components,connectivity,false,54,127,0.004719972610473633
agd,9,modularity,connectivity,false,58,140,0.011851072311401367
agd,9,connected_components,connectivity,true,68,168,0.005421876907348633
agd,9,modularity,connectivity,true,73,183,0.012851953506469727
agd,10,connected_components,connectivity,false,68,156,0.00526881217956543
agd,10,modularity,connectivity,false,71,162,0.011626005172729492
agd,10,connected_components,connectivity,true,66,148,0.005148172378540039
agd,10,modularity,connectivity,true,73,166,0.011376142501831055
agd,11,connected_components,connectivity,false,65,154,0.005174875259399414
agd,11,modularity,connectivity,false,68,158,0.011799812316894531
agd,11,connected_components,connectivity,true,73,172,0.00570988655090332
agd,11,modularity,connectivity,true,80,191,0.012172937393188477
agd,12,connected_components,connectivity,false,72,161,0.005466938018798828
agd,12,modularity,connectivity,false,75,167,0.011059045791625977
agd,12,connected_components,connectivity,true,79,173,0.005758047103881836
agd,12,modularity,connectivity,true,84,183,0.011184930801391602
agd,13,connected_components,connectivity,false,72,164,0.005521297454833984
agd,13,modularity,connectivity,false,74,166,0.010987043380737305
agd,13,connected_components,connectivity,true,76,171,0.005709171295166016
agd,13,modularity,connectivity,true,80,177,0.011250019073486328
agd,14,connected_components,connectivity,false,74,167,0.005674123764038086
agd,14,modularity,connectivity,false,75,169,0.011306047439575195
agd,14,connected_components,connectivity,true,74,167,0.0057218074798583984
agd,14,modularity,connectivity,true,77,172,0.011318206787109375
agd,15,connected_components,connectivity,false,80,174,0.005872011184692383
agd,15,modularity,connectivity,false,84,181,0.010876893997192383
agd,15,connected_components,connectivity,true,79,179,0.005936145782470703
agd,15,modularity,connectivity,true,81,183,0.011230945587158203
agd,16,connected_components,connectivity,false,76,167,0.005761861801147461
agd,16,modularity,connectivity,false,79,173,0.010771989822387695
agd,16,connected_components,connectivity,true,82,177,0.006051778793334961
agd,16,modularity,connectivity,true,84,182,0.009855985641479492
agd,17,connected_components,connectivity,false,81,177,0.006015777587890625
agd,17,modularity,connectivity,false,83,180,0.010084867477416992
agd,17,connected_components,connectivity,true,79,171,0.005979299545288086
agd,17,modularity,connectivity,true,83,180,0.010428905487060547
agd,18,connected_components,connectivity,false,77,170,0.006042957305908203
agd,18,modularity,connectivity,false,78,172,0.010739326477050781
agd,18,connected_components,connectivity,true,87,201,0.006437063217163086
agd,18,modularity,connectivity,true,90,206,0.010946035385131836
agd,19,connected_components,connectivity,false,82,178,0.006120204925537109
agd,19,modularity,connectivity,false,84,181,0.010155916213989258
agd,19,connected_components,connectivity,true,82,179,0.006167173385620117
agd,19,modularity,connectivity,true,85,184,0.009898900985717773
ecc,2,connected_components,connectivity,false,3,2,0.0034122467041015625
ecc,2,modularity,connectivity,false,17,77,0.030134916305541992
ecc,2,connected_components,connectivity,true,6,5,0.0024471282958984375
ecc,2,modularity,connectivity,true,18,61,0.015545845031738281
ecc,3,connected_components,connectivity,false,13,14,0.002470731735229492
ecc,3,modularity,connectivity,false,23,69,0.014315128326416016
ecc,3,connected_components,connectivity,true,17,34,0.0029189586639404297
ecc,3,modularity,connectivity,true,28,90,0.014065980911254883
ecc,4,connected_components,connectivity,false,16,29,0.0038542747497558594
ecc,4,modularity,connectivity,false,33,166,0.024070262908935547
ecc,4,connected_components,connectivity,true,29,76,0.0035240650177001953
ecc,4,modularity,connectivity,true,35,100,0.012682199478149414
ecc,5,connected_components,connectivity,false,13,14,0.0025818347930908203
ecc,5,modularity,connectivity,false,23,69,0.014480113983154297
ecc,5,connected_components,connectivity,true,31,84,0.003679037094116211
ecc,5,modularity,connectivity,true,37,103,0.01237177848815918
ecc,6,connected_components,connectivity,false,16,29,0.0039942264556884766
ecc,6,modularity,connectivity,false,33,166,0.02421402931213379
ecc,6,connected_components,connectivity,true,39,104,0.004036903381347656
ecc,6,modularity,connectivity,true,47,127,0.012797355651855469
ecc,7,connected_components,connectivity,false,13,14,0.0026710033416748047
ecc,7,modularity,connectivity,false,23,69,0.014482975006103516
ecc,7,connected_components,connectivity,true,40,102,0.0041790008544921875
ecc,7,modularity,connectivity,true,47,124,0.012920141220092773
ecc,8,connected_components,connectivity,false,16,29,0.004168033599853516
ecc,8,modularity,connectivity,false,33,166,0.024313688278198242
ecc,8,connected_components,connectivity,true,42,108,0.004241228103637695
ecc,8,modularity,connectivity,true,48,123,0.012586116790771484
ecc,9,connected_components,connectivity,false,13,14,0.002771139144897461
ecc,9,modularity,connectivity,false,23,69,0.014662027359008789
ecc,9,connected_components,connectivity,true,45,128,0.004621028900146484
ecc,9,modularity,connectivity,true,53,147,0.013634204864501953
ecc,10,connected_components,connectivity,false,16,29,0.004166126251220703
ecc,10,modularity,connectivity,false,33,166,0.02452993392944336
ecc,10,connected_components,connectivity,true,44,114,0.004536151885986328
ecc,10,modularity,connectivity,true,52,130,0.012722969055175781
ecc,11,connected_components,connectivity,false,13,14,0.0028409957885742188
ecc,11,modularity,connectivity,false,23,69,0.014711141586303711
ecc,11,connected_components,connectivity,true,47,142,0.004872322082519531
ecc,11,modularity,connectivity,true,59,170,0.014129877090454102
ecc,12,connected_components,connectivity,false,16,29,0.004342079162597656
ecc,12,modularity,connectivity,false,33,166,0.02432703971862793
ecc,12,connected_components,connectivity,true,50,129,0.004818916320800781
ecc,12,modularity,connectivity,true,57,143,0.013180017471313477
ecc,13,connected_components,connectivity,false,13,14,0.002933979034423828
ecc,13,modularity,connectivity,false,23,69,0.014882802963256836
ecc,13,connected_components,connectivity,true,50,124,0.004822969436645508
ecc,13,modularity,connectivity,true,56,138,0.01297307014465332
ecc,14,connected_components,connectivity,false,16,29,0.004328012466430664
ecc,14,modularity,connectivity,false,33,166,0.02456808090209961
ecc,14,connected_components,connectivity,true,50,123,0.004870891571044922
ecc,14,modularity,connectivity,true,59,140,0.01306009292602539
ecc,15,connected_components,connectivity,false,13,14,0.003525257110595703
ecc,15,modularity,connectivity,false,23,69,0.014962911605834961
ecc,15,connected_components,connectivity,true,50,128,0.0049800872802734375
ecc,15,modularity,connectivity,true,59,146,0.013391733169555664
ecc,16,connected_components,connectivity,false,16,29,0.00441288948059082
ecc,16,modularity,connectivity,false,33,166,0.024581193923950195
ecc,16,connected_components,connectivity,true,52,129,0.005051851272583008
ecc,16,modularity,connectivity,true,57,140,0.013413190841674805
ecc,17,connected_components,connectivity,false,13,14,0.0031099319458007812
ecc,17,modularity,connectivity,false,23,69,0.014972925186157227
ecc,17,connected_components,connectivity,true,48,118,0.004959821701049805
ecc,17,modularity,connectivity,true,57,138,0.013811111450195312
ecc,18,connected_components,connectivity,false,16,29,0.004488945007324219
ecc,18,modularity,connectivity,false,33,166,0.02472996711730957
ecc,18,connected_components,connectivity,true,59,150,0.005559206008911133
ecc,18,modularity,connectivity,true,65,163,0.013971090316772461
ecc,19,connected_components,connectivity,false,13,14,0.0031850337982177734
ecc,19,modularity,connectivity,false,23,69,0.01503300666809082
ecc,19,connected_components,connectivity,true,52,128,0.005190134048461914
ecc,19,modularity,connectivity,true,59,141,0.013709783554077148
pr_0_85,2,connected_components,connectivity,false,16,24,0.002846956253051758
pr_0_85,2,modularity,connectivity,false,24,72,0.014327049255371094
pr_0_85,2,connected_components,connectivity,true,31,34,0.0032989978790283203
pr_0_85,2,modularity,connectivity,true,37,93,0.013111114501953125
pr_0_85,3,connected_components,connectivity,false,37,64,0.0036339759826660156
pr_0_85,3,modularity,connectivity,false,42,110,0.012304306030273438
pr_0_85,3,connected_components,connectivity,true,42,89,0.003856182098388672
pr_0_85,3,modularity,connectivity,true,48,122,0.012257099151611328
pr_0_85,4,connected_components,connectivity,false,49,107,0.004165172576904297
pr_0_85,4,modularity,connectivity,false,54,135,0.011943817138671875
pr_0_85,4,connected_components,connectivity,true,50,111,0.0041790008544921875
pr_0_85,4,modularity,connectivity,true,55,139,0.01175999641418457
pr_0_85,5,connected_components,connectivity,false,51,119,0.0043849945068359375
pr_0_85,5,modularity,connectivity,false,55,141,0.012087106704711914
pr_0_85,5,connected_components,connectivity,true,62,145,0.004759788513183594
pr_0_85,5,modularity,connectivity,true,64,151,0.01034402847290039
pr_0_85,6,connected_components,connectivity,false,57,138,0.004784107208251953
pr_0_85,6,modularity,connectivity,false,59,145,0.010649919509887695
pr_0_85,6,connected_components,connectivity,true,68,155,0.005059242248535156
pr_0_85,6,modularity,connectivity,true,70,163,0.010748863220214844
pr_0_85,7,connected_components,connectivity,false,53,126,0.004590034484863281
pr_0_85,7,modularity,connectivity,false,59,150,0.01145792007446289
pr_0_85,7,connected_components,connectivity,true,72,159,0.005193948745727539
pr_0_85,7,modularity,connectivity,true,76,168,0.010905027389526367
pr_0_85,8,connected_components,connectivity,false,59,144,0.004878044128417969
pr_0_85,8,modularity,connectivity,false,62,151,0.011297941207885742
pr_0_85,8,connected_components,connectivity,true,70,158,0.005182981491088867
pr_0_85,8,modularity,connectivity,true,73,165,0.010644912719726562
pr_0_85,9,connected_components,connectivity,false,63,152,0.005081892013549805
pr_0_85,9,modularity,connectivity,false,65,158,0.011223793029785156
pr_0_85,9,connected_components,connectivity,true,77,180,0.005644798278808594
pr_0_85,9,modularity,connectivity,true,81,191,0.011870861053466797
pr_0_85,10,connected_components,connectivity,false,57,130,0.004909038543701172
pr_0_85,10,modularity,connectivity,false,63,154,0.011806011199951172
pr_0_85,10,connected_components,connectivity,true,75,161,0.005422115325927734
pr_0_85,10,modularity,connectivity,true,77,167,0.010954141616821289
pr_0_85,11,connected_components,connectivity,false,64,155,0.005225181579589844
pr_0_85,11,modularity,connectivity,false,67,160,0.011363983154296875
pr_0_85,11,connected_components,connectivity,true,79,191,0.005908012390136719
pr_0_85,11,modularity,connectivity,true,83,199,0.011832952499389648
pr_0_85,12,connected_components,connectivity,false,62,149,0.005181789398193359
pr_0_85,12,modularity,connectivity,false,65,158,0.011301994323730469
pr_0_85,12,connected_components,connectivity,true,80,179,0.005769014358520508
pr_0_85,12,modularity,connectivity,true,83,185,0.010542154312133789
pr_0_85,13,connected_components,connectivity,false,58,134,0.005071878433227539
pr_0_85,13,modularity,connectivity,false,63,154,0.012184858322143555
pr_0_85,13,connected_components,connectivity,true,80,176,0.005755901336669922
pr_0_85,13,modularity,connectivity,true,83,180,0.01016998291015625
pr_0_85,14,connected_components,connectivity,false,64,155,0.00539398193359375
pr_0_85,14,modularity,connectivity,false,67,160,0.011584997177124023
pr_0_85,14,connected_components,connectivity,true,87,183,0.006018161773681641
pr_0_85,14,modularity,connectivity,true,88,185,0.010078191757202148
pr_0_85,15,connected_components,connectivity,false,63,151,0.005418062210083008
pr_0_85,15,modularity,connectivity,false,66,159,0.011507749557495117
pr_0_85,15,connected_components,connectivity,true,82,182,0.005979061126708984
pr_0_85,15,modularity,connectivity,true,84,185,0.010782957077026367
pr_0_85,16,connected_components,connectivity,false,62,148,0.0054171085357666016
pr_0_85,16,modularity,connectivity,false,65,154,0.011703968048095703
pr_0_85,16,connected_components,connectivity,true,85,182,0.006114959716796875
pr_0_85,16,modularity,connectivity,true,87,185,0.00945425033569336
pr_0_85,17,connected_components,connectivity,false,72,164,0.005778789520263672
pr_0_85,17,modularity,connectivity,false,75,173,0.02950906753540039
pr_0_85,17,connected_components,connectivity,true,88,185,0.006256818771362305
pr_0_85,17,modularity,connectivity,true,88,185,0.009519815444946289
pr_0_85,18,connected_components,connectivity,false,66,155,0.005621910095214844
pr_0_85,18,modularity,connectivity,false,68,161,0.01154780387878418
pr_0_85,18,connected_components,connectivity,true,92,208,0.006540060043334961
pr_0_85,18,modularity,connectivity,true,93,209,0.010969877243041992
pr_0_85,19,connected_components,connectivity,false,69,161,0.005791902542114258
pr_0_85,19,modularity,connectivity,false,71,164,0.010714054107666016
pr_0_85,19,connected_components,connectivity,true,87,183,0.006262063980102539
pr_0_85,19,modularity,connectivity,true,87,183,0.009479999542236328
fv,2,connected_components,connectivity,false,2,1,0.0022530555725097656
fv,2,modularity,connectivity,false,13,46,0.0190279483795166
fv,2,connected_components,connectivity,true,2,1,0.0022988319396972656
fv,2,modularity,connectivity,true,15,64,0.018650293350219727
fv,3,connected_components,connectivity,false,4,4,0.0023679733276367188
fv,3,modularity,connectivity,false,16,59,0.01696300506591797
fv,3,connected_components,connectivity,true,5,6,0.002424001693725586
fv,3,modularity,connectivity,true,17,61,0.016574859619140625
fv,4,connected_components,connectivity,false,7,11,0.0025031566619873047
fv,4,modularity,connectivity,false,21,71,0.0158541202545166
fv,4,connected_components,connectivity,true,11,18,0.002704143524169922
fv,4,modularity,connectivity,true,24,76,0.014923095703125
fv,5,connected_components,connectivity,false,20,41,0.0031287670135498047
fv,5,modularity,connectivity,false,31,86,0.01432180404663086
fv,5,connected_components,connectivity,true,18,41,0.0030732154846191406
fv,5,modularity,connectivity,true,28,83,0.013990163803100586
fv,6,connected_components,connectivity,false,15,29,0.002994060516357422
fv,6,modularity,connectivity,false,29,85,0.01450490951538086
fv,6,connected_components,connectivity,true,27,59,0.0034890174865722656
fv,6,modularity,connectivity,true,38,106,0.013622045516967773
fv,7,connected_components,connectivity,false,22,52,0.0033752918243408203
fv,7,modularity,connectivity,false,34,96,0.013773918151855469
fv,7,connected_components,connectivity,true,26,67,0.003573894500732422
fv,7,modularity,connectivity,true,36,100,0.013316154479980469
fv,8,connected_components,connectivity,false,33,76,0.0038459300994873047
fv,8,modularity,connectivity,false,43,112,0.013349056243896484
fv,8,connected_components,connectivity,true,41,98,0.004141092300415039
fv,8,modularity,connectivity,true,47,117,0.01269388198852539
fv,9,connected_components,connectivity,false,35,85,0.0040400028228759766
fv,9,modularity,connectivity,false,45,118,0.012786149978637695
fv,9,connected_components,connectivity,true,47,114,0.004561901092529297
fv,9,modularity,connectivity,true,57,144,0.013820886611938477
fv,10,connected_components,connectivity,false,46,102,0.004479885101318359
fv,10,modularity,connectivity,false,50,122,0.012727022171020508
fv,10,connected_components,connectivity,true,43,99,0.004322052001953125
fv,10,modularity,connectivity,true,52,126,0.012833118438720703
fv,11,connected_components,connectivity,false,45,108,0.004538059234619141
fv,11,modularity,connectivity,false,52,133,0.012508869171142578
fv,11,connected_components,connectivity,true,51,117,0.004878044128417969
fv,11,modularity,connectivity,true,61,150,0.014115095138549805
fv,12,connected_components,connectivity,false,46,109,0.004618167877197266
fv,12,modularity,connectivity,false,51,125,0.012866973876953125
fv,12,connected_components,connectivity,true,55,129,0.00496983528137207
fv,12,modularity,connectivity,true,58,137,0.012676239013671875
fv,13,connected_components,connectivity,false,53,120,0.0049779415130615234
fv,13,modularity,connectivity,false,60,141,0.012518882751464844
fv,13,connected_components,connectivity,true,55,122,0.004914283752441406
fv,13,modularity,connectivity,true,60,138,0.01221013069152832
fv,14,connected_components,connectivity,false,52,124,0.0050258636474609375
fv,14,modularity,connectivity,false,58,139,0.01258707046508789
fv,14,connected_components,connectivity,true,61,142,0.005283832550048828
fv,14,modularity,connectivity,true,62,144,0.012418746948242188
fv,15,connected_components,connectivity,false,60,137,0.005318164825439453
fv,15,modularity,connectivity,false,64,146,0.012579917907714844
fv,15,connected_components,connectivity,true,68,148,0.00555109977722168
fv,15,modularity,connectivity,true,69,151,0.012262105941772461
fv,16,connected_components,connectivity,false,58,132,0.005295991897583008
fv,16,modularity,connectivity,false,65,148,0.012531042098999023
fv,16,connected_components,connectivity,true,66,149,0.005542755126953125
fv,16,modularity,connectivity,true,66,149,0.012735843658447266
fv,17,connected_components,connectivity,false,62,139,0.005463838577270508
fv,17,modularity,connectivity,false,68,153,0.012037038803100586
fv,17,connected_components,connectivity,true,70,153,0.005710124969482422
fv,17,modularity,connectivity,true,71,155,0.011527776718139648
fv,18,connected_components,connectivity,false,66,144,0.005705118179321289
fv,18,modularity,connectivity,false,67,146,0.012050867080688477
fv,18,connected_components,connectivity,true,73,170,0.006054878234863281
fv,18,modularity,connectivity,true,75,178,0.013000011444091797
fv,19,connected_components,connectivity,false,67,146,0.005776882171630859
fv,19,modularity,connectivity,false,68,149,0.011761903762817383
fv,19,connected_components,connectivity,true,72,156,0.005843162536621094
fv,19,modularity,connectivity,true,72,156,0.011652946472167969
fv_norm,2,connected_components,connectivity,false,2,1,0.003704071044921875
fv_norm,2,modularity,connectivity,false,13,46,0.020420074462890625
fv_norm,2,connected_components,connectivity,true,2,1,0.00228118896484375
fv_norm,2,modularity,connectivity,true,13,51,0.018805980682373047
fv_norm,3,connected_components,connectivity,false,5,6,0.002454996109008789
fv_norm,3,modularity,connectivity,false,16,59,0.017204999923706055
fv_norm,3,connected_components,connectivity,true,6,8,0.0024750232696533203
fv_norm,3,modularity,connectivity,true,19,66,0.016520023345947266
fv_norm,4,connected_components,connectivity,false,10,17,0.0026760101318359375
fv_norm,4,modularity,connectivity,false,22,73,0.01628708839416504
fv_norm,4,connected_components,connectivity,true,13,20,0.002763986587524414
fv_norm,4,modularity,connectivity,true,25,79,0.014518022537231445
fv_norm,5,connected_components,connectivity,false,21,45,0.0032460689544677734
fv_norm,5,modularity,connectivity,false,30,86,0.014691829681396484
fv_norm,5,connected_components,connectivity,true,26,56,0.003361940383911133
fv_norm,5,modularity,connectivity,true,36,97,0.013762950897216797
fv_norm,6,connected_components,connectivity,false,19,43,0.003219127655029297
fv_norm,6,modularity,connectivity,false,32,98,0.014436960220336914
fv_norm,6,connected_components,connectivity,true,25,57,0.0034487247467041016
fv_norm,6,modularity,connectivity,true,39,113,0.014286041259765625
fv_norm,7,connected_components,connectivity,false,29,66,0.0036699771881103516
fv_norm,7,modularity,connectivity,false,37,102,0.013691902160644531
fv_norm,7,connected_components,connectivity,true,34,74,0.003885030746459961
fv_norm,7,modularity,connectivity,true,42,107,0.013212203979492188
fv_norm,8,connected_components,connectivity,false,40,82,0.004091739654541016
fv_norm,8,modularity,connectivity,false,48,115,0.013238906860351562
fv_norm,8,connected_components,connectivity,true,45,102,0.004269838333129883
fv_norm,8,modularity,connectivity,true,54,128,0.012755870819091797
fv_norm,9,connected_components,connectivity,false,36,84,0.0040607452392578125
fv_norm,9,modularity,connectivity,false,44,112,0.013350963592529297
fv_norm,9,connected_components,connectivity,true,55,130,0.004888772964477539
fv_norm,9,modularity,connectivity,true,61,151,0.013330936431884766
fv_norm,10,connected_components,connectivity,false,37,88,0.004197120666503906
fv_norm,10,modularity,connectivity,false,43,114,0.013160228729248047
fv_norm,10,connected_components,connectivity,true,51,116,0.004675149917602539
fv_norm,10,modularity,connectivity,true,57,136,0.012842893600463867
fv_norm,11,connected_components,connectivity,false,48,106,0.004578590393066406
fv_norm,11,modularity,connectivity,false,57,133,0.012820005416870117
